id,ramp_rate,T_soak,t_soak,strain,warpage,density
P1,0.5,850,30,506.5161051283964,10.42347139765763,0.6864768853810069
P2,0.5,900,60,462.41293662749433,12.531693250553328,0.7201586304305081
P3,0.5,950,90,410.78510785540306,16.68486945830582,0.7603052561406505
P4,1.0,900,30,480.5358565012852,13.698164614375075,0.6878427024642975
P5,1.0,950,60,414.10732696274476,13.273439510684405,0.7177508216748698
P6,1.0,1000,90,348.5377788097652,17.399337759331154,0.7806424733259527
P7,1.5,950,30,425.2492115247956,16.225392597329417,0.7196564876892156
P8,1.5,1000,60,382.4739581330323,21.83505640937585,0.7332525181378655
P9,1.5,1050,90,329.7401463345589,24.42184517941973,0.778490064225777
P10,2.0,1000,30,425.3960521103579,22.773722620162392,0.7145830625020673
P11,2.0,1050,60,353.2106344300195,30.504556369017877,0.7598650277526207
P12,2.0,1100,90,300.705501074233,31.120089824206378,0.7902915635002897
