profile_id,ramp_rate,soak_temp,soak_time,residual_strain,warpage,profile
P1,0.5,850.0,60.0,50.0,5.0,<__main__.ThermalProfile object at 0x7fb5c80567b0>
P2,0.5,850.0,100.0,50.0,5.0,<__main__.ThermalProfile object at 0x7fb5c7bc5bf0>
P3,0.5,850.0,140.0,50.0,5.0,<__main__.ThermalProfile object at 0x7fb5c7bc5480>
P4,0.5,850.0,180.0,50.0,5.0,<__main__.ThermalProfile object at 0x7fb5c8042450>
P5,0.5,885.7142857142857,60.0,89.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c77d0150>
P6,0.5,885.7142857142857,100.0,89.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c7b8da90>
P7,0.5,885.7142857142857,140.0,89.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c7b8e3f0>
P8,0.5,885.7142857142857,180.0,89.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c77c8d70>
P9,0.5,921.4285714285714,60.0,130.0,5.0,<__main__.ThermalProfile object at 0x7fb5c77c8e50>
P10,0.5,921.4285714285714,100.0,130.0,5.0,<__main__.ThermalProfile object at 0x7fb5c77871e0>
P11,0.5,921.4285714285714,140.0,130.0,5.0,<__main__.ThermalProfile object at 0x7fb5c7bde750>
P12,0.5,921.4285714285714,180.0,130.0,5.0,<__main__.ThermalProfile object at 0x7fb5c7bde810>
P13,0.5,957.1428571428571,60.0,169.99999999999997,5.0,<__main__.ThermalProfile object at 0x7fb5c77a89f0>
P14,0.5,957.1428571428571,100.0,169.99999999999997,5.0,<__main__.ThermalProfile object at 0x7fb5c77a8520>
P15,0.5,957.1428571428571,140.0,169.99999999999997,5.0,<__main__.ThermalProfile object at 0x7fb5c77e9e50>
P16,0.5,957.1428571428571,180.0,169.99999999999997,5.0,<__main__.ThermalProfile object at 0x7fb5c77e9ef0>
P17,0.5,992.8571428571429,60.0,210.00000000000003,5.0,<__main__.ThermalProfile object at 0x7fb5c77cc680>
P18,0.5,992.8571428571429,100.0,210.00000000000003,5.0,<__main__.ThermalProfile object at 0x7fb5c77dd750>
P19,0.5,992.8571428571429,140.0,210.00000000000003,5.0,<__main__.ThermalProfile object at 0x7fb5c77dd450>
P20,0.5,992.8571428571429,180.0,210.00000000000003,5.0,<__main__.ThermalProfile object at 0x7fb5c77a34d0>
P21,0.5,1028.5714285714287,60.0,250.00000000000009,5.0,<__main__.ThermalProfile object at 0x7fb5c77a35b0>
P22,0.5,1028.5714285714287,100.0,250.00000000000009,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3620>
P23,0.5,1028.5714285714287,140.0,250.00000000000009,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3690>
P24,0.5,1028.5714285714287,180.0,250.00000000000009,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3700>
P25,0.5,1064.2857142857142,60.0,289.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3770>
P26,0.5,1064.2857142857142,100.0,289.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c77a37e0>
P27,0.5,1064.2857142857142,140.0,289.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3850>
P28,0.5,1064.2857142857142,180.0,289.99999999999994,5.0,<__main__.ThermalProfile object at 0x7fb5c77a38c0>
P29,0.5,1100.0,60.0,330.0,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3930>
P30,0.5,1100.0,100.0,330.0,5.0,<__main__.ThermalProfile object at 0x7fb5c77a39a0>
P31,0.5,1100.0,140.0,330.0,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3a10>
P32,0.5,1100.0,180.0,330.0,5.0,<__main__.ThermalProfile object at 0x7fb5c77a3a80>
P33,0.8571428571428572,850.0,60.0,68.57142857142858,7.142857142857143,<__main__.ThermalProfile object at 0x7fb5c77a3af0>
P34,0.8571428571428572,850.0,100.0,68.57142857142858,7.142857142857143,<__main__.ThermalProfile object at 0x7fb5c77a3b60>
P35,0.8571428571428572,850.0,140.0,68.57142857142858,7.142857142857143,<__main__.ThermalProfile object at 0x7fb5c77a3bd0>
P36,0.8571428571428572,850.0,180.0,68.57142857142858,7.142857142857143,<__main__.ThermalProfile object at 0x7fb5c77a3c40>
P37,0.8571428571428572,885.7142857142857,60.0,108.08163265306118,7.551020408163265,<__main__.ThermalProfile object at 0x7fb5c77a3cb0>
P38,0.8571428571428572,885.7142857142857,100.0,108.08163265306118,7.551020408163265,<__main__.ThermalProfile object at 0x7fb5c77a3d20>
P39,0.8571428571428572,885.7142857142857,140.0,108.08163265306118,7.551020408163265,<__main__.ThermalProfile object at 0x7fb5c77a3d90>
P40,0.8571428571428572,885.7142857142857,180.0,108.08163265306118,7.551020408163265,<__main__.ThermalProfile object at 0x7fb5c77a3e00>
P41,0.8571428571428572,921.4285714285714,60.0,147.5918367346939,7.959183673469388,<__main__.ThermalProfile object at 0x7fb5c77a3e70>
P42,0.8571428571428572,921.4285714285714,100.0,147.5918367346939,7.959183673469388,<__main__.ThermalProfile object at 0x7fb5c77a3ee0>
P43,0.8571428571428572,921.4285714285714,140.0,147.5918367346939,7.959183673469388,<__main__.ThermalProfile object at 0x7fb5c77a3f50>
P44,0.8571428571428572,921.4285714285714,180.0,147.5918367346939,7.959183673469388,<__main__.ThermalProfile object at 0x7fb5c77fc050>
P45,0.8571428571428572,957.1428571428571,60.0,187.10204081632648,8.36734693877551,<__main__.ThermalProfile object at 0x7fb5c77fc0c0>
P46,0.8571428571428572,957.1428571428571,100.0,187.10204081632648,8.36734693877551,<__main__.ThermalProfile object at 0x7fb5c77fc130>
P47,0.8571428571428572,957.1428571428571,140.0,187.10204081632648,8.36734693877551,<__main__.ThermalProfile object at 0x7fb5c77fc1a0>
P48,0.8571428571428572,957.1428571428571,180.0,187.10204081632648,8.36734693877551,<__main__.ThermalProfile object at 0x7fb5c77fc210>
P49,0.8571428571428572,992.8571428571429,60.0,226.61224489795921,8.775510204081634,<__main__.ThermalProfile object at 0x7fb5c77fc280>
P50,0.8571428571428572,992.8571428571429,100.0,226.61224489795921,8.775510204081634,<__main__.ThermalProfile object at 0x7fb5c77fc2f0>
P51,0.8571428571428572,992.8571428571429,140.0,226.61224489795921,8.775510204081634,<__main__.ThermalProfile object at 0x7fb5c77fc360>
P52,0.8571428571428572,992.8571428571429,180.0,226.61224489795921,8.775510204081634,<__main__.ThermalProfile object at 0x7fb5c77fc3d0>
P53,0.8571428571428572,1028.5714285714287,60.0,266.1224489795919,9.183673469387756,<__main__.ThermalProfile object at 0x7fb5c77fc440>
P54,0.8571428571428572,1028.5714285714287,100.0,266.1224489795919,9.183673469387756,<__main__.ThermalProfile object at 0x7fb5c77fc4b0>
P55,0.8571428571428572,1028.5714285714287,140.0,266.1224489795919,9.183673469387756,<__main__.ThermalProfile object at 0x7fb5c77fc520>
P56,0.8571428571428572,1028.5714285714287,180.0,266.1224489795919,9.183673469387756,<__main__.ThermalProfile object at 0x7fb5c77fc590>
P57,0.8571428571428572,1064.2857142857142,60.0,305.6326530612244,9.591836734693878,<__main__.ThermalProfile object at 0x7fb5c77fc600>
P58,0.8571428571428572,1064.2857142857142,100.0,305.6326530612244,9.591836734693878,<__main__.ThermalProfile object at 0x7fb5c77fc670>
P59,0.8571428571428572,1064.2857142857142,140.0,305.6326530612244,9.591836734693878,<__main__.ThermalProfile object at 0x7fb5c77fc6e0>
P60,0.8571428571428572,1064.2857142857142,180.0,305.6326530612244,9.591836734693878,<__main__.ThermalProfile object at 0x7fb5c77fc750>
P61,0.8571428571428572,1100.0,60.0,345.1428571428571,10.0,<__main__.ThermalProfile object at 0x7fb5c77fc7c0>
P62,0.8571428571428572,1100.0,100.0,345.1428571428571,10.0,<__main__.ThermalProfile object at 0x7fb5c77fc830>
P63,0.8571428571428572,1100.0,140.0,345.1428571428571,10.0,<__main__.ThermalProfile object at 0x7fb5c77fc8a0>
P64,0.8571428571428572,1100.0,180.0,345.1428571428571,10.0,<__main__.ThermalProfile object at 0x7fb5c77fc910>
P65,1.2142857142857144,850.0,60.0,87.14285714285715,9.285714285714286,<__main__.ThermalProfile object at 0x7fb5c77fc980>
P66,1.2142857142857144,850.0,100.0,87.14285714285715,9.285714285714286,<__main__.ThermalProfile object at 0x7fb5c77fc9f0>
P67,1.2142857142857144,850.0,140.0,87.14285714285715,9.285714285714286,<__main__.ThermalProfile object at 0x7fb5c77fca60>
P68,1.2142857142857144,850.0,180.0,87.14285714285715,9.285714285714286,<__main__.ThermalProfile object at 0x7fb5c77fcad0>
P69,1.2142857142857144,885.7142857142857,60.0,126.1632653061224,10.10204081632653,<__main__.ThermalProfile object at 0x7fb5c77fcb40>
P70,1.2142857142857144,885.7142857142857,100.0,126.1632653061224,10.10204081632653,<__main__.ThermalProfile object at 0x7fb5c77fcbb0>
P71,1.2142857142857144,885.7142857142857,140.0,126.1632653061224,10.10204081632653,<__main__.ThermalProfile object at 0x7fb5c77fcc20>
P72,1.2142857142857144,885.7142857142857,180.0,126.1632653061224,10.10204081632653,<__main__.ThermalProfile object at 0x7fb5c77fcc90>
P73,1.2142857142857144,921.4285714285714,60.0,165.18367346938777,10.918367346938776,<__main__.ThermalProfile object at 0x7fb5c77fcd00>
P74,1.2142857142857144,921.4285714285714,100.0,165.18367346938777,10.918367346938776,<__main__.ThermalProfile object at 0x7fb5c77fcd70>
P75,1.2142857142857144,921.4285714285714,140.0,165.18367346938777,10.918367346938776,<__main__.ThermalProfile object at 0x7fb5c77fcde0>
P76,1.2142857142857144,921.4285714285714,180.0,165.18367346938777,10.918367346938776,<__main__.ThermalProfile object at 0x7fb5c77fce50>
P77,1.2142857142857144,957.1428571428571,60.0,204.20408163265307,11.73469387755102,<__main__.ThermalProfile object at 0x7fb5c77fcec0>
P78,1.2142857142857144,957.1428571428571,100.0,204.20408163265307,11.73469387755102,<__main__.ThermalProfile object at 0x7fb5c77fcf30>
P79,1.2142857142857144,957.1428571428571,140.0,204.20408163265307,11.73469387755102,<__main__.ThermalProfile object at 0x7fb5c77fcfa0>
P80,1.2142857142857144,957.1428571428571,180.0,204.20408163265307,11.73469387755102,<__main__.ThermalProfile object at 0x7fb5c77fd010>
P81,1.2142857142857144,992.8571428571429,60.0,243.22448979591843,12.551020408163268,<__main__.ThermalProfile object at 0x7fb5c77fd080>
P82,1.2142857142857144,992.8571428571429,100.0,243.22448979591843,12.551020408163268,<__main__.ThermalProfile object at 0x7fb5c77fd0f0>
P83,1.2142857142857144,992.8571428571429,140.0,243.22448979591843,12.551020408163268,<__main__.ThermalProfile object at 0x7fb5c77fd160>
P84,1.2142857142857144,992.8571428571429,180.0,243.22448979591843,12.551020408163268,<__main__.ThermalProfile object at 0x7fb5c77fd1d0>
P85,1.2142857142857144,1028.5714285714287,60.0,282.2448979591838,13.367346938775512,<__main__.ThermalProfile object at 0x7fb5c77fd240>
