Sample_ID,Batch_ID,Ramp_Rate_C_per_min,Hold_Temperature_C,Hold_Time_hours,Cooling_Rate_C_per_min,Applied_Pressure_MPa,Atmosphere,Initial_Relative_Density,Initial_Porosity_percent,Initial_Mean_Pore_Size_um,Final_Relative_Density,Final_Porosity_percent,Mean_Grain_Size_um,Grain_Size_Std_um,Grain_Size_D10_um,Grain_Size_D90_um,Mean_Pore_Size_um,Pore_Size_Std_um,Pore_Connectivity_percent,GB_Thickness_nm,GB_Energy_J_per_m2,GB_Phase_Coverage_percent,Coordination_Number,Thermal_Load_C_hours,Densification_Percent,Grain_Growth_Factor
SINT_001,2,5.0,1456.8,1.07,5.03,30,Nitrogen,0.532,46.81,1.84,0.643,35.68,0.608,0.228,0.284,1.22,1.165,0.641,12.29,1.92,0.679,0.34,8.9,1.5587760000000002,11.1,1.22
SINT_002,1,9.61,1233.7,5.46,6.34,5,Nitrogen,0.56,43.96,1.98,0.657,34.3,0.839,0.318,0.34,1.506,1.902,1.148,12.6,1.24,0.86,5.41,8.3,6.736002,9.7,1.68
SINT_003,5,7.86,1264.7,3.28,5.12,0,Nitrogen,0.537,46.28,1.95,0.621,37.9,0.824,0.323,0.334,1.657,1.605,0.679,15.27,1.07,0.713,11.76,7.6,4.148216000000001,8.4,1.65
SINT_004,4,6.79,1559.4,5.05,4.06,15,Argon,0.509,49.11,0.73,0.685,31.51,1.342,0.613,0.76,2.203,0.196,0.094,8.22,0.74,0.706,8.49,8.8,7.87497,17.6,2.68
SINT_005,2,3.25,1442.6,2.26,4.45,30,Argon,0.64,36.03,2.69,0.749,25.11,0.754,0.361,0.343,1.285,1.276,0.819,6.04,1.68,0.695,4.69,10.6,3.2602759999999993,10.9,1.51
SINT_006,5,3.25,1203.7,5.43,8.53,5,Argon,0.603,39.73,1.16,0.679,32.05,0.841,0.413,0.423,1.777,1.143,0.615,8.97,1.6,0.785,9.82,9.0,6.536091000000001,7.6,1.68
SINT_007,1,2.46,1240.6,2.64,5.48,0,Air,0.478,52.2,0.82,0.55,45.0,0.693,0.317,0.319,1.203,0.705,0.398,17.47,1.08,0.824,3.48,6.5,3.275184,7.2,1.39
SINT_008,3,8.93,1465.4,0.56,7.37,25,Vacuum,0.624,37.63,2.72,0.717,28.32,0.501,0.182,0.295,1.053,1.929,1.022,9.07,0.54,0.717,0.22,9.7,0.8206240000000001,9.3,1.0
SINT_009,5,6.81,1202.0,5.48,9.04,10,Nitrogen,0.547,45.25,2.89,0.635,36.54,0.695,0.304,0.314,1.229,3.141,1.298,10.91,1.76,0.828,11.47,7.6,6.586960000000001,8.8,1.39
SINT_010,5,7.66,1264.3,1.0,11.28,20,Nitrogen,0.629,37.11,2.66,0.696,30.37,0.466,0.18,0.226,0.924,2.414,1.085,8.93,0.52,0.824,9.36,9.5,1.2643,6.7,0.93
SINT_011,3,2.16,1419.5,2.26,3.47,25,Argon,0.61,39.0,2.52,0.712,28.81,0.755,0.265,0.434,1.523,1.321,0.705,7.2,1.56,0.701,11.43,9.6,3.2080699999999998,10.2,1.51
SINT_012,5,9.76,1476.8,5.73,12.59,0,Nitrogen,0.535,46.5,2.14,0.677,32.28,1.479,0.692,0.841,2.821,0.815,0.377,12.0,1.96,0.666,0.58,8.7,8.462064,14.2,2.96
SINT_013,1,8.66,1460.8,5.73,10.53,25,Nitrogen,0.454,54.55,1.88,0.641,35.85,1.021,0.314,0.446,1.82,0.539,0.223,13.15,1.16,0.648,12.56,7.8,8.370384,18.7,2.04
SINT_014,1,3.7,1289.7,3.65,3.98,10,Vacuum,0.504,49.63,0.72,0.63,36.97,0.78,0.375,0.437,1.348,0.583,0.381,12.2,0.85,0.725,9.29,7.6,4.707405,12.6,1.56
SINT_015,3,3.45,1484.9,3.98,13.48,30,Argon,0.558,44.17,1.52,0.715,28.46,0.95,0.373,0.467,1.539,0.503,0.349,8.11,1.56,0.841,8.45,9.7,5.909902,15.7,1.9
SINT_016,4,3.47,1294.9,2.97,14.05,0,Vacuum,0.577,42.33,1.43,0.667,33.34,0.837,0.358,0.416,1.492,1.109,0.708,12.15,1.73,0.827,9.37,9.3,3.8458530000000004,9.0,1.67
SINT_017,2,4.43,1330.2,2.11,3.73,25,Air,0.502,49.84,1.15,0.592,40.82,0.656,0.283,0.28,1.307,0.82,0.538,19.72,1.32,0.684,12.97,7.1,2.8067219999999997,9.0,1.31
SINT_018,4,6.2,1498.6,2.31,6.32,20,Air,0.478,52.21,2.31,0.609,39.08,0.88,0.421,0.366,1.903,1.046,0.494,13.57,1.95,0.622,8.8,8.0,3.461766,13.1,1.76
SINT_019,5,5.46,1459.9,4.2,12.67,20,Air,0.617,38.3,1.74,0.716,28.36,1.067,0.456,0.582,2.264,0.61,0.42,9.28,0.58,0.727,8.71,8.4,6.1315800000000005,9.9,2.13
SINT_020,2,4.33,1539.7,4.64,11.98,5,Argon,0.647,35.31,0.7,0.762,23.77,1.462,0.618,0.73,3.011,0.23,0.106,6.63,1.26,0.7,14.86,9.9,7.144208,11.5,2.92
SINT_021,3,6.89,1463.0,4.85,5.21,25,Nitrogen,0.555,44.49,1.05,0.705,29.51,1.008,0.316,0.491,2.089,0.336,0.23,10.16,1.58,0.729,11.35,9.3,7.095549999999999,15.0,2.02
SINT_022,3,3.12,1427.3,4.84,5.51,15,Argon,0.484,51.57,2.21,0.636,36.37,1.112,0.449,0.607,2.224,0.972,0.679,13.94,1.79,0.702,6.63,7.7,6.908131999999999,15.2,2.22
SINT_023,2,4.34,1237.5,1.0,7.45,25,Argon,0.504,49.55,0.69,0.576,42.42,0.417,0.138,0.231,0.732,0.685,0.42,18.93,0.77,0.78,10.61,6.7,1.2375,7.2,0.83
SINT_024,1,4.93,1347.1,3.22,8.81,30,Nitrogen,0.454,54.63,2.63,0.587,41.34,0.719,0.322,0.311,1.543,1.666,1.157,16.43,1.7,0.761,5.84,7.1,4.337662,13.3,1.44
SINT_025,2,5.65,1306.1,0.82,10.42,0,Vacuum,0.633,36.71,1.74,0.693,30.69,0.547,0.22,0.286,1.096,1.521,0.868,10.37,1.33,0.765,3.43,9.2,1.071002,6.0,1.09
SINT_026,5,8.28,1297.6,3.52,7.43,0,Air,0.474,52.64,1.7,0.55,45.0,0.831,0.362,0.355,1.608,1.298,0.62,20.5,1.09,0.652,8.95,6.7,4.567552,7.6,1.66
SINT_027,1,3.6,1589.2,2.93,8.55,30,Vacuum,0.565,43.47,1.98,0.744,25.62,1.09,0.336,0.6,1.817,0.502,0.267,7.03,0.7,0.643,13.92,8.8,4.656356000000001,17.9,2.18
SINT_028,3,6.11,1357.2,5.38,11.97,25,Air,0.505,49.52,2.56,0.628,37.17,0.862,0.273,0.458,1.61,1.364,0.788,13.42,1.8,0.698,13.94,7.0,7.301736,12.3,1.72
SINT_029,2,6.74,1556.8,2.43,3.44,30,Argon,0.561,43.92,1.37,0.695,30.55,0.899,0.398,0.532,1.686,0.442,0.186,10.2,0.74,0.675,5.13,8.8,3.783024,13.4,1.8
SINT_030,4,2.37,1452.5,1.14,6.03,10,Air,0.58,41.97,2.2,0.642,35.84,0.724,0.228,0.3,1.534,1.405,0.824,14.51,0.96,0.855,7.92,8.5,1.6558499999999998,6.2,1.45
SINT_031,4,6.86,1517.9,1.29,11.56,30,Argon,0.616,38.41,1.91,0.729,27.06,0.666,0.209,0.274,1.283,0.907,0.63,6.29,0.94,0.699,3.17,8.3,1.958091,11.3,1.33
SINT_032,5,3.36,1401.1,4.69,13.74,20,Vacuum,0.491,50.87,1.17,0.654,34.57,1.011,0.306,0.461,1.848,0.494,0.226,13.54,1.81,0.709,14.93,8.2,6.571159000000001,16.3,2.02
SINT_033,4,2.52,1430.8,3.9,9.14,30,Argon,0.452,54.78,2.7,0.613,38.68,0.794,0.39,0.359,1.736,1.138,0.726,15.2,1.51,0.76,14.72,7.5,5.58012,16.1,1.59
SINT_034,2,9.59,1397.0,1.06,9.39,0,Vacuum,0.477,52.26,2.49,0.566,43.37,0.732,0.328,0.329,1.221,1.676,1.127,21.41,1.7,0.75,9.74,7.8,1.4808200000000002,8.9,1.46
SINT_035,2,9.73,1278.1,0.96,4.29,20,Nitrogen,0.63,37.0,2.15,0.688,31.19,0.442,0.164,0.257,0.819,1.963,1.341,9.46,0.88,0.792,12.07,8.8,1.2269759999999998,5.8,0.88
SINT_036,4,8.47,1489.0,4.36,8.37,0,Nitrogen,0.625,37.52,2.63,0.725,27.47,1.354,0.486,0.609,2.2,1.024,0.705,7.18,1.44,0.722,10.73,9.8,6.492040000000001,10.0,2.71
SINT_037,2,4.44,1312.3,0.9,9.39,5,Nitrogen,0.569,43.05,2.67,0.633,36.65,0.536,0.198,0.244,1.097,2.03,1.13,15.66,1.36,0.861,8.9,8.2,1.1810699999999998,6.4,1.07
SINT_038,5,2.78,1209.7,5.02,5.91,15,Argon,0.57,42.99,2.27,0.664,33.59,0.705,0.321,0.389,1.517,2.192,1.519,10.16,1.75,0.74,0.8,7.6,6.072693999999999,9.4,1.41
SINT_039,1,7.47,1458.2,4.38,6.23,0,Nitrogen,0.583,41.7,2.59,0.691,30.92,1.215,0.525,0.595,2.149,1.048,0.657,10.88,1.86,0.727,6.82,9.4,6.386916,10.8,2.43
SINT_040,5,5.52,1270.8,0.95,7.53,20,Air,0.485,51.49,2.24,0.55,45.0,0.475,0.16,0.264,1.005,1.893,0.849,20.12,0.52,0.727,10.12,6.9,1.20726,6.5,0.95
SINT_041,5,2.98,1576.2,0.97,3.24,5,Vacuum,0.633,36.71,2.2,0.753,24.74,0.955,0.32,0.395,1.696,1.28,0.695,6.15,1.51,0.687,10.16,10.3,1.5289139999999999,12.0,1.91
SINT_042,2,5.96,1581.6,5.93,6.86,0,Vacuum,0.534,46.62,2.05,0.701,29.86,1.841,0.588,0.916,3.951,0.464,0.285,8.24,0.58,0.611,5.6,11.2,9.378888,16.7,3.68
SINT_043,1,2.28,1565.9,2.56,5.54,10,Air,0.527,47.34,2.38,0.654,34.6,1.316,0.568,0.535,2.7,0.968,0.459,12.32,1.32,0.642,14.13,7.4,4.008704,12.7,2.63
SINT_044,2,9.27,1348.1,2.54,6.93,30,Argon,0.554,44.62,0.9,0.656,34.41,0.637,0.289,0.263,1.328,0.51,0.302,11.01,0.93,0.73,2.51,9.4,3.424174,10.2,1.27
SINT_045,3,4.07,1206.2,4.97,4.44,15,Argon,0.459,54.06,2.7,0.569,43.12,0.7,0.247,0.407,1.127,2.505,1.503,15.17,0.96,0.846,7.51,7.0,5.994814,11.0,1.4
