Analysis_Type,Quantitative_Metric,Count,Mean,Std_Dev,Min,Max,Median,Q25,Q75,Unit
SEM,Pore_Size_Distribution,375,1.4317773545186896,0.6611792064704188,0.3539522458499379,3.210101015891526,1.4060065409657037,0.880705012924087,1.9467379608991449,μm
SEM,Crack_Density,375,24.15226854560511,23.60636971138956,0.0,72.71273168233351,20.21364391776686,0.2237623440189913,42.692785631428606,cracks/mm²
SEM,Interface_Quality_Index,375,0.485,0.3940196746492428,0.1,1.0,0.3125,0.1,0.9125,dimensionless
SEM,Rubber_Melt_Fraction,375,0.6000000000000001,0.43004373197176077,0.0,1.0,0.8333333333333334,0.1666666666666666,1.0,fraction
SEM,Gas_Evolution_Pore_Density,375,6.230624327487309,7.6829315793237996,0.0,29.740859946673908,2.9638624806011027,0.0,10.413155249546396,pores/mm²
XRD,C3S_Content,75,43.374382121976325,3.521211238722375,36.28539470129838,52.21171420396062,43.729161608950406,40.71809745957684,45.776007494225496,wt%
XRD,C2S_Content,75,25.05288553778433,1.2743413746741479,22.23312935542441,27.60596532626598,25.057919503460823,23.97209135270528,26.040610170185424,wt%
XRD,C3A_Content,75,7.401434926393711,1.2219806384576297,4.675504453148617,8.930215307280424,7.852068132140515,7.436461894419645,8.125944735204923,wt%
XRD,C4AF_Content,75,9.616253989684015,0.9665221393113046,7.278965346495577,11.077274973990118,9.864019890298636,9.142065653033443,10.260689639941207,wt%
XRD,CH_Content,60,10.580228725092526,2.774289693022836,5.321102957144797,13.108130310025524,12.02527692170775,9.607140707304254,12.261433628185927,wt%
XRD,CSH_Content,45,14.719820181737928,0.7537226678729397,13.235593473692983,16.74550876740357,14.635256176625555,14.2000743410147,15.104110587173134,wt%
XRD,CASH_Content,30,8.009661897056729,0.5031546331166293,7.177612530581745,9.65524647905297,8.035912562645747,7.682867957763373,8.309500734460105,wt%
XRD,AFm_Content,15,5.136521188309383,0.2345487466116643,4.712614009437962,5.537189829240758,5.12807870615723,4.950334757356259,5.270018711757892,wt%
XRD,Natural_Rubber_Content,36,4.689627223783421,3.209112390351207,0.6961051986666482,11.732569949389877,3.697093038538836,2.228827190404851,6.4231869564920885,wt%
XRD,SBR_Content,48,1.9914668887542872,1.703192029724594,0.0528006795486655,6.000117467072869,1.4764266344484565,0.5108279223366744,3.1657394471904743,wt%
XRD,Carbon_Black_Content,60,1.2607793386882755,0.5900128700542543,0.3946013174995147,2.5757800017392523,1.1264467036251034,0.8019113107295408,1.7095721901804928,wt%
XRD,Vulcanization_Products_Content,36,2.058081643503893,1.4286876523698826,0.3496261903292519,5.895316409273751,1.6775683131214034,0.9543162164275639,2.9064249101742416,wt%
TGA,Total_Mass_Loss,75,12.39752617217189,9.29907231785744,0.0,31.24047094651759,11.624563625375028,5.441416325245352,19.49371461647337,wt%
TGA,Rubber_Mass_Loss,75,4.73541152977294,5.412811392677492,0.0,18.358138967119277,2.705059865921077,0.0,8.707956765220807,wt%
TGA,Cement_Mass_Loss,75,7.66211464239895,5.109882683830241,0.0,15.84964600301094,7.547661796598751,4.592382332566876,11.717491007755537,wt%
MicroCT,Total_Porosity,225,13.78916161260502,3.199324770682704,7.270540276253587,22.94124742683024,13.627921126726944,11.432498050746808,16.095123006578696,vol%
MicroCT,Pore_Connectivity,225,0.5987791156417539,0.2871567287837983,0.1517959465452969,1.1362131317818702,0.6051999566187765,0.3750437358585901,0.8447248870005197,dimensionless
MicroCT,Tortuosity,225,1.3908692706837504,0.17222938060721532,0.9866364499810354,1.94235894880496,1.3709516443879095,1.2537767914982794,1.5224168124817012,dimensionless
MicroCT,Rubber_Void_Volume_Fraction,225,0.5579011673624645,0.9487519805777462,-0.9532105372958716,3.3807785128752026,0.1159059229826571,0.0,1.088873436320231,vol%
MicroCT,Rubber_Void_Sphericity,225,0.8396118425943903,0.23987954580488208,0.394669461017772,1.3284953540834177,0.847279939266287,0.6375743509596031,1.0447421669864088,dimensionless
MicroCT,Crack_Volume_Fraction,225,0.2380118341410211,0.2330005021531573,0.0,0.7341199176585677,0.2017333188729254,0.0,0.4268607648836029,vol%
MicroCT,Crack_Orientation_Preference,225,0.4761697856084203,0.2813881995552852,0.0426955855828775,0.9920068113137392,0.4791302622927282,0.2013404977181677,0.6862229823637954,dimensionless
DTA,Peak_Endothermic_105C,60,-50.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,μV/mg
DTA,Peak_Endothermic_220C,60,-80.0,0.0,-80.0,-80.0,-80.0,-80.0,-80.0,μV/mg
DTA,Peak_Endothermic_450C,45,-120.0,0.0,-120.0,-120.0,-120.0,-120.0,-120.0,μV/mg
DTA,Peak_Endothermic_650C,30,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,μV/mg
DTA,Peak_Endothermic_200C,48,-200.0,0.0,-200.0,-200.0,-200.0,-200.0,-200.0,μV/mg
