country_code,country_name,bank_npl,bank_zscore,bank_roa,domestic_credit,regulatory_quality,total_fintech_regulations
BWA,Botswana,5.15,23.66,1.43,30.1,0.497,4
RWA,Rwanda,5.5,23.71,1.56,22.4,0.125,4
CIV,Côte d'Ivoire,9.98,14.26,0.84,22.2,-0.116,4
GHA,Ghana,6.84,19.32,1.84,9.4,-0.181,4
ZAF,South Africa,4.48,21.52,1.16,90.5,-0.224,4
BEN,Benin,12.05,11.37,1.22,18.6,-0.296,4
SEN,Senegal,9.2,17.71,1.55,31.4,-0.345,4
KEN,Kenya,4.87,22.34,2.31,31.6,-0.391,4
BFA,Burkina Faso,12.52,11.51,1.29,31.6,-0.486,4
ZMB,Zambia,13.3,13.52,1.58,43.0,-0.498,4
UGA,Uganda,7.15,14.57,0.93,14.8,-0.517,4
TZA,Tanzania,6.86,12.89,1.76,16.4,-0.588,4
MLI,Mali,8.28,5.97,0.24,23.4,-0.68,4
MOZ,Mozambique,12.64,13.23,1.46,18.5,-0.709,4
AGO,Angola,13.7,13.87,1.66,9.6,-0.761,4
MWI,Malawi,11.76,12.17,1.25,8.1,-0.772,4
NER,Niger,12.49,12.86,1.41,11.1,-0.817,4
CMR,Cameroon,11.88,13.84,1.42,38.4,-0.913,4
NGA,Nigeria,10.65,10.8,1.98,48.7,-0.937,4
ETH,Ethiopia,11.23,16.39,1.2,35.9,-1.021,4
