Sample_ID,SEM_Grain_Count,SEM_Mean_Grain_Size_um,SEM_Grain_Size_StdDev_um,SEM_Porosity_Area_pct,SEM_Pore_Count,SEM_Mean_Pore_Size_um,SEM_Pore_Size_StdDev_um,Archimedes_Density_g_cm3,Archimedes_Open_Porosity_pct,Archimedes_Closed_Porosity_pct,CT_Total_Porosity_pct,CT_Mean_Pore_Size_um,CT_Pore_Connectivity_pct,CT_Tortuosity,CT_Specific_Surface_Area_m2_g
S001,1247,2.15,0.82,10.5,89,1.2,0.6,3.41,8.3,2.4,10.8,1.15,23.4,1.8,0.45
S002,892,2.85,1.15,6.2,34,0.8,0.4,3.57,4.6,1.9,6.6,0.95,15.2,1.4,0.38
S003,1456,1.95,0.72,9.8,76,1.4,0.7,3.44,7.0,2.6,9.9,1.25,28.1,2.1,0.52
S004,634,3.65,1.48,2.6,12,0.5,0.2,3.71,1.6,1.2,2.9,0.65,8.7,1.1,0.28
S005,712,3.25,1.32,3.7,18,0.7,0.3,3.67,2.3,1.3,3.9,0.75,12.3,1.2,0.31
S006,1089,2.35,0.94,4.3,45,0.9,0.4,3.64,3.0,1.6,4.7,0.85,18.6,1.5,0.42
S007,756,3.15,1.28,1.1,8,0.4,0.2,3.77,0.7,0.5,1.3,0.55,6.2,1.0,0.25
S008,1324,2.05,0.84,7.9,67,1.3,0.6,3.51,5.7,2.1,8.1,1.05,25.8,1.9,0.48
S009,523,3.85,1.58,0.4,3,0.3,0.1,3.80,0.2,0.2,0.5,0.45,3.1,0.9,0.22
S010,678,3.45,1.38,1.6,14,0.6,0.3,3.75,1.0,0.7,1.8,0.65,9.8,1.1,0.29
S011,1201,2.25,0.89,10.0,85,1.1,0.5,3.43,7.6,2.3,10.2,1.10,22.7,1.7,0.44
S012,856,2.95,1.18,5.8,31,0.9,0.4,3.59,4.0,1.8,6.0,0.90,14.5,1.3,0.36
S013,1398,2.05,0.78,9.5,72,1.3,0.6,3.46,6.6,2.5,9.4,1.20,26.9,2.0,0.50
S014,598,3.75,1.52,2.3,10,0.5,0.2,3.73,1.4,1.0,2.4,0.60,7.8,1.0,0.26
S015,684,3.35,1.35,3.2,16,0.6,0.3,3.69,2.0,1.2,3.4,0.70,11.4,1.1,0.30
S016,1023,2.45,0.98,3.9,41,0.8,0.4,3.66,2.7,1.5,4.2,0.80,17.2,1.4,0.40
S017,732,3.25,1.30,0.9,7,0.4,0.2,3.79,0.6,0.4,1.1,0.50,5.6,0.9,0.24
S018,1278,2.15,0.87,7.4,63,1.2,0.6,3.53,5.3,2.0,7.6,1.00,24.3,1.8,0.46
S019,487,3.95,1.62,0.3,2,0.2,0.1,3.82,0.1,0.1,0.4,0.40,2.5,0.8,0.20
S020,642,3.55,1.42,1.4,12,0.5,0.2,3.77,0.9,0.6,1.6,0.60,8.9,1.0,0.27
S021,1189,2.20,0.86,9.8,83,1.0,0.5,3.42,7.4,2.4,10.5,1.05,21.9,1.6,0.43
S022,838,2.90,1.16,5.5,29,0.8,0.4,3.58,3.8,1.7,5.7,0.85,13.8,1.2,0.35
S023,1356,2.00,0.76,9.2,69,1.2,0.6,3.45,6.4,2.4,9.7,1.15,25.6,1.9,0.49
S024,578,3.70,1.50,2.1,9,0.4,0.2,3.72,1.3,0.9,2.2,0.55,7.2,0.9,0.25
S025,658,3.30,1.33,2.9,15,0.6,0.3,3.68,1.8,1.1,3.2,0.65,10.7,1.0,0.28
S026,996,2.40,0.96,3.6,38,0.7,0.3,3.65,2.5,1.4,3.9,0.75,16.1,1.3,0.38
S027,708,3.20,1.28,0.8,6,0.3,0.2,3.78,0.5,0.3,0.9,0.45,4.9,0.8,0.23
S028,1234,2.10,0.85,7.1,59,1.1,0.5,3.52,5.0,1.9,7.3,0.95,22.8,1.7,0.45
S029,451,4.05,1.66,0.2,1,0.1,0.1,3.83,0.1,0.1,0.3,0.35,1.8,0.7,0.18
S030,616,3.50,1.40,1.2,11,0.5,0.2,3.76,0.8,0.5,1.4,0.55,8.2,0.9,0.26
S031,1167,2.25,0.88,9.6,81,1.0,0.5,3.44,7.2,2.3,9.9,1.00,21.2,1.5,0.42
S032,814,2.95,1.18,5.2,27,0.7,0.3,3.60,3.6,1.6,5.5,0.80,12.9,1.1,0.34
S033,1312,2.05,0.79,8.9,66,1.1,0.5,3.47,6.2,2.3,9.1,1.10,24.7,1.8,0.47
S034,558,3.75,1.52,1.9,8,0.4,0.2,3.74,1.2,0.8,2.0,0.50,6.5,0.8,0.24
S035,634,3.35,1.35,2.7,14,0.5,0.2,3.70,1.7,1.0,3.2,0.60,9.8,1.0,0.27
S036,968,2.50,1.00,3.3,35,0.6,0.3,3.67,2.3,1.3,3.6,0.70,14.9,1.2,0.36
S037,684,3.30,1.32,0.7,5,0.3,0.1,3.80,0.4,0.3,0.7,0.40,4.2,0.7,0.21
S038,1198,2.20,0.89,6.8,55,1.0,0.5,3.54,4.8,1.8,7.0,0.90,21.4,1.6,0.44
S039,423,4.15,1.70,0.1,1,0.1,0.0,3.84,0.1,0.0,0.2,0.30,1.2,0.6,0.16
S040,588,3.60,1.44,1.0,9,0.4,0.2,3.78,0.7,0.4,1.1,0.50,7.4,0.8,0.24
S041,1156,2.20,0.87,9.7,80,1.0,0.5,3.43,7.3,2.3,10.2,1.05,20.8,1.5,0.41
S042,792,2.90,1.16,5.0,25,0.7,0.3,3.59,3.4,1.6,5.0,0.75,11.7,1.0,0.32
S043,1298,2.00,0.77,8.7,64,1.1,0.5,3.46,6.0,2.3,9.4,1.05,23.9,1.7,0.46
S044,538,3.70,1.50,1.8,7,0.3,0.2,3.73,1.1,0.7,1.8,0.45,5.9,0.7,0.22
S045,628,3.30,1.33,2.5,13,0.5,0.2,3.69,1.6,0.9,2.9,0.55,9.2,0.9,0.25
S046,940,2.45,0.98,3.0,32,0.5,0.2,3.66,2.1,1.2,3.3,0.65,13.6,1.1,0.34
S047,656,3.25,1.30,0.6,4,0.2,0.1,3.79,0.3,0.2,0.6,0.35,3.7,0.6,0.19
S048,1176,2.15,0.87,6.5,51,0.9,0.4,3.53,4.5,1.7,6.8,0.85,19.7,1.5,0.42
S049,395,4.25,1.74,0.1,0,0.0,0.0,3.85,0.0,0.1,0.1,0.25,0.8,0.5,0.14
S050,568,3.55,1.42,0.9,8,0.3,0.1,3.77,0.6,0.4,1.0,0.45,6.8,0.7,0.22
