country,year,quarter,date,cyber_incidents,mobile_money_fraud_search_trends,mobile_money_fraud_cases,data_breach_severity,digital_payment_volume_millions_usd,cyber_risk_score
Nigeria,2020,1,2020-10-12,79,39.03388131150832,63,0.6219346881828828,6628.3719333742165,0.5247240713084176
Nigeria,2020,2,2021-01-11,17,52.13171071389249,165,3.414209548953526,731.5848626999259,0.5247240713084176
Nigeria,2020,3,2021-04-12,32,42.891482860938325,168,3.3938647450381487,703.5859059682788,0.5247240713084176
Nigeria,2020,4,2021-07-12,68,85.70972644776505,126,0.6871244345610935,4132.1019319786155,0.5247240713084176
Nigeria,2021,1,2021-10-12,49,73.55748179322464,85,3.3483166713611405,3558.8975402202723,0.5247240713084176
Nigeria,2021,2,2022-01-11,10,59.592842536832435,104,1.851441968556186,2242.519280901162,0.5247240713084176
Nigeria,2021,3,2022-04-12,69,25.735204484013195,261,4.167061118840955,456.69689624384887,0.5247240713084176
Nigeria,2021,4,2022-07-12,21,54.48715801037048,30,3.9703013904523368,4545.143667981946,0.5247240713084176
Nigeria,2022,1,2022-10-12,31,92.47427209979608,189,2.9933385572674123,1581.1006828984587,0.5247240713084176
Nigeria,2022,2,2023-01-11,13,105.44466301926404,85,1.6052272154503686,444.6569665606708,0.5247240713084176
Nigeria,2022,3,2023-04-12,20,96.263999042581,81,4.337873641308704,4286.077214024815,0.5247240713084176
Nigeria,2022,4,2023-07-12,12,97.53139567044255,261,1.090790263314299,2551.348049741357,0.5247240713084176
Nigeria,2023,1,2023-10-12,30,57.3794950689401,343,2.872988415483339,1460.7529621631263,0.5247240713084176
Nigeria,2023,2,2024-01-11,11,29.796178198545302,112,1.2089925160671886,3718.7979989792957,0.5247240713084176
Nigeria,2023,3,2024-04-11,27,46.24616367783203,220,3.5165786734361255,2104.56024224302,0.5247240713084176
Nigeria,2023,4,2024-07-11,61,28.850350061885397,194,2.9430920612646156,1471.3196644592713,0.5247240713084176
Nigeria,2024,1,2024-10-11,22,108.02170699388758,51,4.89160507217277,3987.0144885230147,0.5247240713084176
Nigeria,2024,2,2025-01-10,60,72.0499954726084,71,4.776963330817641,3110.0501804373826,0.5247240713084176
Nigeria,2024,3,2025-04-11,34,39.52961739120959,281,1.0039251211599165,2359.380804507232,0.5247240713084176
Nigeria,2024,4,2025-07-11,19,82.85802070302111,86,2.061429561094368,4583.422023911551,0.5247240713084176
Kenya,2020,1,2020-10-12,64,64.25419284495096,106,5.407887897394744,4402.460179859214,0.8095340462965068
Kenya,2020,2,2021-01-11,56,99.13672397557951,110,7.573083386310692,3238.5165942553235,0.8095340462965068
Kenya,2020,3,2021-04-12,99,65.9634217510147,301,4.866280257124711,5890.932398197977,0.8095340462965068
Kenya,2020,4,2021-07-12,44,125.45099044668538,67,6.206630794796791,4436.361178536354,0.8095340462965068
Kenya,2021,1,2021-10-12,34,107.756781192885,345,4.463484684192347,4894.092822291624,0.8095340462965068
Kenya,2021,2,2022-01-11,62,37.336931553161975,219,5.114230807331413,182.06909843003427,0.8095340462965068
Kenya,2021,3,2022-04-12,72,79.44944814801494,268,1.431359154394497,397.42505602236116,0.8095340462965068
Kenya,2021,4,2022-07-12,56,124.0544779119383,188,2.782765400382519,1716.9537115181647,0.8095340462965068
Kenya,2022,1,2022-10-12,13,45.136010692374654,65,6.015941605229812,3081.3332816163797,0.8095340462965068
Kenya,2022,2,2023-01-11,94,88.2480996809612,152,6.331054100765119,135.20458294755514,0.8095340462965068
Kenya,2022,3,2023-04-12,15,37.71573464635914,186,3.970493176196769,2448.1824314585165,0.8095340462965068
Kenya,2022,4,2023-07-12,42,89.63845641236439,208,1.996642740622603,541.1564630140988,0.8095340462965068
Kenya,2023,1,2023-10-12,12,91.35224575829761,177,3.6226031222780453,6850.55250175287,0.8095340462965068
Kenya,2023,2,2024-01-11,16,29.88715984734485,54,3.1335287402516916,3046.8586565354303,0.8095340462965068
Kenya,2023,3,2024-04-11,70,96.60807802233957,255,6.6635405645652614,1247.7465640996331,0.8095340462965068
Kenya,2023,4,2024-07-11,68,104.44289311463304,157,3.935101483657904,4926.78369360066,0.8095340462965068
Kenya,2024,1,2024-10-11,24,109.36395407256252,145,0.8884950769932821,3506.748415710519,0.8095340462965068
Kenya,2024,2,2025-01-10,36,72.19264412972049,113,6.291189220611545,5298.462654980248,0.8095340462965068
Kenya,2024,3,2025-04-11,16,82.13254411387813,188,1.6624616657650015,1048.2298896097889,0.8095340462965068
Kenya,2024,4,2025-07-11,48,97.0242228712702,50,1.4022255142854234,768.0451717390888,0.8095340462965068
South Africa,2020,1,2020-10-12,31,93.91408279421047,174,1.049532718699803,1782.5373138145549,0.5245624774536722
South Africa,2020,2,2021-01-11,27,35.630207120067105,214,5.067039019345145,1798.5148716855717,0.5245624774536722
South Africa,2020,3,2021-04-12,52,110.89289314990049,172,2.670479160804791,3706.6987372461035,0.5245624774536722
South Africa,2020,4,2021-07-12,50,109.22368575396256,271,1.8340963223461924,1094.2988585092214,0.5245624774536722
South Africa,2021,1,2021-10-12,33,111.34284471262593,311,1.9858616366090436,5100.440218203934,0.5245624774536722
