country,date,year,quarter,year_quarter,cyber_incidents_reported,google_trend_mobile_fraud,data_breach_severity_index,phishing_attempts_per_1000_users,social_media_sentiment_score,consumer_trust_index,net_promoter_score,customer_complaint_rate,herfindahl_hirschman_index,new_fintech_licenses_issued,market_entry_rate,innovation_index,system_interconnectedness_score,regulatory_compliance_score,operational_risk_index,liquidity_risk_indicator,tech_maturity_score,market_size_score,regulatory_strength_score,composite_cyber_risk,market_health_score,risk_adjusted_growth_potential,cyber_incidents_reported_yoy_change,consumer_trust_index_yoy_change,herfindahl_hirschman_index_yoy_change,new_fintech_licenses_issued_yoy_change
Kenya,2018-03-31,2018,1,2018-Q1,15,29.4,5.78,0.38,51.2,91.5,55.2,1.19,1560.0,0,4.91,24.6,33.8,58.5,1.0,0.061,85.0,80.0,90.0,24.585,64.75,57.466800000000006,,,,
Kenya,2018-06-30,2018,2,2018-Q2,1,35.5,2.09,1.07,36.4,74.3,28.3,1.91,1455.0,0,3.4,42.0,45.0,77.8,1.0,0.0,85.0,80.0,90.0,11.9625,69.8875,61.2,,,,
Kenya,2018-09-30,2018,3,2018-Q3,1,42.7,5.88,0.84,38.2,70.4,10.7,4.46,1454.0,13,2.76,30.4,58.7,58.7,1.0,0.0,85.0,80.0,90.0,20.467499999999998,61.24000000000001,61.2,,,,
Kenya,2018-12-31,2018,4,2018-Q4,8,54.9,6.63,0.95,28.1,84.0,56.0,1.35,1590.0,0,2.74,35.5,59.1,73.8,1.0,0.13,85.0,80.0,90.0,26.697499999999998,69.35,53.244,,,,
Kenya,2019-03-31,2019,1,2019-Q1,1,60.8,6.49,0.71,36.5,99.4,34.8,0.96,1541.0,0,5.3,45.7,51.9,47.1,1.0,0.066,85.0,80.0,90.0,21.795,69.1975,57.1608,-93.33333333333333,8.633879781420761,-1.2179487179487136,
Kenya,2019-06-30,2019,2,2019-Q2,13,43.1,4.66,0.39,46.4,89.9,51.9,3.16,1461.0,9,4.79,46.3,63.7,60.7,1.0,0.065,85.0,80.0,90.0,21.1775,70.5725,57.22200000000001,1200.0,20.995962314939455,0.4123711340206171,inf
Kenya,2019-09-30,2019,3,2019-Q3,1,41.1,4.1,1.73,39.8,71.4,18.0,4.48,1620.0,3,1.65,51.0,51.6,82.7,1.0,0.06,85.0,80.0,90.0,20.427500000000002,72.225,57.528,0.0,1.4204545454545414,11.416781292984869,-76.92307692307692
Kenya,2019-12-31,2019,4,2019-Q4,1,51.4,5.29,0.44,49.4,94.0,77.9,1.36,1138.0,7,3.68,46.8,52.0,59.0,1.0,0.037,85.0,80.0,90.0,17.21,72.105,58.9356,-87.5,11.904761904761907,-28.42767295597485,inf
Kenya,2020-03-31,2020,1,2020-Q1,8,32.6,7.62,1.68,34.5,81.3,41.6,1.97,1413.0,9,5.19,51.7,36.6,72.5,2.7,0.0,85.0,80.0,90.0,32.265,72.8425,49.64,700.0,-18.209255533199197,-8.306294613887088,inf
Kenya,2020-06-30,2020,2,2020-Q2,29,50.8,4.23,0.3,40.5,79.0,59.2,1.13,1548.0,3,8.33,46.8,60.6,66.3,1.98,0.22,85.0,80.0,90.0,27.845,69.155,42.53808,123.07692307692308,-12.124582869855406,5.954825462012314,-66.66666666666667
Kenya,2020-09-30,2020,3,2020-Q3,1,25.9,4.14,0.44,38.3,91.8,66.9,2.45,1429.0,4,3.38,55.9,41.4,70.8,1.0,0.016,85.0,80.0,90.0,13.697499999999998,76.0525,60.220800000000004,0.0,28.57142857142856,-11.790123456790125,33.33333333333333
Kenya,2020-12-31,2020,4,2020-Q4,1,43.1,6.37,0.31,38.3,95.4,61.3,1.34,1401.0,4,6.8,45.0,52.7,66.1,1.0,0.045,85.0,80.0,90.0,19.052500000000002,73.1225,58.446,0.0,1.4893617021276562,23.110720562390163,-42.85714285714286
