# Comprehensive SOFC Materials Database - All Materials
# Format: Material,Temperature(°C),E(GPa),ν,CTE(10^-6/K),ρ(kg/m³),k(W/mK),KIC(MPa√m),σ0(MPa)

# 8mol% Yttria-Stabilized Zirconia (8YSZ) - Electrolyte
YSZ-8mol,25,210.0,0.313,10.0,5900,2.7,2.5,250
YSZ-8mol,100,208.5,0.313,10.1,5898,2.6,2.4,245
YSZ-8mol,200,206.2,0.314,10.2,5895,2.5,2.3,240
YSZ-8mol,300,203.8,0.314,10.3,5892,2.4,2.2,235
YSZ-8mol,400,201.0,0.315,10.4,5889,2.3,2.1,230
YSZ-8mol,500,198.0,0.315,10.5,5886,2.2,2.0,225
YSZ-8mol,600,194.5,0.316,10.6,5883,2.15,1.95,220
YSZ-8mol,700,190.5,0.316,10.7,5880,2.1,1.9,215
YSZ-8mol,800,186.0,0.317,10.8,5877,2.05,1.85,210
YSZ-8mol,900,181.0,0.318,10.9,5874,2.0,1.8,205
YSZ-8mol,1000,175.5,0.319,11.0,5871,1.95,1.75,200
YSZ-8mol,1100,169.5,0.320,11.1,5868,1.9,1.7,195
YSZ-8mol,1200,163.0,0.321,11.2,5865,1.85,1.65,190
YSZ-8mol,1300,156.0,0.322,11.3,5862,1.8,1.6,185
YSZ-8mol,1400,148.5,0.323,11.4,5859,1.75,1.55,180
YSZ-8mol,1500,140.5,0.324,11.5,5856,1.7,1.5,175

# 20mol% Gadolinium-Doped Ceria (GDC-20) - Electrolyte/Barrier Layer
GDC-20,25,220.0,0.326,12.0,7150,2.0,1.8,180
GDC-20,200,217.0,0.327,12.2,7145,1.85,1.7,175
GDC-20,400,213.0,0.328,12.4,7140,1.7,1.6,170
GDC-20,600,208.0,0.329,12.6,7135,1.55,1.5,165
GDC-20,800,202.0,0.330,12.8,7130,1.4,1.4,160
GDC-20,1000,195.0,0.331,13.0,7125,1.25,1.3,155
GDC-20,1200,187.0,0.332,13.2,7120,1.1,1.2,150
GDC-20,1400,178.0,0.333,13.4,7115,0.95,1.1,145

# La0.6Sr0.4Co0.2Fe0.8O3-δ (LSCF-6428) - Cathode
LSCF-6428,25,95.0,0.280,15.5,6200,1.8,1.2,120
