Material_ID,Temperature_C,Stress_MPa,Time_hours,Creep_Strain_percent,Strain_Rate_per_hour,Test_Standard,Notes
MAT001,300,100,0,0.000,0.000,ASTM_E139,Baseline_measurement
MAT001,300,100,1,0.015,0.015,ASTM_E139,Primary_creep_region
MAT001,300,100,2,0.028,0.013,ASTM_E139,Primary_creep_region
MAT001,300,100,5,0.065,0.012,ASTM_E139,Primary_creep_region
MAT001,300,100,10,0.125,0.012,ASTM_E139,Transition_to_secondary
MAT001,300,100,20,0.240,0.011,ASTM_E139,Secondary_creep_region
MAT001,300,100,50,0.580,0.011,ASTM_E139,Secondary_creep_region
MAT001,300,100,100,1.150,0.011,ASTM_E139,Secondary_creep_region
MAT001,300,100,200,2.280,0.011,ASTM_E139,Secondary_creep_region
MAT001,300,100,500,5.650,0.011,ASTM_E139,Secondary_creep_region
MAT001,300,100,1000,11.200,0.011,ASTM_E139,Secondary_creep_region
MAT001,300,150,0,0.000,0.000,ASTM_E139,Baseline_measurement
MAT001,300,150,1,0.025,0.025,ASTM_E139,Primary_creep_region
MAT001,300,150,2,0.048,0.023,ASTM_E139,Primary_creep_region
MAT001,300,150,5,0.115,0.022,ASTM_E139,Primary_creep_region
MAT001,300,150,10,0.225,0.022,ASTM_E139,Transition_to_secondary
MAT001,300,150,20,0.440,0.021,ASTM_E139,Secondary_creep_region
MAT001,300,150,50,1.080,0.021,ASTM_E139,Secondary_creep_region
MAT001,300,150,100,2.150,0.021,ASTM_E139,Secondary_creep_region
MAT001,300,150,200,4.280,0.021,ASTM_E139,Secondary_creep_region
MAT001,300,150,500,10.650,0.021,ASTM_E139,Secondary_creep_region
MAT001,300,150,1000,21.200,0.021,ASTM_E139,Secondary_creep_region
MAT001,400,100,0,0.000,0.000,ASTM_E139,Baseline_measurement
MAT001,400,100,1,0.035,0.035,ASTM_E139,Primary_creep_region
MAT001,400,100,2,0.068,0.033,ASTM_E139,Primary_creep_region
MAT001,400,100,5,0.165,0.032,ASTM_E139,Primary_creep_region
MAT001,400,100,10,0.325,0.032,ASTM_E139,Transition_to_secondary
MAT001,400,100,20,0.640,0.031,ASTM_E139,Secondary_creep_region
MAT001,400,100,50,1.580,0.031,ASTM_E139,Secondary_creep_region
MAT001,400,100,100,3.150,0.031,ASTM_E139,Secondary_creep_region
MAT001,400,100,200,6.280,0.031,ASTM_E139,Secondary_creep_region
MAT001,400,100,500,15.650,0.031,ASTM_E139,Secondary_creep_region
MAT001,400,100,1000,31.200,0.031,ASTM_E139,Secondary_creep_region
MAT001,400,150,0,0.000,0.000,ASTM_E139,Baseline_measurement
MAT001,400,150,1,0.055,0.055,ASTM_E139,Primary_creep_region
MAT001,400,150,2,0.108,0.053,ASTM_E139,Primary_creep_region
MAT001,400,150,5,0.265,0.052,ASTM_E139,Primary_creep_region
MAT001,400,150,10,0.525,0.052,ASTM_E139,Transition_to_secondary
MAT001,400,150,20,1.040,0.051,ASTM_E139,Secondary_creep_region
MAT001,400,150,50,2.580,0.051,ASTM_E139,Secondary_creep_region
MAT001,400,150,100,5.150,0.051,ASTM_E139,Secondary_creep_region
MAT001,400,150,200,10.280,0.051,ASTM_E139,Secondary_creep_region
MAT001,400,150,500,25.650,0.051,ASTM_E139,Secondary_creep_region
MAT001,400,150,1000,51.200,0.051,ASTM_E139,Secondary_creep_region
MAT001,500,100,0,0.000,0.000,ASTM_E139,Baseline_measurement
MAT001,500,100,1,0.085,0.085,ASTM_E139,Primary_creep_region
MAT001,500,100,2,0.168,0.083,ASTM_E139,Primary_creep_region
MAT001,500,100,5,0.415,0.082,ASTM_E139,Primary_creep_region
MAT001,500,100,10,0.825,0.082,ASTM_E139,Transition_to_secondary
MAT001,500,100,20,1.640,0.081,ASTM_E139,Secondary_creep_region
MAT001,500,100,50,4.080,0.081,ASTM_E139,Secondary_creep_region
MAT001,500,100,100,8.150,0.081,ASTM_E139,Secondary_creep_region
MAT001,500,100,200,16.280,0.081,ASTM_E139,Secondary_creep_region
MAT001,500,100,500,40.650,0.081,ASTM_E139,Secondary_creep_region
MAT001,500,100,1000,81.200,0.081,ASTM_E139,Secondary_creep_region
MAT001,500,150,0,0.000,0.000,ASTM_E139,Baseline_measurement
MAT001,500,150,1,0.135,0.135,ASTM_E139,Primary_creep_region
MAT001,500,150,2,0.268,0.133,ASTM_E139,Primary_creep_region
MAT001,500,150,5,0.665,0.132,ASTM_E139,Primary_creep_region
MAT001,500,150,10,1.325,0.132,ASTM_E139,Transition_to_secondary
MAT001,500,150,20,2.640,0.131,ASTM_E139,Secondary_creep_region
MAT001,500,150,50,6.580,0.131,ASTM_E139,Secondary_creep_region
MAT001,500,150,100,13.150,0.131,ASTM_E139,Secondary_creep_region
