Temperature_C,Concrete_Type,CTE_10e6_perK,Transient_Thermal_Strain_10e6,Free_Strain_10e6,Load_Induced_Thermal_Strain_10e6,Source
20,Control_Concrete,10.0,0.0,0.0,0.0,Experimental
20,Rubberized_5%,11.2,0.0,0.0,0.0,Experimental
20,Rubberized_10%,12.5,0.0,0.0,0.0,Experimental
20,Rubberized_15%,13.8,0.0,0.0,0.0,Experimental
20,Rubberized_20%,15.2,0.0,0.0,0.0,Experimental
100,Control_Concrete,10.5,150.0,150.0,120.0,Experimental
100,Rubberized_5%,11.8,165.0,165.0,132.0,Experimental
100,Rubberized_10%,13.1,180.0,180.0,144.0,Experimental
100,Rubberized_15%,14.5,195.0,195.0,156.0,Experimental
100,Rubberized_20%,16.0,210.0,210.0,168.0,Experimental
200,Control_Concrete,11.0,350.0,350.0,280.0,Experimental
200,Rubberized_5%,12.4,385.0,385.0,308.0,Experimental
200,Rubberized_10%,13.8,420.0,420.0,336.0,Experimental
200,Rubberized_15%,15.3,455.0,455.0,364.0,Experimental
200,Rubberized_20%,16.9,490.0,490.0,392.0,Experimental
300,Control_Concrete,11.5,600.0,600.0,480.0,Experimental
300,Rubberized_5%,13.0,660.0,660.0,528.0,Experimental
300,Rubberized_10%,14.5,720.0,720.0,576.0,Experimental
300,Rubberized_15%,16.1,780.0,780.0,624.0,Experimental
300,Rubberized_20%,17.8,840.0,840.0,672.0,Experimental
400,Control_Concrete,12.0,900.0,900.0,720.0,Experimental
400,Rubberized_5%,13.6,990.0,990.0,792.0,Experimental
400,Rubberized_10%,15.2,1080.0,1080.0,864.0,Experimental
400,Rubberized_15%,16.9,1170.0,1170.0,936.0,Experimental
400,Rubberized_20%,18.7,1260.0,1260.0,1008.0,Experimental
500,Control_Concrete,12.5,1250.0,1250.0,1000.0,Experimental
500,Rubberized_5%,14.2,1375.0,1375.0,1100.0,Experimental
500,Rubberized_10%,15.9,1500.0,1500.0,1200.0,Experimental
500,Rubberized_15%,17.7,1625.0,1625.0,1300.0,Experimental
500,Rubberized_20%,19.6,1750.0,1750.0,1400.0,Experimental
600,Control_Concrete,13.0,1650.0,1650.0,1320.0,Experimental
600,Rubberized_5%,14.8,1815.0,1815.0,1452.0,Experimental
600,Rubberized_10%,16.6,1980.0,1980.0,1584.0,Experimental
600,Rubberized_15%,18.5,2145.0,2145.0,1716.0,Experimental
600,Rubberized_20%,20.5,2310.0,2310.0,1848.0,Experimental
700,Control_Concrete,13.5,2100.0,2100.0,1680.0,Experimental
700,Rubberized_5%,15.4,2310.0,2310.0,1848.0,Experimental
700,Rubberized_10%,17.3,2520.0,2520.0,2016.0,Experimental
700,Rubberized_15%,19.3,2730.0,2730.0,2184.0,Experimental
700,Rubberized_20%,21.4,2940.0,2940.0,2352.0,Experimental
800,Control_Concrete,14.0,2600.0,2600.0,2080.0,Experimental
800,Rubberized_5%,16.0,2860.0,2860.0,2288.0,Experimental
800,Rubberized_10%,18.0,3120.0,3120.0,2496.0,Experimental
800,Rubberized_15%,20.1,3380.0,3380.0,2704.0,Experimental
800,Rubberized_20%,22.3,3640.0,3640.0,2912.0,Experimental
900,Control_Concrete,14.5,3150.0,3150.0,2520.0,Experimental
900,Rubberized_5%,16.6,3465.0,3465.0,2772.0,Experimental
900,Rubberized_10%,18.7,3780.0,3780.0,3024.0,Experimental
900,Rubberized_15%,20.9,4095.0,4095.0,3276.0,Experimental
900,Rubberized_20%,23.2,4410.0,4410.0,3528.0,Experimental
1000,Control_Concrete,15.0,3750.0,3750.0,3000.0,Experimental
1000,Rubberized_5%,17.2,4125.0,4125.0,3300.0,Experimental
1000,Rubberized_10%,19.4,4500.0,4500.0,3600.0,Experimental
1000,Rubberized_15%,21.7,4875.0,4875.0,3900.0,Experimental
1000,Rubberized_20%,24.1,5250.0,5250.0,4200.0,Experimental
