country_code,country_name,year,bank_capital,bank_zscore,domestic_credit,regulatory_quality,bank_zscore_source,bank_roa,bank_roa_source,bank_npl,bank_npl_source,domestic_credit_source,regulatory_quality_source,reg_mobile_money_regulation,reg_digital_lending_guidelines,reg_data_protection_act,reg_payment_services_act,total_fintech_regulations,reg_data_protection_regulation,reg_payment_services_banks,reg_payment_services_directive,reg_payment_systems_act,reg_data_protection_law,reg_payment_systems_law
ZAF,South Africa,2010,6.78389119750208,14.02741,124.093899905646,0.445573270320892,worldbank,1.065730969076799,synthetic,3.664327422691998,synthetic,worldbank,worldbank,0,0,0.0,0.0,0,,,,,,
ZAF,South Africa,2011,6.83583959729123,14.67227,118.970675992703,0.446406275033951,worldbank,1.6604510824309497,synthetic,4.564754094226352,synthetic,worldbank,worldbank,1,0,0.0,0.0,1,,,,,,
ZAF,South Africa,2012,7.4369887255935,15.86341,125.167785450237,0.398661673069,worldbank,1.9926139317956193,synthetic,5.25033889535268,synthetic,worldbank,worldbank,1,0,0.0,1.0,2,,,,,,
ZAF,South Africa,2013,7.55530675097008,14.81967,127.029272479725,0.380482465028763,worldbank,1.9786785838930254,synthetic,5.621283655394395,synthetic,worldbank,worldbank,1,0,1.0,1.0,3,,,,,,
ZAF,South Africa,2014,7.16761401120425,14.72688,128.838374779653,0.230833724141121,worldbank,1.7219943085048088,synthetic,5.63039857560019,synthetic,worldbank,worldbank,1,0,1.0,1.0,3,,,,,,
ZAF,South Africa,2015,7.12183209283378,14.85629,127.203244242731,0.208593904972076,worldbank,1.6194683219731922,synthetic,5.779866739069348,synthetic,worldbank,worldbank,1,0,1.0,1.0,3,,,,,,
ZAF,South Africa,2016,7.64707124159309,16.06648,124.360496111764,0.119783155620098,worldbank,1.1073512332637396,synthetic,4.354751695010371,synthetic,worldbank,worldbank,1,0,1.0,1.0,3,,,,,,
ZAF,South Africa,2017,8.19395489709604,17.25503,127.030283858454,0.13887757062912,worldbank,0.9244415683246973,synthetic,3.3111039208117434,synthetic,worldbank,worldbank,1,0,1.0,1.0,3,,,,,,
ZAF,South Africa,2018,7.91208376467566,15.94073,118.380857963487,-0.0407781675457954,worldbank,1.13481782795633,synthetic,3.2506709580398025,synthetic,worldbank,worldbank,1,0,1.0,1.0,3,,,,,,
ZAF,South Africa,2019,8.0079591051095,15.87728,117.185556861489,0.00850539095699787,worldbank,1.1840633841041504,synthetic,3.228962526124008,synthetic,worldbank,worldbank,1,1,1.0,1.0,4,,,,,,
ZAF,South Africa,2020,7.61014587740305,13.42673,109.054691372725,0.0204948224127293,worldbank,1.1705314178793695,synthetic,5.6185290194627004,synthetic,worldbank,worldbank,1,1,1.0,1.0,4,,,,,,
ZAF,South Africa,2021,8.09058344861373,15.46206,92.9969726414732,-0.0907086357474327,worldbank,1.0247192836630559,synthetic,4.222695386246158,synthetic,worldbank,worldbank,1,1,1.0,1.0,4,,,,,,
ZAF,South Africa,2022,,23.907262613072717,91.721858565369,-0.185125753283501,synthetic,1.6283821675191377,synthetic,6.532167803353926,synthetic,worldbank,worldbank,1,1,1.0,1.0,4,,,,,,
ZAF,South Africa,2023,,21.519044697854316,90.5484925643132,-0.223697945475578,synthetic,1.158296102245311,synthetic,4.4821138674642995,synthetic,worldbank,worldbank,1,1,1.0,1.0,4,,,,,,
