Specimen_ID,Mix_ID,Peak_Temperature_C,Heating_Rate,Cooling_Method,Test_Type,Mass_Loss_pct,UPV_mps,Residual_Compressive_Strength_MPa,Spalling_Occurred,Spalling_Depth_mm,Visual_Cracking_Rating
C-28-R-23-Furnace-5_C_per_min-1,C,23,5_C_per_min,Furnace,Residual,0.0,4430.262894537428,62.01433131146085,False,0.0,Minor
C-28-R-23-Furnace-5_C_per_min-2,C,23,5_C_per_min,Furnace,Residual,0.0,4311.301818454666,61.584181111381454,False,0.0,None
C-28-R-23-Furnace-5_C_per_min-3,C,23,5_C_per_min,Furnace,Residual,0.0,4206.97621877705,69.79408853528382,False,0.0,Moderate
C-28-R-23-Furnace-10_C_per_min-1,C,23,10_C_per_min,Furnace,Residual,0.0,4981.836485180777,60.690728588310456,False,0.0,Minor
C-28-R-23-Furnace-10_C_per_min-2,C,23,10_C_per_min,Furnace,Residual,0.0,4447.920217720723,59.97622850298454,False,0.0,Minor
C-28-R-23-Furnace-10_C_per_min-3,C,23,10_C_per_min,Furnace,Residual,0.0,4342.19402849598,71.61678398003743,False,0.0,None
C-28-R-23-Quench-5_C_per_min-1,C,23,5_C_per_min,Quench,Residual,0.0,4909.855155815568,73.87518257487571,False,0.0,Severe
C-28-R-23-Quench-5_C_per_min-2,C,23,5_C_per_min,Quench,Residual,0.0,4960.978187781605,75.84341869712037,False,0.0,None
C-28-R-23-Quench-5_C_per_min-3,C,23,5_C_per_min,Quench,Residual,0.0,4820.067398735322,65.95952189546188,False,0.0,Minor
C-28-R-23-Quench-10_C_per_min-1,C,23,10_C_per_min,Quench,Residual,0.0,4474.172062533853,60.787896474078984,False,0.0,Minor
C-28-R-23-Quench-10_C_per_min-2,C,23,10_C_per_min,Quench,Residual,0.0,4710.638077729476,62.982579664139486,False,0.0,Minor
C-28-R-23-Quench-10_C_per_min-3,C,23,10_C_per_min,Quench,Residual,0.0,4711.567721519629,78.33213309896621,False,0.0,None
C-28-R-200-Furnace-5_C_per_min-1,C,200,5_C_per_min,Furnace,Residual,1.611168333598403,4435.212838152645,63.21842002236586,False,0.0,Severe
C-28-R-200-Furnace-5_C_per_min-2,C,200,5_C_per_min,Furnace,Residual,1.5015786115565872,4733.178656963707,65.61168724751165,False,0.0,Minor
C-28-R-200-Furnace-5_C_per_min-3,C,200,5_C_per_min,Furnace,Residual,1.6449586988376053,4343.316931038485,68.32485270620947,False,0.0,None
C-28-R-200-Furnace-10_C_per_min-1,C,200,10_C_per_min,Furnace,Residual,1.5004420536149956,4516.748318306299,66.11055204979013,False,0.0,Minor
C-28-R-200-Furnace-10_C_per_min-2,C,200,10_C_per_min,Furnace,Residual,1.7300579390142337,4744.909357884317,70.39940304675719,False,0.0,None
C-28-R-200-Furnace-10_C_per_min-3,C,200,10_C_per_min,Furnace,Residual,1.313972542090915,4283.257569608387,63.72811372567286,False,0.0,Moderate
C-28-R-200-Quench-5_C_per_min-1,C,200,5_C_per_min,Quench,Residual,1.565171007483645,4436.183494781571,56.489863954883184,False,0.0,Moderate
C-28-R-200-Quench-5_C_per_min-2,C,200,5_C_per_min,Quench,Residual,1.6019434414517162,4297.401364508399,55.89576770351984,False,0.0,Moderate
C-28-R-200-Quench-5_C_per_min-3,C,200,5_C_per_min,Quench,Residual,1.6518666163981508,4191.4809499088,56.36092501703795,False,0.0,Severe
C-28-R-200-Quench-10_C_per_min-1,C,200,10_C_per_min,Quench,Residual,1.3132727839783656,4245.604855893112,66.45195271607247,False,0.0,Minor
C-28-R-200-Quench-10_C_per_min-2,C,200,10_C_per_min,Quench,Residual,1.699859170728345,4401.28837111439,62.87073889219348,False,0.0,None
C-28-R-200-Quench-10_C_per_min-3,C,200,10_C_per_min,Quench,Residual,1.2655971602191554,4436.416141674691,53.897974699894895,False,0.0,Moderate
C-28-R-400-Furnace-5_C_per_min-1,C,400,5_C_per_min,Furnace,Residual,3.0971565306710422,2717.201949534861,21.493635142309323,False,0.0,Minor
C-28-R-400-Furnace-5_C_per_min-2,C,400,5_C_per_min,Furnace,Residual,3.061342909791181,2689.3671115422103,21.975578210461347,False,0.0,Moderate
C-28-R-400-Furnace-5_C_per_min-3,C,400,5_C_per_min,Furnace,Residual,3.274255979954444,2469.4787962133296,22.146220542156275,False,0.0,Moderate
C-28-R-400-Furnace-10_C_per_min-1,C,400,10_C_per_min,Furnace,Residual,3.8836813835853605,2378.861036050894,14.295533721541164,True,6.670014333973375,Moderate
C-28-R-400-Furnace-10_C_per_min-2,C,400,10_C_per_min,Furnace,Residual,4.813133428705752,2193.7167160715694,13.484119479548845,True,14.373212839882525,None
