Sample_ID,Pore_Size_Range_um,Count_in_Range,Percentage_in_Range,Cumulative_Percentage,Pore_Size_Center_um,Pore_Type
S001,0.2-0.5,23,25.8,25.8,0.35,Open
S001,0.5-1.0,34,38.2,64.0,0.75,Open
S001,1.0-1.5,18,20.2,84.2,1.25,Open
S001,1.5-2.0,8,9.0,93.2,1.75,Open
S001,2.0-2.5,4,4.5,97.7,2.25,Open
S001,2.5-3.0,2,2.3,100.0,2.75,Open
S002,0.1-0.3,8,23.5,23.5,0.2,Open
S002,0.3-0.6,12,35.3,58.8,0.45,Open
S002,0.6-1.0,8,23.5,82.3,0.8,Open
S002,1.0-1.5,4,11.8,94.1,1.25,Open
S002,1.5-2.0,2,5.9,100.0,1.75,Open
S003,0.3-0.7,19,25.0,25.0,0.5,Open
S003,0.7-1.2,30,39.5,64.5,0.95,Open
S003,1.2-1.8,15,19.7,84.2,1.5,Open
S003,1.8-2.5,8,10.5,94.7,2.15,Open
S003,2.5-3.2,4,5.3,100.0,2.85,Open
S004,0.1-0.2,3,25.0,25.0,0.15,Open
S004,0.2-0.4,4,33.3,58.3,0.3,Open
S004,0.4-0.7,3,25.0,83.3,0.55,Open
S004,0.7-1.0,2,16.7,100.0,0.85,Open
S005,0.1-0.3,5,27.8,27.8,0.2,Open
S005,0.3-0.6,7,38.9,66.7,0.45,Open
S005,0.6-1.0,4,22.2,88.9,0.8,Open
S005,1.0-1.5,2,11.1,100.0,1.25,Open
S006,0.2-0.5,11,24.4,24.4,0.35,Open
S006,0.5-1.0,16,35.6,60.0,0.75,Open
S006,1.0-1.5,10,22.2,82.2,1.25,Open
S006,1.5-2.0,5,11.1,93.3,1.75,Open
S006,2.0-2.5,3,6.7,100.0,2.25,Open
S007,0.1-0.2,2,25.0,25.0,0.15,Open
S007,0.2-0.4,3,37.5,62.5,0.3,Open
S007,0.4-0.7,2,25.0,87.5,0.55,Open
S007,0.7-1.0,1,12.5,100.0,0.85,Open
S008,0.3-0.6,17,25.4,25.4,0.45,Open
S008,0.6-1.0,26,38.8,64.2,0.8,Open
S008,1.0-1.5,15,22.4,86.6,1.25,Open
S008,1.5-2.0,6,9.0,95.6,1.75,Open
S008,2.0-2.5,3,4.4,100.0,2.25,Open
S009,0.1-0.2,1,33.3,33.3,0.15,Open
S009,0.2-0.4,1,33.3,66.6,0.3,Open
S009,0.4-0.7,1,33.3,100.0,0.55,Open
S010,0.1-0.3,3,21.4,21.4,0.2,Open
S010,0.3-0.6,5,35.7,57.1,0.45,Open
S010,0.6-1.0,4,28.6,85.7,0.8,Open
S010,1.0-1.5,2,14.3,100.0,1.25,Open
S011,0.2-0.5,21,25.9,25.9,0.35,Open
S011,0.5-1.0,31,38.3,64.2,0.75,Open
S011,1.0-1.5,16,19.8,84.0,1.25,Open
S011,1.5-2.0,8,9.9,93.9,1.75,Open
S011,2.0-2.5,4,4.9,98.8,2.25,Open
S011,2.5-3.0,1,1.2,100.0,2.75,Open
S012,0.1-0.3,7,24.1,24.1,0.2,Open
S012,0.3-0.6,10,34.5,58.6,0.45,Open
S012,0.6-1.0,7,24.1,82.7,0.8,Open
S012,1.0-1.5,3,10.3,93.0,1.25,Open
S012,1.5-2.0,2,6.9,100.0,1.75,Open
S013,0.3-0.7,17,25.8,25.8,0.5,Open
S013,0.7-1.2,26,39.4,65.2,0.95,Open
S013,1.2-1.8,13,19.7,84.9,1.5,Open
S013,1.8-2.5,7,10.6,95.5,2.15,Open
S013,2.5-3.2,3,4.5,100.0,2.85,Open
S014,0.1-0.2,2,20.0,20.0,0.15,Open
S014,0.2-0.4,3,30.0,50.0,0.3,Open
S014,0.4-0.7,3,30.0,80.0,0.55,Open
S014,0.7-1.0,2,20.0,100.0,0.85,Open
S015,0.1-0.3,4,26.7,26.7,0.2,Open
S015,0.3-0.6,6,40.0,66.7,0.45,Open
S015,0.6-1.0,3,20.0,86.7,0.8,Open
S015,1.0-1.5,2,13.3,100.0,1.25,Open
S016,0.2-0.5,10,24.4,24.4,0.35,Open
S016,0.5-1.0,15,36.6,61.0,0.75,Open
S016,1.0-1.5,9,22.0,83.0,1.25,Open
S016,1.5-2.0,4,9.8,92.8,1.75,Open
S016,2.0-2.5,3,7.2,100.0,2.25,Open
S017,0.1-0.2,2,28.6,28.6,0.15,Open
S017,0.2-0.4,3,42.9,71.5,0.3,Open
S017,0.4-0.7,2,28.6,100.0,0.55,Open
S018,0.3-0.6,15,26.8,26.8,0.45,Open
S018,0.6-1.0,23,41.1,67.9,0.8,Open
S018,1.0-1.5,13,23.2,91.1,1.25,Open
S018,1.5-2.0,4,7.1,98.2,1.75,Open
S018,2.0-2.5,1,1.8,100.0,2.25,Open
S019,0.1-0.2,1,50.0,50.0,0.15,Open
S019,0.2-0.4,1,50.0,100.0,0.3,Open
S020,0.1-0.3,2,18.2,18.2,0.2,Open
S020,0.3-0.6,4,36.4,54.6,0.45,Open
S020,0.6-1.0,3,27.3,81.9,0.8,Open
S020,1.0-1.5,2,18.1,100.0,1.25,Open
S021,0.2-0.5,20,24.1,24.1,0.35,Open
S021,0.5-1.0,30,36.1,60.2,0.75,Open
S021,1.0-1.5,16,19.3,79.5,1.25,Open
S021,1.5-2.0,8,9.6,89.1,1.75,Open
S021,2.0-2.5,4,4.8,93.9,2.25,Open
S021,2.5-3.0,3,3.6,97.5,2.75,Open
S021,3.0-3.5,2,2.5,100.0,3.25,Open
S022,0.1-0.3,6,20.7,20.7,0.2,Open
S022,0.3-0.6,9,31.0,51.7,0.45,Open
S022,0.6-1.0,8,27.6,79.3,0.8,Open
S022,1.0-1.5,4,13.8,93.1,1.25,Open
S022,1.5-2.0,2,6.9,100.0,1.75,Open
S023,0.3-0.7,15,21.7,21.7,0.5,Open
S023,0.7-1.2,24,34.8,56.5,0.95,Open
S023,1.2-1.8,12,17.4,73.9,1.5,Open
S023,1.8-2.5,6,8.7,82.6,2.15,Open
S023,2.5-3.2,3,4.3,86.9,2.85,Open
S023,3.2-4.0,9,13.1,100.0,3.6,Open
S024,0.1-0.2,2,22.2,22.2,0.15,Open
S024,0.2-0.4,3,33.3,55.5,0.3,Open
S024,0.4-0.7,2,22.2,77.7,0.55,Open
S024,0.7-1.0,2,22.2,100.0,0.85,Open
S025,0.1-0.3,3,20.0,20.0,0.2,Open
S025,0.3-0.6,5,33.3,53.3,0.45,Open
S025,0.6-1.0,4,26.7,80.0,0.8,Open
S025,1.0-1.5,3,20.0,100.0,1.25,Open
