Sample_ID,Analysis_Type,Measurement_Scale,Field_of_View,Quantitative_Metric,Value,Unit,Std_Dev,Min_Value,Max_Value,Count,Temperature_C,Rubber_Content_Vol_Percent,Replicate,Peak_Intensity,Peak_Position_2Theta,FWHM,Region_3D,Voxel_Size,Volume_Analyzed,Peak_Temperature,Peak_Type,Cross_Validation_Score,Temperature_Consistency_Flag,Rubber_Content_Consistency_Flag,Measurement_Quality_Score
C-28-R-0-25C-1,SEM,Micro,1.0,Pore_Size_Distribution,0.4817489343584421,μm,0.2302494375829802,0.16513136981471846,1.05905281642477,50.0,25,0.0,1,,,,,,,,,1.0,True,True,0.9960852930945309
C-28-R-0-25C-1,SEM,Micro,1.0,Crack_Density,0.5524433018323518,cracks/mm²,0.11048866036647037,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.8090250187671695
C-28-R-0-25C-1,SEM,Micro,1.0,Interface_Quality_Index,1.0,dimensionless,0.15,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.9127872819549229
C-28-R-0-25C-1,SEM,Micro,1.0,Rubber_Melt_Fraction,0.0,fraction,0.0,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.939528800755502
C-28-R-0-25C-1,SEM,Micro,1.0,Gas_Evolution_Pore_Density,0.0,pores/mm²,0.0,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.8238418485242578
C-28-R-0-25C-1,SEM,Micro,2.0,Pore_Size_Distribution,0.5276155062122958,μm,0.26787068245317874,0.16683752841158225,1.685915323863989,50.0,25,0.0,1,,,,,,,,,1.0,True,True,0.9667404938227393
C-28-R-0-25C-1,SEM,Micro,2.0,Crack_Density,0.7930889231902619,cracks/mm²,0.1586177846380524,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.9703809509313972
C-28-R-0-25C-1,SEM,Micro,2.0,Interface_Quality_Index,1.0,dimensionless,0.15,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.9637402432459472
C-28-R-0-25C-1,SEM,Micro,2.0,Rubber_Melt_Fraction,0.0,fraction,0.0,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.9191752841372263
C-28-R-0-25C-1,SEM,Micro,2.0,Gas_Evolution_Pore_Density,0.0,pores/mm²,0.0,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.9071629743969195
C-28-R-0-25C-1,SEM,Micro,3.0,Pore_Size_Distribution,0.5347327373742781,μm,0.2595970623354829,0.17226573689251945,1.4950346273251653,50.0,25,0.0,1,,,,,,,,,1.0,True,True,0.9012390245894372
C-28-R-0-25C-1,SEM,Micro,3.0,Crack_Density,0.0,cracks/mm²,0.0,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.8259015197791925
C-28-R-0-25C-1,SEM,Micro,3.0,Interface_Quality_Index,1.0,dimensionless,0.15,,,,25,0.0,1,,,,,,,,,1.0,True,True,0.9466920182009926
