Temperature_C,Temperature_K,Youngs_Modulus_GPa,Poissons_Ratio,CTE_1e6_per_K,Density_g_cm3,Thermal_Conductivity_W_mK,Fracture_Toughness_MPa_sqrt_m,Weibull_Modulus,Characteristic_Strength_MPa,Creep_A_1_Pa_s,Creep_n,Creep_Q_kJ_mol
25,298.15,210.0,0.30,10.5,6.05,2.8,9.2,12.5,850,1.2e-15,1.0,450
50,323.15,208.5,0.301,10.6,6.048,2.75,9.0,12.3,840,1.8e-15,1.0,450
75,348.15,207.0,0.302,10.7,6.046,2.7,8.8,12.1,830,2.7e-15,1.0,450
100,373.15,205.5,0.303,10.8,6.044,2.65,8.6,11.9,820,4.0e-15,1.0,450
150,423.15,202.0,0.305,11.0,6.040,2.55,8.2,11.5,800,8.5e-15,1.0,450
200,473.15,198.5,0.307,11.2,6.036,2.45,7.8,11.1,780,1.8e-14,1.0,450
250,523.15,195.0,0.309,11.4,6.032,2.35,7.4,10.7,760,3.8e-14,1.0,450
300,573.15,191.5,0.311,11.6,6.028,2.25,7.0,10.3,740,7.9e-14,1.0,450
350,623.15,188.0,0.313,11.8,6.024,2.15,6.6,9.9,720,1.6e-13,1.0,450
400,673.15,184.5,0.315,12.0,6.020,2.05,6.2,9.5,700,3.2e-13,1.0,450
450,723.15,181.0,0.317,12.2,6.016,1.95,5.8,9.1,680,6.4e-13,1.0,450
500,773.15,177.5,0.319,12.4,6.012,1.85,5.4,8.7,660,1.3e-12,1.0,450
550,823.15,174.0,0.321,12.6,6.008,1.75,5.0,8.3,640,2.5e-12,1.0,450
600,873.15,170.5,0.323,12.8,6.004,1.65,4.6,7.9,620,4.9e-12,1.0,450
650,923.15,167.0,0.325,13.0,6.000,1.55,4.2,7.5,600,9.6e-12,1.0,450
700,973.15,163.5,0.327,13.2,5.996,1.45,3.8,7.1,580,1.9e-11,1.0,450
750,1023.15,160.0,0.329,13.4,5.992,1.35,3.4,6.7,560,3.7e-11,1.0,450
800,1073.15,156.5,0.331,13.6,5.988,1.25,3.0,6.3,540,7.2e-11,1.0,450
850,1123.15,153.0,0.333,13.8,5.984,1.15,2.6,5.9,520,1.4e-10,1.0,450
900,1173.15,149.5,0.335,14.0,5.980,1.05,2.2,5.5,500,2.7e-10,1.0,450
950,1223.15,146.0,0.337,14.2,5.976,0.95,1.8,5.1,480,5.2e-10,1.0,450
1000,1273.15,142.5,0.339,14.4,5.972,0.85,1.4,4.7,460,1.0e-09,1.0,450
1050,1323.15,139.0,0.341,14.6,5.968,0.75,1.0,4.3,440,1.9e-09,1.0,450
1100,1373.15,135.5,0.343,14.8,5.964,0.65,0.6,3.9,420,3.7e-09,1.0,450
1150,1423.15,132.0,0.345,15.0,5.960,0.55,0.2,3.5,400,7.1e-09,1.0,450
1200,1473.15,128.5,0.347,15.2,5.956,0.45,0.1,3.1,380,1.4e-08,1.0,450
1250,1523.15,125.0,0.349,15.4,5.952,0.35,0.05,2.7,360,2.6e-08,1.0,450
1300,1573.15,121.5,0.351,15.6,5.948,0.25,0.02,2.3,340,5.0e-08,1.0,450
1350,1623.15,118.0,0.353,15.8,5.944,0.15,0.01,1.9,320,9.6e-08,1.0,450
1400,1673.15,114.5,0.355,16.0,5.940,0.10,0.005,1.5,300,1.8e-07,1.0,450
1450,1723.15,111.0,0.357,16.2,5.936,0.08,0.002,1.1,280,3.5e-07,1.0,450
1500,1773.15,107.5,0.359,16.4,5.932,0.06,0.001,0.7,260,6.7e-07,1.0,450
