Mix_ID,Rubber_Percentage,Specimen_ID,Compressive_Strength_7d_MPa,Compressive_Strength_28d_MPa,Tensile_Splitting_28d_MPa,Elastic_Modulus_28d_MPa,Dry_Density_kg_m3,SSD_Density_kg_m3,Porosity_pct,UPV_m_s,Test_Temperature_C,Test_Humidity_pct
Control-0%,0,Control-0%-1,37.2,47.3,5.73,30959.0,2347.0,2410.9,12.49,3616.0,23,50
Control-0%,0,Control-0%-2,35.3,49.5,6.13,32762.0,2325.3,2356.8,13.25,3419.0,23,50
Control-0%,0,Control-0%-3,32.3,47.3,6.09,32650.0,2293.3,2322.6,12.74,3682.0,23,50
RC-5%,5,RC-5%-1,28.2,46.9,5.79,26977.0,2212.1,2243.0,16.78,2628.0,23,50
RC-5%,5,RC-5%-2,31.2,42.2,4.58,25805.0,2185.9,2233.9,16.39,2754.0,23,50
RC-5%,5,RC-5%-3,28.8,44.6,5.51,24461.0,2218.5,2262.4,16.6,2963.0,23,50
RC-10%,10,RC-10%-1,24.3,39.3,4.5,23836.0,2104.7,2153.4,21.22,1891.0,23,50
RC-10%,10,RC-10%-2,28.7,37.6,4.35,25296.0,2059.4,2102.2,20.72,1855.0,23,50
RC-10%,10,RC-10%-3,27.6,35.2,4.29,20902.0,2069.5,2127.1,20.26,1991.0,23,50
RC-15%,15,RC-15%-1,20.7,30.3,3.88,17711.0,1969.2,2009.1,24.15,1132.0,23,50
RC-15%,15,RC-15%-2,24.7,29.9,3.34,20108.0,1999.8,2032.8,23.42,1228.0,23,50
RC-15%,15,RC-15%-3,21.9,32.5,3.96,20474.0,1982.1,2021.9,24.72,1064.0,23,50
