experiment_id,timestamp,fixture_type,fixture_material,clamping_force_N,stack_pressure_MPa,temperature_C,humidity_percent,preload_N,boundary_type,constraint_x,constraint_y,constraint_z,rotation_x_constrained,rotation_y_constrained,rotation_z_constrained,applied_load_type,applied_load_magnitude,load_direction,load_frequency_Hz,sample_thickness_mm,sample_area_mm2,notes
EXP001,2024-01-15 09:30:00,Fixed-Fixed,Stainless Steel 316,500,2.5,23,45,100,Clamped,True,True,True,True,True,True,Static,1000,Z,-,10.5,625,Initial baseline test
EXP002,2024-01-15 10:15:00,Fixed-Free,Aluminum 6061,250,1.8,23,45,50,Cantilever,True,True,True,True,True,False,Static,500,Y,-,8.2,400,Cantilever beam test
EXP003,2024-01-15 11:00:00,Simply Supported,Stainless Steel 304,0,3.2,25,48,0,Pinned,True,False,True,True,False,True,Cyclic,750,Z,0.5,12.0,900,Fatigue test setup
EXP004,2024-01-15 14:30:00,Four-Point Bend,Tool Steel,750,2.0,24,44,200,Mixed,True,True,True,False,True,True,Static,2000,Z,-,15.3,1225,Flexural test
EXP005,2024-01-16 08:45:00,Compression Platen,Hardened Steel,1000,5.5,23,46,0,Compression,False,False,True,True,True,False,Ramp,3000,Z,-,20.0,1600,Compression test with increasing load
EXP006,2024-01-16 10:20:00,Hydraulic Grips,Titanium Alloy,1500,4.2,26,42,300,Tensile,True,True,False,True,True,True,Static,2500,Z,-,5.5,325,Tensile test configuration
EXP007,2024-01-16 13:45:00,V-Block,Cast Iron,400,1.5,22,50,150,Partial,True,False,True,False,True,True,Cyclic,600,X,2.0,18.7,1100,Three-point contact
EXP008,2024-01-17 09:00:00,Magnetic Chuck,Steel Plate,0,2.8,24,47,0,Magnetic,True,True,True,True,True,False,Static,800,Y,-,7.5,450,Magnetic holding force 500N
EXP009,2024-01-17 11:30:00,Pneumatic Clamp,Aluminum 7075,600,3.5,23,45,100,Pneumatic,True,True,True,False,False,True,Impulse,1200,Z,-,11.2,750,Impact test setup
EXP010,2024-01-17 14:15:00,Wedge Grips,Stainless Steel 316,800,2.2,25,43,250,Friction,True,True,False,True,True,True,Cyclic,900,Z,1.0,6.8,380,Self-tightening grips
