respondent_id,sector,location,firm_size,firm_age_years,owner_age,owner_gender,owner_education,employee_count,annual_revenue_tzs,export_activity,formal_registration
SME_0001,Retail/Wholesale,Mwanza,Medium (50-99 employees),21,55,Male,Diploma,71,39638958.8638785,No,No
SME_0002,Manufacturing,Mwanza,Small (5-49 employees),22,47,Male,University,31,14381860.757868994,Yes,Yes
SME_0003,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),19,51,Male,Diploma,56,196813868.30328974,Yes,No
SME_0004,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),21,38,Male,Diploma,11,55794838.54494222,No,Yes
SME_0005,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),6,25,Male,Diploma,85,117863062.28579837,No,Yes
SME_0006,Manufacturing,Dar es Salaam,Small (5-49 employees),16,29,Male,Secondary,28,112541505.15392515,No,Yes
SME_0007,Manufacturing,Mwanza,Small (5-49 employees),7,46,Female,Diploma,39,85027488.45335825,Yes,Yes
SME_0008,Manufacturing,Mwanza,Small (5-49 employees),2,30,Female,University,28,80455467.91767061,No,Yes
SME_0009,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),3,39,Female,Secondary,58,116642667.53820428,Yes,Yes
SME_0010,Manufacturing,Mwanza,Small (5-49 employees),4,55,Male,Primary,49,57365523.53828624,No,No
SME_0011,Retail/Wholesale,Arusha,Medium (50-99 employees),10,42,Male,Secondary,93,130346713.73698047,No,Yes
SME_0012,Manufacturing,Dar es Salaam,Medium (50-99 employees),1,43,Female,Diploma,62,91150479.8389887,Yes,Yes
SME_0013,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),12,43,Male,Diploma,16,41975298.01285681,No,Yes
SME_0014,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),2,25,Female,Diploma,36,16279639.251104193,No,Yes
SME_0015,Retail/Wholesale,Mwanza,Small (5-49 employees),4,47,Male,University,9,80234346.65166683,No,Yes
SME_0016,Manufacturing,Mwanza,Small (5-49 employees),6,33,Male,Secondary,40,173088172.91460675,No,Yes
SME_0017,ICT/Business Services,Dar es Salaam,Small (5-49 employees),7,32,Male,Secondary,27,111884424.86569695,No,Yes
SME_0018,Manufacturing,Mwanza,Small (5-49 employees),17,36,Male,Diploma,16,27689525.88312085,No,Yes
SME_0019,Retail/Wholesale,Arusha,Medium (50-99 employees),20,33,Female,Secondary,57,158176353.71294853,No,Yes
SME_0020,Retail/Wholesale,Mwanza,Medium (50-99 employees),18,42,Female,Diploma,84,114259419.97965138,No,Yes
SME_0021,Manufacturing,Dar es Salaam,Medium (50-99 employees),8,31,Male,Secondary,71,134946449.53706524,No,No
SME_0022,Retail/Wholesale,Mwanza,Small (5-49 employees),2,41,Male,Diploma,37,132569638.78580731,No,Yes
SME_0023,Manufacturing,Arusha,Small (5-49 employees),14,44,Female,Primary,39,80330153.04853444,Yes,Yes
SME_0024,Manufacturing,Dar es Salaam,Small (5-49 employees),18,39,Male,Secondary,7,187869407.09054837,Yes,Yes
SME_0025,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),2,44,Male,Diploma,43,171247261.03568816,No,Yes
SME_0026,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),4,32,Male,Secondary,20,133493146.8477754,No,Yes
SME_0027,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),19,46,Male,Diploma,26,113102480.59443955,Yes,Yes
SME_0028,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),12,25,Male,Primary,55,96880380.70660841,No,Yes
SME_0029,ICT/Business Services,Arusha,Medium (50-99 employees),3,32,Male,Diploma,86,171874513.06793338,Yes,Yes
SME_0030,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),2,38,Female,University,74,92242980.5365813,No,No
