Parameter_ID,Parameter_Name,Parameter_Type,Value,Unit,Uncertainty,Source,Notes
FIX_001_STIFF,Planar Fixture Stiffness,Mechanical,2.1e6,N/mm,±5%,Experimental,Uniaxial compression fixture
FIX_001_LOAD,Planar Fixture Load Capacity,Mechanical,5000,N,±2%,Manufacturer,Maximum safe load
FIX_001_DEFL,Planar Fixture Deflection,Mechanical,0.05,mm,±10%,Experimental,At 2000 N load
FIX_001_TEMP,Planar Fixture Max Temperature,Thermal,1000,°C,±5%,Specification,Operating limit
FIX_002_RODS,Multi-Point Rod Count,Geometric,16,count,0,Design,4x4 grid configuration
FIX_002_STIFF,Multi-Point Rod Stiffness,Mechanical,1.2e5,N/mm,±3%,Experimental,Individual rod stiffness
FIX_002_UNIF,Multi-Point Load Uniformity,Mechanical,±3,%,±0.5%,Experimental,Load distribution accuracy
FIX_003_TEMP,Cycling Fixture Temperature Range,Thermal,"25 to 1000",°C,±2%,Specification,Operating range
FIX_003_RATE,Cycling Fixture Rate,Thermal,5,°C/min,±0.5%,Control,Heating rate
FIX_003_CYCLES,Cycling Fixture Max Cycles,Mechanical,10000,cycles,0,Specification,Design life
FIX_004_STIFF,Biaxial X-Axis Stiffness,Mechanical,8e5,N/mm,±2%,Experimental,X-direction stiffness
FIX_004_STIFF_Y,Biaxial Y-Axis Stiffness,Mechanical,8e5,N/mm,±2%,Experimental,Y-direction stiffness
FIX_004_COUPLE,Biaxial Cross Coupling,Mechanical,2,%,±0.5%,Experimental,Cross-axis interaction
PRES_001_MIN,Assembly Pressure Minimum,Pressure,0.05,MPa,±10%,Design,Minimum assembly pressure
PRES_001_NOM,Assembly Pressure Nominal,Pressure,0.2,MPa,±5%,Design,Recommended pressure
PRES_001_MAX,Assembly Pressure Maximum,Pressure,0.5,MPa,±10%,Design,Maximum safe pressure
PRES_001_RATE,Assembly Pressure Rate,Pressure,0.01,MPa/s,±20%,Control,Application rate
PRES_002_IDLE,Operational Pressure Idle,Pressure,0.1,MPa,±5%,Control,Idle condition
PRES_002_OP,Operational Pressure Operation,Pressure,0.2,MPa,±5%,Control,Normal operation
PRES_002_SHUT,Operational Pressure Shutdown,Pressure,0.05,MPa,±10%,Control,Shutdown condition
PRES_003_PEAK,Thermal Expansion Peak Pressure,Pressure,0.35,MPa,±15%,Calculated,At 800°C
PRES_003_CTE,Thermal Expansion Coefficient,Thermal,11.9e-6,K^-1,±2%,Material,Interconnect CTE
PRES_004_DIFF,Gas Pressure Differential,Pressure,0.1,bar,±10%,Control,Fuel-air pressure difference
PRES_004_MAX_DIFF,Gas Pressure Max Differential,Pressure,0.2,bar,±10%,Safety,Maximum safe differential
CONS_001_STIFF,Housing Stiffness,Mechanical,5e6,N/mm,±10%,Design,Stack housing stiffness
CONS_001_END,End Plate Stiffness,Mechanical,2e6,N/mm,±10%,Design,End plate stiffness
CONS_001_SYS,Overall System Stiffness,Mechanical,8e5,N/mm,±15%,Calculated,Combined stiffness
CONS_002_LEAK,Gas Seal Leak Rate,Leakage,1e-6,mbar·L/s,±50%,Test,Maximum acceptable leak
