log_pO2_Pa,pO2_Pa,temperature_K,length_mm,chemical_strain,chemical_expansion_coefficient,oxidation_fraction
-20.0,1e-20,1073,10.000000000065379,6.537799538838544e-12,0.0,1.2736932283425203e-10
-19.79591836734694,1.5998587196060573e-20,1073,10.000000000085032,8.50330906821591e-12,0.0,1.6110375244879523e-10
-19.591836734693878,2.559547922699533e-20,1073,10.000000000111385,1.1138505878100416e-11,0.0,2.03772921731128e-10
-19.387755102040817,4.094915062380419e-20,1073,10.000000000137517,1.375161965369922e-11,0.0,2.5774324309155263e-10
-19.183673469387756,6.551285568595496e-20,1073,10.000000000188662,1.8866170300899117e-11,0.0,3.2600788561129824e-10
-18.979591836734695,1.0481131341546832e-19,1073,10.000000000225867,2.2586805365917387e-11,0.0,4.123527748158105e-10
-18.775510204081634,1.676832936811003e-19,1073,10.00000000028107,2.8106919264996672e-11,0.0,5.215665583535726e-10
-18.571428571428573,2.6826957952797164e-19,1073,10.000000000363343,3.6334249380646335e-11,0.0,6.597061821796469e-10
-18.367346938775512,4.291934260128761e-19,1073,10.000000000418577,4.185778362317461e-11,0.0,8.34432805975819e-10
-18.163265306122447,6.866488450043027e-19,1073,10.000000000600512,6.005119598466197e-11,0.0,1.0554366875204663e-09
-17.959183673469386,1.0985411419875618e-18,1073,10.000000000777051,7.77051474285565e-11,0.0,1.3349745998975584e-09
-17.755102040816325,1.7575106248547965e-18,1073,10.0000000008455,8.455003863039095e-11,0.0,1.688549586452709e-09
-17.551020408163264,2.8117686979742367e-18,1073,10.000000001189317,1.1893166931467217e-10,0.0,2.1357707523883994e-09
-17.346938775510203,4.498432668969453e-18,1073,10.000000001397492,1.39749224660575e-10,0.0,2.701440776637303e-09
-17.142857142857142,7.196856730011528e-18,1073,10.000000002015266,2.015265373469973e-10,0.0,3.416931456910532e-09
-16.93877551020408,1.151395399326448e-17,1073,10.000000002314886,2.3148858926540778e-10,0.0,4.321923574998946e-09
-16.73469387755102,1.8420699693267164e-17,1073,10.00000000306969,3.0696898197147253e-10,0.0,5.466607574429768e-09
-16.53061224489796,2.9470517025518094e-17,1073,10.000000003534076,3.5340768128910983e-10,0.0,6.9144670990069894e-09
-16.3265306122449,4.7148663634573897e-17,1073,10.000000004391527,4.3915265418324736e-10,0.0,8.745799765936825e-09
-16.122448979591837,7.543120063354607e-17,1073,10.000000006193597,6.19359751831075e-10,0.0,1.1062170433892931e-08
-15.918367346938776,1.2067926406393265e-16,1073,10.000000008403783,8.40378310303178e-10,0.0,1.3992043942056966e-08
-15.714285714285715,1.9306977288832456e-16,1073,10.000000009690458,9.690458868085484e-10,0.0,1.769790970899321e-08
-15.510204081632653,3.0888435964774847e-16,1073,10.00000001363006,1.363006098613263e-09,0.0,2.238529331792564e-08
-15.306122448979592,4.941713361323839e-16,1073,10.00000001581314,1.5813139730269757e-09,0.0,2.8314154866143533e-08
-15.10204081632653,7.906043210907702e-16,1073,10.00000001761628,1.7616280827783975e-09,0.0,3.5813306224721e-08
-14.89795918367347,1.2648552168552958e-15,1073,10.000000025831907,2.5831907744867877e-09,2.5315269589970546e-08,4.529864678150148e-08
-14.693877551020408,2.0235896477251554e-15,1073,10.00000002741509,2.7415089837136455e-09,8.955596013464586e-09,5.7296229010651243e-08
-14.489795918367346,3.237457542817653e-15,1073,10.000000042020796,4.202079502773278e-09,8.236075825435608e-09,7.247143307048923e-08
-14.285714285714285,5.179474679231223e-15,1073,10.000000057395702,5.739570251894027e-09,8.035398352651626e-09,9.166586843271295e-08
-14.081632653061224,8.28642772854686e-15,1073,10.00000006582158,6.582157967074344e-09,7.167238675258725e-09,1.1594404907977727e-07
-13.877551020408163,1.3257113655901108e-14,1073,10.000000074014952,7.401495248284902e-09,6.594059403017454e-09,1.4665243083842326e-07
-13.673469387755102,2.1209508879201924e-14,1073,10.000000093733261,9.373326047921662e-09,7.066045789971712e-09,1.8549408500559169e-07
-13.46938775510204,3.3932217718953294e-14,1073,10.000000129214806,1.2921480535555826e-08,8.442033949896472e-09,2.3462314958830375e-07
-13.26530612244898,5.4286754393238596e-14,1073,10.00000014961712,1.4961712023827923e-08,8.624986931383157e-09,2.9676429631050733e-07
-13.061224489795919,8.68511373751352e-14,1073,10.00000020870673,2.0870673040716818e-08,1.076487346310657e-08,3.75363838861299e-07
-12.857142857142858,1.389495494373136e-13,1073,10.00000027097246,2.709724611131573e-08,1.264538151861401e-08,4.747808626012219e-07
-12.653061224489797,2.222996482526191e-13,1073,10.000000332335365,3.323353639164389e-08,1.416037637557001e-08,6.005289754087821e-07
-12.448979591836736,3.556480306223121e-13,1073,10.000000378461019,3.784610188996383e-08,1.4835671940865827e-08,7.595820866045778e-07
-12.244897959183673,5.689866029018305e-13,1073,10.00000054522512,5.4522512093327084e-08,1.9789652537577975e-08,9.607611715863944e-07
-12.040816326530612,9.102981779915227e-13,1073,10.000000686565674,6.86565674205e-08,2.3201184852444826e-08,1.2152234708041227e-06
-11.83673469387755,1.4563484775012444e-12,1073,10.000000849527064,8.495270632470223e-08,2.685601683813167e-08,1.537081251969272e-06
-11.63265306122449,2.329951810515372e-12,1073,10.000000990647571,9.906475706702131e-08,2.9419230886569964e-08,1.94418444879856e-06
-11.428571428571429,3.727593720314938e-12,1073,10.000001400433685,1.4004336856948467e-07,3.921214319945571e-08,2.4591105763283965e-06
-11.224489795918368,5.9636233165946364e-12,1073,10.00000166667685,1.6666768496008907e-07,4.414441385429387e-08,3.110416815452826e-06
-11.020408163265305,9.540954763499963e-12,1073,10.000002037525325,2.0375253258207163e-07,5.1199354341135936e-08,3.934223694566656e-06
-10.816326530612244,1.5264179671752364e-11,1073,10.000002643686953,2.643686952816038e-07,6.319056618926139e-08,4.976218179130652e-06
-10.612244897959183,2.4420530945486546e-11,1073,10.000003026297586,3.026297586361347e-07,6.897143336358418e-08,6.294187228487393e-06
-10.408163265306122,3.906939937054621e-11,1073,10.000004190153998,4.190153997286372e-07,9.125224260756987e-08,7.961222280074001e-06
-10.204081632653061,6.250551925273977e-11,1073,10.00000545584041,5.455840410282733e-07,1.1376007663993782e-07,1.0069772300663811e-05
-10.0,1e-10,1073,10.00000640593201,6.405932011358105e-07,1.281186402271621e-07,1.2736770057669741e-05
