Temperature_C,Young_Modulus_GPa,Poisson_Ratio,Compressive_Strength_MPa,Tensile_Strength_MPa,Thermal_Conductivity_W_mK,Specific_Heat_J_kgK,Density_kg_m3,Coeff_Thermal_Expansion_1e6_K
20,30.0,0.20,40.0,4.0,1.8,1000,2400,10.0
100,28.5,0.20,38.0,3.8,1.6,1050,2380,11.0
200,26.0,0.21,35.0,3.5,1.4,1100,2360,12.0
300,22.0,0.22,30.0,3.0,1.2,1150,2340,13.0
400,18.0,0.23,25.0,2.5,1.0,1200,2320,14.0
500,14.0,0.24,20.0,2.0,0.8,1250,2300,15.0
600,10.0,0.25,15.0,1.5,0.6,1300,2280,16.0
700,6.0,0.26,10.0,1.0,0.4,1350,2260,17.0
800,3.0,0.27,5.0,0.5,0.3,1400,2240,18.0
900,1.5,0.28,2.5,0.25,0.2,1450,2220,19.0
1000,0.8,0.29,1.0,0.1,0.15,1500,2200,20.0
1100,0.4,0.30,0.5,0.05,0.1,1550,2180,21.0
1200,0.2,0.31,0.2,0.02,0.08,1600,2160,22.0
