date,country,total_cyber_incidents,mobile_money_fraud_incidents,sim_swap_incidents,phishing_incidents,data_breach_incidents,api_vulnerability_incidents,social_engineering_incidents,malware_incidents,ddos_incidents,account_takeover_incidents,transaction_fraud_incidents,identity_theft_incidents,card_skimming_incidents,search_mobile_money_fraud,search_sim_swap_fraud,search_fintech_scam,search_digital_payment_security,search_mobile_banking_safety,avg_incident_severity_score,cyber_risk_index
2019-01-31,Nigeria,17,2,6,3,2,0,3,1,0,0,0,0,0,29.11809815960474,17.000338839721007,18.943988190078368,5.109176586747498,69.30517555355664,7.72,13.13
2019-01-31,Kenya,10,1,2,2,0,2,0,0,2,1,0,0,0,28.277156878813784,27.63207874732647,30.85213321236938,38.322596363386054,41.69826927454163,6.26,6.26
2019-01-31,South Africa,6,2,1,1,0,0,2,0,0,0,0,0,0,44.875723636224436,13.936402599944246,12.483716707338504,61.99816700280584,48.466016736718565,4.48,2.69
2019-01-31,Ghana,7,4,1,0,0,1,1,0,0,0,0,0,0,45.01652209721812,26.28498458071315,25.96977427697517,38.52557976425267,34.88585394633524,8.15,5.7
2019-01-31,Uganda,5,2,1,1,0,0,1,0,0,0,0,0,0,52.22600954441885,20.749217726230338,43.33350782697726,4.988282251292297,67.50663506125314,6.63,3.32
2019-01-31,Tanzania,15,1,3,2,4,2,1,1,1,0,0,0,0,50.36485589575749,22.228873057683828,24.968972244843137,60.30850844660278,52.40717744230423,5.95,8.92
2019-01-31,Rwanda,5,1,1,0,0,0,2,0,0,1,0,0,0,34.16620574341893,7.568601492906709,27.74016402059767,50.011867527009244,90.48538957479401,6.21,3.11
2019-01-31,Zambia,13,4,2,2,2,1,0,1,0,0,0,1,0,17.632569572059314,21.47994082364219,17.58942360548417,56.956352834671044,43.12806072072676,8.82,11.47
2019-01-31,Botswana,5,3,1,0,0,1,0,0,0,0,0,0,0,63.438622422216525,18.728563295197745,25.982506172464053,24.807303678912195,72.67018158559095,8.45,4.22
2019-01-31,Ethiopia,14,6,2,0,0,2,0,0,1,2,1,0,0,43.22641192665651,14.318519166270054,20.6384416382935,30.008808707575092,66.7796830390311,8.4,11.76
2019-01-31,Senegal,9,1,5,1,1,0,1,0,0,0,0,0,0,36.0501728177018,11.155163129729157,27.661609370270877,32.82133748208907,69.68052001138302,6.56,5.91
2019-01-31,Ivory Coast,11,5,1,3,2,0,0,0,0,0,0,0,0,29.9324229977397,26.439348564325254,38.2465974497939,43.25201922822959,43.035347331039304,5.73,6.3
2019-01-31,Mali,17,4,5,3,2,1,0,0,1,1,0,0,0,78.15059269533286,24.996233574852166,39.12854327376987,65.0272296266858,65.11947751828117,6.03,10.25
2019-01-31,Burkina Faso,7,2,1,1,1,0,0,1,0,0,1,0,0,26.988598456288354,25.75718424254273,20.84240700917206,52.63650430497717,56.63800575865339,5.52,3.87
2019-01-31,Cameroon,19,2,1,8,3,2,1,0,0,0,1,1,0,45.28005380701349,35.85509337908843,38.118159553401235,23.47458457197257,49.22072297987248,8.4,15.96
2019-02-28,Nigeria,2,0,0,1,0,0,0,0,0,0,0,0,1,37.34454121487267,21.616319035756185,19.101114974222043,29.412022744945443,40.58508902306844,10.0,2.0
2019-02-28,Kenya,5,2,0,1,2,0,0,0,0,0,0,0,0,35.24432609341971,11.924331611143348,34.779223491313765,43.24218215319165,40.70972415639746,7.16,3.58
2019-02-28,South Africa,4,0,0,1,0,0,2,0,1,0,0,0,0,20.022102680749768,13.222556795418202,26.664077656926864,52.43060296954845,43.62013911942471,7.37,2.95
2019-02-28,Ghana,11,4,1,3,2,0,1,0,0,0,0,0,0,27.09298444777973,15.060732545366127,26.51653858781855,28.721742876954682,49.491429877809985,6.14,6.76
2019-02-28,Uganda,3,0,2,1,0,0,0,0,0,0,0,0,0,40.29854111871977,20.32613541273459,7.455684299053496,29.638717858521108,52.049229217785744,4.71,1.41
2019-02-28,Tanzania,9,2,2,3,0,0,0,1,0,0,0,1,0,26.85639949886109,7.759578292513379,10.147753579364114,26.378669344970767,37.86552848288153,6.97,6.27
2019-02-28,Rwanda,5,1,0,0,0,1,1,1,1,0,0,0,0,13.43512022022334,10.779315432411302,17.597591343581826,40.492117453146065,40.69652664518879,7.98,3.99
2019-02-28,Zambia,11,3,2,3,0,0,2,1,0,0,0,0,0,18.533613717158786,10.80139078909612,15.804251481891844,9.513251308282317,34.74244978319239,5.36,5.9
2019-02-28,Botswana,13,4,2,4,2,0,0,0,1,0,0,0,0,11.29492376727298,21.769361870827062,19.198221083231676,49.853795743681545,24.05572341205633,5.6,7.28
2019-02-28,Ethiopia,18,4,2,6,2,0,2,1,0,0,1,0,0,25.925397074342868,20.896485920319133,20.472629369870763,59.728975098583845,57.55340842443204,6.13,11.03
2019-02-28,Senegal,1,1,0,0,0,0,0,0,0,0,0,0,0,36.912361391075834,19.389125842400567,16.96444771259707,30.892296336507208,22.691268962344328,8.67,0.87
2019-02-28,Ivory Coast,14,6,2,1,1,3,0,0,0,0,0,0,1,17.48096170938116,12.430665413316532,12.585505346777339,34.24785083272194,49.551423205012384,5.02,7.03
2019-02-28,Mali,3,0,0,0,0,1,0,0,1,1,0,0,0,19.402195936059314,16.06989955367111,19.21370365216419,32.34836480560132,46.14166700043425,7.64,2.29
2019-02-28,Burkina Faso,7,1,1,2,0,0,1,2,0,0,0,0,0,33.956599291476614,14.360412042596167,13.311216915797019,15.72264415690913,42.03463635867223,5.37,3.76
2019-02-28,Cameroon,1,0,0,0,1,0,0,0,0,0,0,0,0,38.49713308058052,19.408198784747253,19.94419151078368,52.75932966668031,40.77368307647618,5.21,0.52
2019-03-31,Nigeria,12,3,3,1,4,0,0,0,0,0,0,0,1,20.63864640534525,2.4862023916889235,24.79249541088618,39.68303922779771,39.15091167504168,6.86,8.23
2019-03-31,Kenya,10,3,1,1,1,1,0,0,1,0,1,0,1,47.270219387912405,6.944971950223893,18.960140164950655,30.110478348376816,33.980313211036155,7.64,7.64
2019-03-31,South Africa,13,4,5,0,0,2,1,1,0,0,0,0,0,21.704984271020262,12.561968879637533,16.972092685262652,39.73342570853956,35.79015519179737,6.93,9.02
2019-03-31,Ghana,11,4,2,1,2,0,1,1,0,0,0,0,0,17.92147246465612,16.43470630612149,21.156360660844037,41.8272400936357,31.251932862552984,5.9,6.49
2019-03-31,Uganda,13,4,0,3,2,2,0,1,0,1,0,0,0,17.16989027374154,12.778533699619441,22.641103451313967,44.083863399744224,30.778346758223748,7.8,10.15
2019-03-31,Tanzania,7,3,1,1,0,2,0,0,0,0,0,0,0,27.239749010558562,9.372554763508116,37.12026385731778,36.55065418370273,41.09394794604893,7.59,5.31
2019-03-31,Rwanda,11,2,1,5,1,0,2,0,0,0,0,0,0,33.75353214776759,6.537676851425903,30.706852236224297,33.10390521705213,35.7311893005258,4.98,5.48
2019-03-31,Zambia,9,2,1,1,1,1,2,0,0,1,0,0,0,22.848890475561355,9.467370456291649,38.01351862274902,35.71062120817386,40.13929291912946,6.46,5.82
2019-03-31,Botswana,4,1,1,0,1,0,0,0,0,0,0,0,1,18.777466499272997,9.447120772670857,32.26589310396536,46.228140717769534,52.71555094994159,7.58,3.03
2019-03-31,Ethiopia,2,1,0,0,0,0,0,1,0,0,0,0,0,26.87721604124069,16.263777537689432,31.524780698759812,22.914927628324868,33.42766681882506,5.09,1.02
2019-03-31,Senegal,2,0,0,0,1,0,1,0,0,0,0,0,0,33.392073806695116,11.478281547286205,10.140770925455083,16.320449917713155,46.06009951345639,4.58,0.92
2019-03-31,Ivory Coast,9,2,3,2,0,0,0,1,0,0,0,1,0,25.147471464523147,16.737908526808354,16.221682237834468,25.660343295172247,41.958452550976816,5.03,4.53
2019-03-31,Mali,9,1,4,2,1,0,0,0,1,0,0,0,0,14.763384266114388,11.875907111521606,20.182637351475837,41.21190824562947,32.742561868465344,6.78,6.1
2019-03-31,Burkina Faso,9,2,2,2,2,0,0,0,0,1,0,0,0,24.957308233306694,11.706155871093216,8.173099417452109,46.84546640154452,36.478270164004094,6.86,6.18
