Mix_ID,Batch_ID,Water_kg_m3,Cement_kg_m3,Coarse_Agg_kg_m3,Fine_Agg_kg_m3,CR_kg_m3,CR_Size_mm,CR_Content_pct,SP_kg_m3,Total_kg_m3,Slump_mm,Air_Content_pct,Fresh_Density_kg_m3,Workability_Class,Preparation_Date,Testing_Date,Ambient_Temp_C,Relative_Humidity_pct
C_001,2024_001,180,450,1050,700,0,0,0,2.7,2382.7,120,2.1,2382.7,Good,2024-01-15,2024-01-15,22.5,65
C_002,2024_002,180,450,1050,700,0,0,0,2.7,2382.7,125,2.0,2382.7,Good,2024-01-15,2024-01-15,22.8,64
C_003,2024_003,180,450,1050,700,0,0,0,2.7,2382.7,118,2.2,2382.7,Good,2024-01-15,2024-01-15,22.3,66
R5S_001,2024_004,180,450,997.5,700,52.5,2.5,5,2.7,2382.7,115,2.8,2356.2,Good,2024-01-16,2024-01-16,22.7,65
R5S_002,2024_005,180,450,997.5,700,52.5,2.5,5,2.7,2382.7,120,2.7,2356.2,Good,2024-01-16,2024-01-16,22.4,64
R5S_003,2024_006,180,450,997.5,700,52.5,2.5,5,2.7,2382.7,112,2.9,2356.2,Good,2024-01-16,2024-01-16,22.9,66
R10S_001,2024_007,180,450,945,700,105,2.5,10,2.7,2382.7,105,3.5,2329.7,Good,2024-01-17,2024-01-17,22.6,65
R10S_002,2024_008,180,450,945,700,105,2.5,10,2.7,2382.7,110,3.4,2329.7,Good,2024-01-17,2024-01-17,22.2,64
R10S_003,2024_009,180,450,945,700,105,2.5,10,2.7,2382.7,108,3.6,2329.7,Good,2024-01-17,2024-01-17,22.8,66
R15S_001,2024_010,180,450,892.5,700,157.5,2.5,15,2.7,2382.7,95,4.2,2303.2,Fair,2024-01-18,2024-01-18,22.5,65
R15S_002,2024_011,180,450,892.5,700,157.5,2.5,15,2.7,2382.7,100,4.1,2303.2,Fair,2024-01-18,2024-01-18,22.3,64
R15S_003,2024_012,180,450,892.5,700,157.5,2.5,15,2.7,2382.7,92,4.3,2303.2,Fair,2024-01-18,2024-01-18,22.7,66
R20S_001,2024_013,180,450,840,700,210,2.5,20,2.7,2382.7,85,5.1,2276.7,Poor,2024-01-19,2024-01-19,22.4,65
R20S_002,2024_014,180,450,840,700,210,2.5,20,2.7,2382.7,90,5.0,2276.7,Poor,2024-01-19,2024-01-19,22.6,64
R20S_003,2024_015,180,450,840,700,210,2.5,20,2.7,2382.7,88,5.2,2276.7,Poor,2024-01-19,2024-01-19,22.2,66
R10L_001,2024_016,180,450,945,700,105,6.0,10,2.7,2382.7,98,3.8,2329.7,Fair,2024-01-20,2024-01-20,22.5,65
R10L_002,2024_017,180,450,945,700,105,6.0,10,2.7,2382.7,102,3.7,2329.7,Fair,2024-01-20,2024-01-20,22.8,64
R10L_003,2024_018,180,450,945,700,105,6.0,10,2.7,2382.7,95,3.9,2329.7,Fair,2024-01-20,2024-01-20,22.3,66
