Quarter,Year,Quarter_Num,Total_FDI_Billion_USD,Food_Sector_FDI_Million_USD,Lagos_FDI_Million_USD,GDP_Growth_Rate,Inflation_Rate,Exchange_Rate_NGN_USD,Interest_Rate,Power_Supply_Hours,Logistics_Quality_Index,Port_Efficiency_Score,Corruption_Index,Regulatory_Quality_Index,Ease_Doing_Business_Rank,Tax_Incentive_Value_Billion_NGN,EEG_Disbursement_Billion_NGN,Agric_Budget_Allocation_Percent,Food_Sector_GDP_Billion_NGN,Food_Sector_Employment_Million,Food_Sector_Export_Billion_USD,Manufacturing_Capacity_Utilization
2019-Q1,2019,1,1.312,126.69,574.24,3.14,15.32,399.78796636499396,15.18,13.7,2.42,3.65,24.1,-0.68,126,104.01,22.43,3.95,5082.12,14.6,1.167,54.8
2019-Q2,2019,2,1.619,129.92,573.13,1.9,12.3,370.1903518079938,13.02,14.9,2.27,2.85,24.2,-0.93,136,125.28,20.97,3.45,4956.07,13.64,0.88,57.8
2019-Q3,2019,3,1.26,119.12,555.89,1.85,16.84,366.008595818677,14.79,13.2,2.54,3.51,25.3,-0.97,131,77.46,10.97,3.64,4775.73,14.39,0.702,49.9
2019-Q4,2019,4,2.129,224.22,873.18,2.72,14.92,396.5878297408486,14.87,15.2,2.21,3.1,26.2,-0.84,123,77.18,39.37,2.54,5192.71,12.76,0.749,49.9
2020-Q1,2020,1,2.369,335.89,899.49,2.65,13.51,413.9607769158063,15.29,16.8,2.22,2.86,27.9,-0.84,148,149.77,14.92,2.11,4974.62,13.38,0.643,51.0
2020-Q2,2020,2,1.301,174.59,548.06,2.27,13.71,446.36163765256947,16.35,13.4,2.6,3.26,24.4,-1.2,143,97.93,31.86,3.13,4837.32,13.96,0.979,57.3
2020-Q3,2020,3,1.108,142.34,488.79,2.0,13.53,416.82997976884633,15.83,15.2,2.84,2.43,24.1,-0.72,123,143.78,10.13,3.77,4703.49,14.86,0.697,51.8
2020-Q4,2020,4,1.159,101.83,489.88,2.89,15.28,438.63400062107246,15.31,14.1,2.2,2.7,24.2,-1.04,129,103.02,17.92,3.29,5359.48,12.9,1.031,50.1
2021-Q1,2021,1,2.07,282.14,835.66,3.32,11.41,483.53255381965886,14.31,17.3,2.66,3.51,27.2,-1.06,122,91.92,18.92,2.94,4868.81,12.14,0.578,49.9
2021-Q2,2021,2,1.826,254.62,682.13,3.37,17.68,498.3561841938082,15.69,14.9,2.05,3.25,26.2,-1.05,144,81.65,38.99,2.31,5557.16,13.07,0.907,49.0
2021-Q3,2021,3,1.394,160.39,520.2,2.58,12.54,486.00402210602215,16.02,12.7,2.66,3.03,26.5,-0.91,146,81.35,29.95,3.68,5152.0,13.28,1.187,55.8
2021-Q4,2021,4,2.376,263.05,887.22,2.32,16.01,464.37721619343915,12.85,12.4,2.25,3.7,24.1,-0.95,129,93.3,29.4,2.54,5177.15,14.2,1.157,53.3
2022-Q1,2022,1,1.336,138.53,520.86,2.18,14.05,535.306650152736,12.11,14.2,1.9,3.23,28.0,-0.69,141,76.57,12.84,2.69,4944.86,12.56,1.023,51.3
2022-Q2,2022,2,2.202,286.66,898.68,3.42,11.15,539.5461060235257,16.29,18.9,2.44,3.0,24.7,-1.09,143,91.86,35.51,3.86,5560.35,12.43,1.131,49.7
2022-Q3,2022,3,1.556,165.38,614.2,3.08,16.62,538.7862029311245,11.61,16.5,2.39,3.84,27.8,-0.81,133,82.38,16.6,3.94,5697.69,13.05,0.565,53.2
2022-Q4,2022,4,1.52,178.68,658.98,2.73,15.44,531.6412115625125,16.14,19.5,2.83,2.42,25.8,-0.87,135,61.53,16.83,2.2,5377.42,12.38,0.806,55.3
2023-Q1,2023,1,2.611,260.14,1089.77,3.36,13.43,573.1647661479043,14.36,14.0,2.81,3.39,25.8,-0.68,129,136.3,22.5,3.49,5999.14,12.93,0.775,51.6
2023-Q2,2023,2,2.613,217.15,995.14,2.86,14.96,577.4515743717478,14.2,13.6,2.9,3.23,27.6,-1.46,132,143.41,35.63,2.2,5187.31,14.03,0.662,55.9
2023-Q3,2023,3,2.004,192.56,797.33,2.31,17.11,561.286498999082,15.98,17.2,2.87,3.91,26.1,-0.84,136,95.79,27.01,3.8,6126.32,13.9,1.035,48.8
2023-Q4,2023,4,1.537,201.85,604.25,2.39,13.16,584.2942553391098,12.43,17.0,2.93,2.74,27.6,-1.04,132,122.4,26.53,3.54,5455.4,14.19,0.787,50.8
2024-Q1,2024,1,2.636,337.62,1043.67,2.63,15.86,640.7084020623004,15.98,14.8,2.54,3.38,27.2,-1.09,124,95.94,12.33,3.92,6185.84,14.26,1.153,50.2
2024-Q2,2024,2,2.782,356.93,1215.67,3.09,13.43,640.9759414806903,12.81,14.6,2.7,3.27,25.6,-1.27,120,88.8,24.75,2.59,6059.46,13.18,1.011,50.1
2024-Q3,2024,3,1.801,145.1,766.98,2.75,16.72,628.2244315241086,15.5,17.2,3.22,3.15,24.3,-0.82,127,149.06,18.41,3.95,5384.91,13.08,1.027,54.6
