Temperature_C,Material_ID,Ionic_Conductivity_S_m,Electronic_Conductivity_S_m,Activation_Energy_eV,Electrolyte_Type,Test_Method,Sample_ID,Atmosphere
25,YSZ_8mol,0.0012,1.2E-08,0.95,Oxide_Ion,EIS,ELECTRO_001,Air
50,YSZ_8mol,0.0034,3.1E-08,0.95,Oxide_Ion,EIS,ELECTRO_002,Air
100,YSZ_8mol,0.0156,1.2E-07,0.95,Oxide_Ion,EIS,ELECTRO_003,Air
150,YSZ_8mol,0.0456,3.8E-07,0.95,Oxide_Ion,EIS,ELECTRO_004,Air
200,YSZ_8mol,0.1023,9.7E-07,0.95,Oxide_Ion,EIS,ELECTRO_005,Air
250,YSZ_8mol,0.1934,2.1E-06,0.95,Oxide_Ion,EIS,ELECTRO_006,Air
300,YSZ_8mol,0.3287,4.2E-06,0.95,Oxide_Ion,EIS,ELECTRO_007,Air
350,YSZ_8mol,0.5234,7.8E-06,0.95,Oxide_Ion,EIS,ELECTRO_008,Air
400,YSZ_8mol,0.7923,1.3E-05,0.95,Oxide_Ion,EIS,ELECTRO_009,Air
450,YSZ_8mol,1.1534,2.1E-05,0.95,Oxide_Ion,EIS,ELECTRO_010,Air
500,YSZ_8mol,1.6234,3.2E-05,0.95,Oxide_Ion,EIS,ELECTRO_011,Air
550,YSZ_8mol,2.2178,4.7E-05,0.95,Oxide_Ion,EIS,ELECTRO_012,Air
600,YSZ_8mol,2.9534,6.8E-05,0.95,Oxide_Ion,EIS,ELECTRO_013,Air
650,YSZ_8mol,3.8478,9.5E-05,0.95,Oxide_Ion,EIS,ELECTRO_014,Air
700,YSZ_8mol,5.0234,1.3E-04,0.95,Oxide_Ion,EIS,ELECTRO_015,Air
750,YSZ_8mol,6.5023,1.7E-04,0.95,Oxide_Ion,EIS,ELECTRO_016,Air
800,YSZ_8mol,8.3234,2.3E-04,0.95,Oxide_Ion,EIS,ELECTRO_017,Air
25,LSCF_6428,0.0008,125.4,0.12,Mixed_Conductor,EIS,ELECTRO_018,Air
50,LSCF_6428,0.0021,134.2,0.12,Mixed_Conductor,EIS,ELECTRO_019,Air
100,LSCF_6428,0.0089,152.8,0.12,Mixed_Conductor,EIS,ELECTRO_020,Air
150,LSCF_6428,0.0234,172.1,0.12,Mixed_Conductor,EIS,ELECTRO_021,Air
200,LSCF_6428,0.0523,192.3,0.12,Mixed_Conductor,EIS,ELECTRO_022,Air
250,LSCF_6428,0.0987,213.4,0.12,Mixed_Conductor,EIS,ELECTRO_023,Air
300,LSCF_6428,0.1678,235.2,0.12,Mixed_Conductor,EIS,ELECTRO_024,Air
350,LSCF_6428,0.2634,257.8,0.12,Mixed_Conductor,EIS,ELECTRO_025,Air
400,LSCF_6428,0.3923,281.1,0.12,Mixed_Conductor,EIS,ELECTRO_026,Air
450,LSCF_6428,0.5612,305.2,0.12,Mixed_Conductor,EIS,ELECTRO_027,Air
500,LSCF_6428,0.7778,330.0,0.12,Mixed_Conductor,EIS,ELECTRO_028,Air
550,LSCF_6428,1.0501,355.6,0.12,Mixed_Conductor,EIS,ELECTRO_029,Air
600,LSCF_6428,1.3867,381.9,0.12,Mixed_Conductor,EIS,ELECTRO_030,Air
650,LSCF_6428,1.7967,408.9,0.12,Mixed_Conductor,EIS,ELECTRO_031,Air
700,LSCF_6428,2.2892,436.7,0.12,Mixed_Conductor,EIS,ELECTRO_032,Air
750,LSCF_6428,2.8734,465.2,0.12,Mixed_Conductor,EIS,ELECTRO_033,Air
800,LSCF_6428,3.5589,494.4,0.12,Mixed_Conductor,EIS,ELECTRO_034,Air
