firm_code,firm_size,survey_date,industrial_zone,response_time_minutes,years_operation,employees_category,revenue_category,ownership_type,has_fdi,fdi_equity,fdi_joint_venture,fdi_tech_transfer,fdi_mgmt_contract,years_fdi_partnership,ka_technical_manuals,ka_staff_training,ka_tech_adaptation,ka_knowledge_commercialization,ka_average,tp_production_efficiency,tp_quality_control,tp_order_fulfillment,tp_employee_productivity,tp_average,rd_spending_percent,new_products_3years,process_inn_iot,process_inn_automation,process_inn_quality,process_inn_other,innovation_score,hr_skilled_workforce_percent,hr_training_hours,tech_modern_equipment,tech_machinery_age,fin_access_credit,fin_reinvestment_rate,firm_resources_score,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,gp_average,perf_roi,perf_roa,perf_export_intensity,perf_capacity_utilization,perf_market_share,performance_composite
SME001,SME,2025-05-03,Apapa,23.4901424590337,5.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,,3.0,4.0,2.0,2.0,2.75,3.0,3.0,2.0,4.0,3.0,0.3,2.0,0.0,0.0,1.0,0.0,0.6333333333333334,69.5,18.0,1.0,10.0,2.0,12.3,1.4023008297567738,2.0,5.0,7.0,5.0,4.75,18.2,14.5,,92.3,4.0,38.0
SME002,SME,2025-10-07,Agege,25.171366678656746,3.0,1.0,2.0,2.0,1,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.5,4.0,4.0,3.0,3.0,3.5,5.4,8.0,0.0,0.0,0.0,1.0,1.9833333333333334,65.3,31.0,1.0,4.0,3.0,20.8,1.8108983846675077,4.0,4.0,5.0,3.0,4.0,18.4,12.1,29.5,95.0,27.5,47.6
SME003,SME,2025-08-12,Mushin,27.65855770363159,6.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.25,0.2,3.0,1.0,1.0,0.0,0.0,1.1166666666666665,78.9,15.0,1.0,5.0,1.0,4.4,2.021499310401507,2.0,5.0,3.0,3.0,3.25,19.4,11.1,0.0,94.2,31.4,42.2
SME004,SME,2025-09-08,Apapa,21.382399848713487,7.0,1.0,2.0,3.0,1,1.0,1.0,1.0,0.0,4.0,4.0,4.0,,3.0,3.75,5.0,5.0,5.0,3.0,4.5,2.3,5.0,0.0,0.0,1.0,0.0,1.2166666666666666,30.2,39.0,1.0,9.0,1.0,19.1,1.4855466420563,5.0,3.0,2.0,3.0,3.25,24.5,17.6,7.8,95.0,36.0,51.7
SME005,SME,2025-04-23,Apapa,25.24915372952583,10.0,1.0,2.0,2.0,1,1.0,1.0,1.0,0.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.75,2.6,2.0,0.0,1.0,1.0,0.0,1.4333333333333333,77.2,86.0,1.0,2.0,1.0,38.0,2.7408354707588543,6.0,3.0,3.0,6.0,4.5,25.0,15.0,36.3,95.0,12.0,51.2
SME006,SME,2025-05-15,Lagos Island,23.331458284438686,,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,2.5,3.0,3.0,3.0,5.0,3.5,1.1,2.0,1.0,0.0,1.0,1.0,,17.1,32.0,1.0,7.0,2.0,11.9,1.2998977999973265,3.0,3.0,5.0,5.0,4.0,18.0,13.8,0.0,91.1,20.2,40.4
SME007,SME,2025-10-05,Ikeja,23.831110796300393,2.0,1.0,2.0,3.0,1,1.0,1.0,1.0,0.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.25,2.2,5.0,1.0,0.0,1.0,0.0,1.6166666666666665,93.2,26.0,1.0,5.0,2.0,45.7,2.3255854122089183,2.0,3.0,6.0,2.0,3.25,28.7,19.5,23.5,,31.0,57.2
SME008,SME,2025-09-20,Mushin,20.970396290106496,7.0,1.0,2.0,1.0,1,1.0,1.0,0.0,0.0,2.0,4.0,3.0,5.0,5.0,4.25,5.0,4.0,5.0,3.0,4.25,5.3,8.0,1.0,1.0,1.0,1.0,3.2166666666666672,51.3,29.0,1.0,5.0,2.0,33.6,1.850492074962798,1.0,3.0,4.0,4.0,3.0,23.2,16.8,45.5,95.0,9.2,52.8
SME009,SME,2025-08-15,Ikeja,23.543316502176246,10.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,6.0,3.0,4.0,5.0,5.0,4.25,4.0,4.0,3.0,5.0,4.0,5.6,9.0,1.0,1.0,1.0,0.0,2.9333333333333336,59.8,29.0,1.0,8.0,2.0,9.4,1.5395782928501507,4.0,3.0,3.0,4.0,3.5,16.3,10.3,11.0,95.0,16.9,39.6
SME010,SME,2025-05-23,Mushin,21.66301585092751,5.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0,2.5,4.0,3.0,3.0,4.0,3.5,0.5,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,55.8,49.0,1.0,10.0,3.0,32.7,1.4224294079487425,2.0,2.0,5.0,6.0,3.75,8.1,6.8,0.0,84.2,13.2,28.1
