Temperature_K,Young_Modulus_Pa,Poisson_Ratio,Uncertainty_E_Pa,Uncertainty_nu
300.0,200000000000.0,0.31,16000000000.0,0.015
350.0,196000000000.0,0.31,15680000000.0,0.015
400.0,192000000000.0,0.31,15360000000.0,0.015
450.0,188000000000.0,0.31,15040000000.0,0.015
500.0,184000000000.0,0.31,14720000000.0,0.015
550.0,180000000000.0,0.31,14400000000.0,0.015
600.0,176000000000.0,0.31,14080000000.0,0.015
650.0,172000000000.0,0.31,13760000000.0,0.015
700.0,168000000000.0,0.31,13440000000.0,0.015
750.0,164000000000.0,0.31,13120000000.0,0.015
800.0,160000000000.0,0.31,12800000000.0,0.015
850.0,156000000000.0,0.31,12480000000.0,0.015
900.0,152000000000.0,0.31,12160000000.0,0.015
950.0,148000000000.0,0.31,11840000000.0,0.015
1000.0,144000000000.0,0.31,11520000000.0,0.015
1050.0,140000000000.0,0.31,11200000000.0,0.015
1100.0,135999999999.99998,0.31,10879999999.999998,0.015
1150.0,131999999999.99998,0.31,10559999999.999998,0.015
1200.0,127999999999.99998,0.31,10239999999.999998,0.015
