Temperature_C,Material_ID,Tensile_Strength_MPa,Youngs_Modulus_GPa,Poissons_Ratio,Test_Method,Sample_ID,Uncertainty_Percent
25,SS316L_001,580.2,200.5,0.285,ASTM_E8,MEC_001,2.1
50,SS316L_001,565.8,198.2,0.287,ASTM_E8,MEC_002,2.3
100,SS316L_001,545.1,194.8,0.291,ASTM_E8,MEC_003,2.0
150,SS316L_001,520.4,190.2,0.295,ASTM_E8,MEC_004,2.4
200,SS316L_001,495.7,185.6,0.299,ASTM_E8,MEC_005,2.2
250,SS316L_001,470.3,180.9,0.303,ASTM_E8,MEC_006,2.5
300,SS316L_001,445.8,176.1,0.307,ASTM_E8,MEC_007,2.1
350,SS316L_001,421.2,171.3,0.311,ASTM_E8,MEC_008,2.6
400,SS316L_001,396.5,166.4,0.315,ASTM_E8,MEC_009,2.3
450,SS316L_001,371.9,161.5,0.319,ASTM_E8,MEC_010,2.8
500,SS316L_001,347.2,156.6,0.323,ASTM_E8,MEC_011,3.1
550,SS316L_001,322.6,151.7,0.327,ASTM_E8,MEC_012,3.4
600,SS316L_001,298.1,146.8,0.331,ASTM_E8,MEC_013,3.7
650,SS316L_001,273.5,141.9,0.335,ASTM_E8,MEC_014,4.0
700,SS316L_001,248.9,137.0,0.339,ASTM_E8,MEC_015,4.5
25,Inconel718_001,1275.3,205.8,0.294,ASTM_E8,MEC_016,1.8
50,Inconel718_001,1268.7,204.1,0.296,ASTM_E8,MEC_017,1.9
100,Inconel718_001,1255.4,200.7,0.300,ASTM_E8,MEC_018,2.0
150,Inconel718_001,1242.1,197.3,0.304,ASTM_E8,MEC_019,2.1
200,Inconel718_001,1228.8,193.9,0.308,ASTM_E8,MEC_020,2.2
250,Inconel718_001,1215.5,190.5,0.312,ASTM_E8,MEC_021,2.3
300,Inconel718_001,1202.2,187.1,0.316,ASTM_E8,MEC_022,2.4
350,Inconel718_001,1188.9,183.7,0.320,ASTM_E8,MEC_023,2.5
400,Inconel718_001,1175.6,180.3,0.324,ASTM_E8,MEC_024,2.6
450,Inconel718_001,1162.3,176.9,0.328,ASTM_E8,MEC_025,2.8
500,Inconel718_001,1149.0,173.5,0.332,ASTM_E8,MEC_026,3.0
550,Inconel718_001,1135.7,170.1,0.336,ASTM_E8,MEC_027,3.2
600,Inconel718_001,1122.4,166.7,0.340,ASTM_E8,MEC_028,3.4
650,Inconel718_001,1109.1,163.3,0.344,ASTM_E8,MEC_029,3.6
700,Inconel718_001,1095.8,159.9,0.348,ASTM_E8,MEC_030,3.8
25,Ti6Al4V_001,895.2,113.8,0.342,ASTM_E8,MEC_031,2.5
50,Ti6Al4V_001,887.4,112.9,0.344,ASTM_E8,MEC_032,2.6
100,Ti6Al4V_001,871.8,111.1,0.348,ASTM_E8,MEC_033,2.7
150,Ti6Al4V_001,856.2,109.3,0.352,ASTM_E8,MEC_034,2.8
200,Ti6Al4V_001,840.6,107.5,0.356,ASTM_E8,MEC_035,2.9
250,Ti6Al4V_001,825.0,105.7,0.360,ASTM_E8,MEC_036,3.0
300,Ti6Al4V_001,809.4,103.9,0.364,ASTM_E8,MEC_037,3.1
350,Ti6Al4V_001,793.8,102.1,0.368,ASTM_E8,MEC_038,3.2
400,Ti6Al4V_001,778.2,100.3,0.372,ASTM_E8,MEC_039,3.3
450,Ti6Al4V_001,762.6,98.5,0.376,ASTM_E8,MEC_040,3.5
500,Ti6Al4V_001,747.0,96.7,0.380,ASTM_E8,MEC_041,3.7
550,Ti6Al4V_001,731.4,94.9,0.384,ASTM_E8,MEC_042,3.9
600,Ti6Al4V_001,715.8,93.1,0.388,ASTM_E8,MEC_043,4.1
650,Ti6Al4V_001,700.2,91.3,0.392,ASTM_E8,MEC_044,4.3
700,Ti6Al4V_001,684.6,89.5,0.396,ASTM_E8,MEC_045,4.5
