firm_id,survey_date,subsector,ownership_type,firm_age,num_employees,firm_size,total_assets_mn,export_intensity,knowledge_acquisition,knowledge_assimilation,knowledge_transformation,knowledge_exploitation,knowledge_absorption_avg,task_quality,task_efficiency,task_innovation,task_performance_avg,product_innovation,process_innovation,marketing_innovation,organizational_innovation,innovation_avg,fdi_ownership_pct,roi_pct,roa_pct,revenue_growth_pct,market_share_pct,operational_efficiency,productivity_index,skilled_labor_ratio,training_hours_per_emp,management_quality,iot_adoption,rd_spend_pct,tech_sophistication,erp_adoption,liquidity_ratio,access_to_credit,investment_capacity_mn,tax_incentives_eff,regulatory_stability,infrastructure_support,trade_facilitation,investment_protection,bureaucratic_burden,corruption_experience,policy_consistency,govt_support_utilized,policy_effectiveness_index,fdi_composite,performance_composite,fdi_x_policy,performance_adjusted,fdi_x_policy_x_size
FIRM_0001,2024-02-27,Beverages,Joint Venture,14.0,94,Medium,753.98,13.8,3.0,3.0,4.0,3.0,3.25,3.0,4.0,4.0,3.67,4.0,4.0,2.0,4.0,3.5,47.9,48.57,34.95,41.39,15.11,4.0,,58.8,63.1,4.0,1,3.19,4.0,1,0.5,2.0,53.12,4.0,6.0,5.0,7.0,7.0,4.0,2.0,5.0,1,5.5,0.6162,0.9088,3.3891,1.062546517825083,2.270697
FIRM_0002,2024-01-13,Oil & Fats,Foreign Majority,4.0,185,Medium,797.04,30.1,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.25,59.0,46.92,36.94,49.51,15.09,4.0,150.0,53.5,56.9,5.0,0,3.56,4.0,1,1.33,4.0,225.52,7.0,5.0,6.0,6.0,6.0,2.0,2.0,,1,5.88,0.7545,0.9096500000000001,4.436459999999999,1.1081496273854592,2.9724282
FIRM_0003,2024-05-20,Bakery Products,Fully Nigerian,17.0,118,Medium,667.77,24.2,3.0,3.0,4.0,4.0,3.5,4.0,4.0,3.0,3.67,4.0,4.0,4.0,4.0,4.0,0.0,23.6,17.36,37.92,14.73,4.0,150.0,45.6,56.1,4.0,0,3.54,4.0,1,0.5,3.0,75.58,4.0,6.0,3.0,5.0,,5.0,4.0,6.0,0,4.38,0.5249999999999999,0.8024,2.2994999999999997,0.8026845871021933,1.540665
FIRM_0004,2024-05-05,Fish Processing,Foreign Subsidiary,20.0,467,Large,1506.2,34.4,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.67,5.0,4.0,3.0,3.0,3.75,95.2,50.0,37.43,30.82,36.33,4.0,150.0,36.6,66.4,3.0,0,3.29,4.0,0,0.53,5.0,198.26,7.0,7.0,3.0,3.0,5.0,2.0,2.0,6.0,1,5.38,0.7581,0.918575,4.078578,1.0878918423019803,4.078578
FIRM_0005,2024-04-24,Grain Milling,Joint Venture,19.0,22,Small,178.42,21.6,3.0,2.0,4.0,5.0,3.5,5.0,4.0,5.0,4.67,3.0,3.0,3.0,5.0,3.5,58.4,44.36,34.34,41.52,2.92,5.0,150.0,52.1,44.6,5.0,1,2.96,3.0,0,0.5,4.0,0.0,5.0,6.0,4.0,5.0,6.0,2.0,2.0,4.0,1,5.25,0.6651999999999999,0.94675,3.4922999999999993,1.1089733331846454,1.152459
FIRM_0006,2024-03-12,Grain Milling,Fully Nigerian,29.0,12,Small,80.97,12.3,3.0,4.0,4.0,3.0,3.5,4.0,3.0,4.0,3.67,3.0,5.0,3.0,5.0,4.0,0.0,50.0,38.71,33.56,1.7,4.0,150.0,24.8,57.0,4.0,1,3.8,5.0,0,1.68,2.0,107.11,5.0,6.0,3.0,6.0,6.0,3.0,2.0,6.0,1,5.38,0.5249999999999999,0.921775,2.8244999999999996,0.9477199233178286,0.9320849999999999
FIRM_0007,2024-02-22,Dairy Processing,Nigerian Majority JV,24.0,10,Micro,90.94,51.6,3.0,3.0,2.0,3.0,2.75,2.0,4.0,2.0,2.67,5.0,3.0,3.0,3.0,3.5,,38.9,32.84,20.45,1.24,3.0,150.0,58.0,51.9,3.0,1,2.87,4.0,0,2.96,2.0,,3.0,7.0,2.0,6.0,5.0,3.0,3.0,5.0,1,4.75,0.5422,0.82935,2.57545,0.8948762333778717,0.0
FIRM_0008,2024-02-14,Confectionery,Foreign Subsidiary,18.0,273,Large,1442.53,39.3,3.0,4.0,3.0,4.0,3.5,4.0,,4.0,4.0,5.0,5.0,4.0,3.0,4.25,91.7,50.0,33.5,46.25,14.75,4.0,150.0,73.0,60.2,5.0,1,3.43,4.0,1,1.48,4.0,,7.0,7.0,5.0,7.0,6.0,1.0,2.0,7.0,1,6.5,0.8176,0.90875,5.3144,1.2757733303495973,5.3144
FIRM_0009,2024-08-04,Fish Processing,Nigerian Majority JV,12.0,16,Small,69.7,23.1,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,3.25,36.6,48.07,31.49,50.04,1.95,5.0,150.0,41.3,45.5,4.0,0,3.33,3.0,1,1.31,3.0,73.03,6.0,7.0,3.0,7.0,5.0,1.0,2.0,6.0,1,5.88,0.5472999999999999,0.9489,3.2181239999999995,1.0050497889809833,1.0619809199999999
FIRM_0010,2024-01-17,Fruits & Vegetables,Joint Venture,3.0,5,Micro,69.99,9.6,4.0,3.0,3.0,3.0,3.25,4.0,3.0,3.0,3.33,3.0,4.0,5.0,5.0,4.25,48.5,45.21,34.0,46.5,0.5,3.0,150.0,59.9,73.4,3.0,0,3.95,5.0,0,0.98,3.0,0.0,6.0,5.0,6.0,5.0,7.0,2.0,3.0,5.0,0,5.62,0.6705,0.848025,3.76821,0.9753887957539841,0.0
FIRM_0011,2024-01-16,Dairy Processing,Joint Venture,17.0,125,Medium,500.39,34.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.75,51.8,48.82,36.3,50.04,9.65,4.0,150.0,63.4,47.1,4.0,1,3.35,4.0,0,0.92,5.0,56.39,5.0,5.0,7.0,6.0,5.0,1.0,3.0,7.0,1,5.88,0.6979,0.9128000000000001,4.103651999999999,1.115304782011331,2.7494468399999996
FIRM_0012,2024-02-17,Other Food,Foreign Majority,14.0,2956,Large,6609.47,23.5,5.0,3.0,3.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.5,78.9,48.64,36.38,38.74,18.88,4.0,150.0,54.4,72.1,4.0,1,3.92,5.0,1,0.5,3.0,546.15,5.0,4.0,3.0,5.0,6.0,2.0,2.0,7.0,1,5.25,0.8142,0.91255,4.2745500000000005,1.0928790098245915,4.2745500000000005
FIRM_0013,2024-04-21,Confectionery,Nigerian Majority JV,15.0,54,Medium,207.4,16.2,4.0,5.0,3.0,3.0,3.75,5.0,5.0,4.0,4.67,2.0,3.0,4.0,3.0,3.0,30.1,33.06,28.81,30.66,5.23,5.0,150.0,63.7,69.7,5.0,0,2.74,3.0,1,0.5,4.0,0.0,6.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,1,4.75,0.5628,0.904675,2.6733,0.9414871672968408,1.791111
FIRM_0014,2024-04-29,Grain Milling,Foreign Subsidiary,4.0,405,Large,1657.57,29.2,5.0,3.0,3.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.75,98.1,44.82,31.41,42.06,22.88,4.0,150.0,59.1,76.5,4.0,0,3.29,4.0,1,0.9,4.0,269.46,5.0,5.0,7.0,5.0,5.0,2.0,3.0,5.0,0,5.38,0.8192999999999999,0.8905749999999999,4.407833999999999,1.1100230672855087,4.407833999999999
