Specimen_ID,Mix_ID,Curing_Age_days,Test_Type,Compressive_Strength_MPa,Tensile_Strength_MPa,Modulus_of_Elasticity_MPa,Dry_Density_kgm3,UPV_mps
C-7-A-1,C,7,Ambient,49.96074074796488,4.8345576919074285,30520.749360339825,2400,4637.072687076722
C-7-A-2,C,7,Ambient,48.17925114911187,4.806514940092365,31629.263250453794,2400,4569.0691256237615
C-7-A-3,C,7,Ambient,47.60565618428355,5.033698812748894,29198.53294555317,2400,4458.084322178677
C-28-A-1,C,28,Ambient,65.78637738258962,5.753820704583458,32585.11503448175,2400,4449.394122368312
C-28-A-2,C,28,Ambient,61.708298858913125,6.622556459712157,33728.7662942703,2400,4372.892666879824
C-28-A-3,C,28,Ambient,69.76335849899505,6.4119472428102515,35094.53948656309,2400,4371.7726632407885
C-56-A-1,C,56,Ambient,66.39229395255781,6.739557604286453,34056.38117144095,2400,4533.81282165111
C-56-A-2,C,56,Ambient,66.20032047065207,6.577826620708041,34840.76295773642,2400,4666.705036605805
C-56-A-3,C,56,Ambient,68.2039407205818,6.270117519838415,36874.594134483355,2400,4390.124071502608
R5S-7-A-1,R5S,7,Ambient,43.19644593432267,3.772344613224838,25754.933578798507,2360,4367.126927520614
R5S-7-A-2,R5S,7,Ambient,44.32847231474019,4.3189559641252275,27074.174668761596,2360,4323.803978483732
R5S-7-A-3,R5S,7,Ambient,39.58965924558962,4.090359960546758,26698.82501719575,2360,4441.969633681046
R5S-28-A-1,R5S,28,Ambient,57.979312125270106,5.097040266865945,32414.827480825337,2360,4316.49784160378
R5S-28-A-2,R5S,28,Ambient,55.070772299128016,5.909193290783577,33319.679388794815,2360,4431.021370363109
R5S-28-A-3,R5S,28,Ambient,54.60823005881548,5.594249367458885,32424.01719219656,2360,4434.8724260596455
R5S-56-A-1,R5S,56,Ambient,58.41607109324797,5.805599768880404,31195.56905793773,2360,4245.930023704982
R5S-56-A-2,R5S,56,Ambient,62.281483523514645,6.348749112464358,32545.983585264716,2360,4437.307362116606
R5S-56-A-3,R5S,56,Ambient,60.93219580495505,5.643750115242799,33111.83810255178,2360,4483.80918128254
R10S-7-A-1,R10S,7,Ambient,36.68416965313546,4.020003926106988,22066.931327367514,2320,4269.039810367519
R10S-7-A-2,R10S,7,Ambient,36.90994898788764,3.6090688792222765,24740.47612566401,2320,4033.044211173525
R10S-7-A-3,R10S,7,Ambient,36.34635290609857,3.75374332201834,26107.203528115137,2320,4156.465301665014
