pair_id,temperature_C,rho_assumed,Gc_YSZ_GDC_J_per_m2,Gc_GDC_LSCF_J_per_m2
IND_00001,25,0.0,2.435982,1.187671
IND_00002,25,0.0,2.107486,0.898736
IND_00003,25,0.0,1.567795,1.081997
IND_00004,25,0.0,2.226253,1.221956
IND_00005,25,0.0,1.836192,0.814439
IND_00006,25,0.0,2.216161,0.756716
IND_00007,25,0.0,2.61388,0.717909
IND_00008,25,0.0,1.44495,1.101568
IND_00009,25,0.0,2.111892,1.018784
IND_00010,25,0.0,2.499916,0.951042
IND_00011,25,0.0,2.437979,1.053484
IND_00012,25,0.0,3.092543,1.04826
IND_00013,25,0.0,2.200778,0.853237
IND_00014,25,0.0,3.098098,1.254971
IND_00015,25,0.0,1.470957,0.992883
IND_00016,25,0.0,2.570406,0.731322
IND_00017,25,0.0,2.130591,1.097531
IND_00018,25,0.0,2.043702,1.211545
IND_00019,25,0.0,2.038622,0.846003
IND_00020,25,0.0,2.148329,1.04805
IND_00021,25,0.0,1.850128,1.031379
IND_00022,25,0.0,2.986764,0.891323
IND_00023,25,0.0,2.375025,0.995499
IND_00024,25,0.0,1.962649,1.120165
IND_00025,25,0.0,2.094477,0.809567
IND_00026,25,0.0,2.392809,0.941646
IND_00027,25,0.0,2.542733,0.910034
IND_00028,25,0.0,2.514767,0.945091
IND_00029,25,0.0,1.670287,1.056435
IND_00030,25,0.0,1.881441,0.914034
IND_00031,25,0.0,1.934654,1.168606
IND_00032,25,0.0,2.020151,1.049613
IND_00033,25,0.0,1.62173,1.12687
IND_00034,25,0.0,1.946585,1.199856
IND_00035,25,0.0,2.803585,1.051649
IND_00036,25,0.0,2.266724,0.854087
IND_00037,25,0.0,2.896215,0.842505
IND_00038,25,0.0,2.214438,1.269524
IND_00039,25,0.0,2.705279,1.157734
IND_00040,25,0.0,2.311495,0.914422
IND_00041,25,0.0,2.103726,0.76174
IND_00042,25,0.0,2.526512,0.950701
IND_00043,25,0.0,2.58081,1.164913
IND_00044,25,0.0,2.525638,0.831574
IND_00045,25,0.0,2.257389,1.160701
IND_00046,25,0.0,2.36985,0.889482
IND_00047,25,0.0,2.259635,0.975811
IND_00048,25,0.0,2.498189,1.164896
IND_00049,25,0.0,0.972428,1.06151
IND_00050,25,0.0,1.884308,0.850449
IND_00051,25,0.0,2.060184,0.78018
IND_00052,25,0.0,1.743894,1.035009
IND_00053,25,0.0,2.654084,0.819523
IND_00054,25,0.0,2.370288,1.367956
IND_00055,25,0.0,2.663674,1.141913
IND_00056,25,0.0,2.452137,0.920324
IND_00057,25,0.0,2.079868,1.171203
IND_00058,25,0.0,2.111587,1.412134
IND_00059,25,0.0,1.846239,1.08433
IND_00060,25,0.0,3.051439,0.98191
IND_00061,25,0.0,2.307321,0.83854
IND_00062,25,0.0,1.838554,1.036324
IND_00063,25,0.0,1.661624,0.957439
IND_00064,25,0.0,1.889898,0.673202
IND_00065,25,0.0,2.388717,1.015269
IND_00066,25,0.0,1.989046,0.964802
IND_00067,25,0.0,2.350422,0.904816
IND_00068,25,0.0,2.394712,0.954802
IND_00069,25,0.0,2.15749,0.994091
IND_00070,25,0.0,2.595843,0.634712
IND_00071,25,0.0,1.692279,0.896526
IND_00072,25,0.0,2.513865,0.904823
IND_00073,25,0.0,2.969702,1.03296
IND_00074,25,0.0,2.62467,1.022719
IND_00075,25,0.0,2.677066,0.955025
IND_00076,25,0.0,2.274042,1.327644
IND_00077,25,0.0,1.313643,1.045883
IND_00078,25,0.0,1.668138,1.241128
IND_00079,25,0.0,1.961143,1.04104
IND_00080,25,0.0,1.362962,1.054642
IND_00081,25,0.0,2.569596,0.973722
IND_00082,25,0.0,1.942648,0.546468
IND_00083,25,0.0,1.771233,1.130455
IND_00084,25,0.0,1.926154,1.079726
IND_00085,25,0.0,2.537799,0.939708
IND_00086,25,0.0,1.137565,1.488125
IND_00087,25,0.0,1.616073,1.049447
IND_00088,25,0.0,1.480071,1.27845
IND_00089,25,0.0,1.619959,1.33819
IND_00090,25,0.0,2.16721,0.942188
IND_00091,25,0.0,2.398018,0.839873
IND_00092,25,0.0,2.577215,1.310642
IND_00093,25,0.0,2.959396,1.163881
IND_00094,25,0.0,2.958434,1.206352
IND_00095,25,0.0,2.001059,0.966249
IND_00096,25,0.0,1.600061,1.264407
IND_00097,25,0.0,2.349922,1.040578
IND_00098,25,0.0,2.209608,1.062892
IND_00099,25,0.0,2.158482,1.039367
IND_00100,25,0.0,2.582079,1.057595
IND_00101,25,0.0,1.805391,1.16231
IND_00102,25,0.0,1.818593,0.574267
IND_00103,25,0.0,2.694106,1.086911
IND_00104,25,0.0,1.808754,0.797228
IND_00105,25,0.0,1.376427,0.828072
