Temperature_K,CTE_per_K,Uncertainty_CTE_per_K
300.0,1.5e-05,1.2000000000000002e-06
350.0,1.515e-05,1.212e-06
400.0,1.53e-05,1.224e-06
450.0,1.545e-05,1.236e-06
500.0,1.56e-05,1.248e-06
550.0,1.575e-05,1.26e-06
600.0,1.59e-05,1.272e-06
650.0,1.605e-05,1.2840000000000001e-06
700.0,1.62e-05,1.2960000000000002e-06
750.0,1.635e-05,1.308e-06
800.0,1.65e-05,1.32e-06
850.0,1.665e-05,1.3320000000000001e-06
900.0,1.6800000000000002e-05,1.3440000000000002e-06
950.0,1.695e-05,1.356e-06
1000.0,1.7100000000000002e-05,1.3680000000000003e-06
1050.0,1.725e-05,1.38e-06
1100.0,1.74e-05,1.392e-06
1150.0,1.755e-05,1.404e-06
1200.0,1.77e-05,1.416e-06
