sample_id,material,strain,stress_fem,stress_exp,rmse,r_squared
SS_000,silicon_carbide,0.0,0.0,0.0,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.0020408163265306124,40271489533.473785,37097500908.53743,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.004081632653061225,1853811008587.7717,2124323573806.3145,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.006122448979591837,17619663785512.633,17574029359165.111,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.00816326530612245,87107084002338.4,82104898221178.39,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.010204081632653062,300906154294105.75,284810848250166.44,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.012244897959183675,828558630344137.0,811356741991391.2,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.014285714285714287,1950960323564896.2,1902842506884273.8,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.0163265306122449,4096616277342963.0,4176944141437311.5,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.018367346938775512,7881441421264673.0,8077318160707619.0,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.020408163265306124,1.4151867836416928e+16,1.44001209298448e+16,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.022448979591836737,2.403106563015494e+16,2.6638331548366188e+16,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.02448979591836735,3.896811702624576e+16,4.340189155814328e+16,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.02653061224489796,6.079000748561313e+16,5.139463219574023e+16,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.028571428571428574,9.175631625542594e+16,9.638458268445259e+16,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.030612244897959186,1.3461650338987989e+17,1.3360180006211322e+17,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.0326530612244898,1.9266970208009526e+17,1.9225077739594835e+17,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.03469387755102041,2.6982693479989805e+17,2.4521916367764413e+17,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.036734693877551024,3.70675679822511e+17,4.1050131796805075e+17,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.03877551020408164,5.005467214495617e+17,5.029686392544101e+17,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.04081632653061225,6.65583223080818e+17,6.851041920858936e+17,1.7717307563798804e+18,0.9948833498564481
SS_000,silicon_carbide,0.04285714285714286,8.728119672366291e+17,9.010110195539726e+17,1.7717307563798804e+18,0.9948833498564481
