FirmID,Firm_Size,Firm_Age,Employees,Assets_Million_NGN,Subsector,Ownership_Type,FDI_Presence,Knowledge_Absorption,Task_Performance,Innovation_Score,FDI_Intensity,FDI_Duration_Years,FDI_Origin_Region,FDI_Type,ROI_Percent,ROA_Percent,Export_Intensity,Market_Share_Percent,Operational_Efficiency,Revenue_Growth_Percent,Profit_Margin_Percent,Skilled_Labor_Ratio,IoT_Usage,R_D_Spend_Percent,Technology_Adoption_Score,Liquidity_Ratio,Debt_to_Equity_Ratio,Training_Investment_Percent,Tax_Incentive_Effectiveness,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,Ease_of_Doing_Business,Government_Support_Access,Regulatory_Burden,FDI_Inflow_Lagos_Million_USD,Lagos_GDP_Growth_Percent,Food_Processing_GDP_Contribution_Percent,Power_Supply_Hours_Daily,Logistics_Quality_Index,Corruption_Index,Regulatory_Quality_Index,Ease_of_Doing_Business_Rank,EEG_Disbursement_Million_NGN,Food_Export_Value_Million_USD,Export_Orientation,Certification_ISO,Certification_HACCP,Location_Zone,Years_in_Export,Supply_Chain_Integration,Competition_Intensity
FIRM_001,SME,18,16,15.752335132224934,Dairy Products,Domestic Private,1,4.417927464153285,3.3041980761788357,4.11690744973036,0.1936176639847018,0.6967739778697819,Europe,Joint Venture,27.677395787148857,16.502679425324242,0.13895941485833935,3.7096316480130342,4.763612361084427,8.834469306717303,19.68777150981169,0.32052630808413696,0,0.5849944490336565,2.8653574106284445,2.0938542679173295,0.3958823081933438,1.2004159674271586,3.4019481317127287,5.534607029375767,3.5496974903683185,5.072364813907298,4.4215044494027005,3.351043573760495,3.5409115066426526,4.423699484110294,1321.945795629078,2.6503620915133643,3.1976460562554436,11.183410125306715,3.0540058744285385,25.71414422548505,2.0900850333808187,129.81698798108485,188.84096542913858,360.75951739716686,1,0,0,Apapa,6.152150416449299,3.177652717286018,3.6498353347648638
FIRM_002,SME,13,19,2.9383102635130105,Meat & Poultry Processing,Foreign-Owned,0,3.256620895062549,4.039970613681836,4.209269748605584,0.5712421787025014,0.11340586641273957,Europe,Merger & Acquisition,15.94657764825754,4.192061526566128,0.5093543216856437,3.131971118874157,3.9325070849634263,30.819629249983624,-3.2923821592710585,0.3834212814862932,1,4.614757288959376,4.265495612550286,2.1567760983430557,1.7761049308742574,2.2637353540479683,5.6570286665852745,4.308409717285043,4.025233694053686,6.2006212724538,3.6827122565231054,3.720073851920438,3.289822801403325,4.975996289369517,1264.127955637434,3.7187191650195732,2.6872583356519644,20.43734629534646,3.1493952851542693,23.121149748427374,2.005287347480718,120.2780992479718,115.34864143484191,458.5444563578419,0,0,0,Victoria Island,2.1488963719078615,3.5713772252986695,4.40611081200904
FIRM_003,SME,20,32,17.630069174894096,Dairy Products,Foreign-Owned,1,4.458913097592841,3.217394281817279,1.6280607137695933,0.07311318906542112,2.2347712126266646,Other Africa,Strategic Alliance,18.8145700724029,11.737997881558368,0.23836288370427583,14.32285225202075,3.436504437473872,-4.777073864172131,9.163043303972792,0.5147003445313859,1,7.800457185770324,4.125778894299647,2.9173432190092647,0.8010152396559969,2.7050191284395457,3.51243120807813,5.685715604962462,2.580945309143762,3.850640549020519,2.7385513900139684,6.817441861417885,3.585974475114234,4.919770370863566,1203.80804348559,2.2415826829320373,2.7111357920349324,23.677076677452163,2.8204507976525712,22.786293988337473,2.5843028750753105,130.8316812792877,173.9356390362609,472.6218519345472,0,0,0,Ikeja,2.498789399525341,2.813150459166932,3.55234648820038
FIRM_004,SME,27,31,28.663881870232494,Grain & Cereal Processing,Joint Venture,0,1.9501101468188322,2.2535938666379094,2.757340230833905,0.15941626917344065,7.656329021790304,Other Africa,Merger & Acquisition,13.16813921181236,1.266063523217971,0.14733037556669462,13.785971881280716,3.669148267355895,5.976297576220718,3.1778196387890354,0.5911208561885636,0,3.7901352717484516,4.417263262391509,1.4157903065095192,0.30308045757772784,0.9968427395452681,5.388555309210113,3.6397740730529695,3.683477279618364,6.363083889213052,4.6305082850647645,3.141720008608545,2.895977780073974,5.626561010446978,1321.2170447353567,3.0693974727204933,2.2260868553635857,15.903727905389081,2.649289314856143,22.937550829842724,1.466435645515906,124.22027081060438,143.33927577144476,421.03365940563947,1,1,0,Victoria Island,0.017853509644637087,2.7620728972694124,3.8597378430564255
FIRM_005,SME,13,24,11.172270981719024,Beverage Production,Domestic Private,0,2.4973214455024912,3.1782964729908363,3.243754097341504,0.7019760373235856,4.17563585401623,Asia,Greenfield Investment,21.904327121157014,13.367578020059717,0.48739570814823696,0.8001882649464503,2.6148484256950586,16.476660803626686,8.073149996745478,0.6676898101307172,1,4.555681264155173,3.9471182114741654,2.378942977204774,0.680490746295929,2.3878116920188264,3.923510507508637,4.509668852249921,4.772569250902361,3.8915490544185642,3.2065901818976714,1.9480317215991305,3.653458251592721,5.595430517731328,1146.6393959203176,3.9076948454107368,3.03432383552492,20.57822045676678,2.656085913078251,29.652737753938744,2.2309355231458974,128.19953441425912,180.34013866445045,464.1382283273791,1,0,0,Surulere,0.7281305404448051,4.44211096062686,4.786604096835637
FIRM_006,SME,13,26,48.26930312552145,Beverage Production,Joint Venture,1,3.7789154754673766,3.5851831959188387,4.216940858741644,0.5909785205812531,1.875489395772082,North America,Strategic Alliance,23.087772788082944,6.127144735205633,0.20570337888327042,5.148314021912237,3.4295487345009104,3.1983098985701046,14.404336653470388,0.6603024310694365,1,7.759773475774667,4.108721858488966,2.497648021137114,0.8787498361690114,1.9242580066817916,2.749943602767692,3.57336829425557,2.729488261175894,4.171744363609001,3.0309110254942984,5.642981663345908,2.873547240293631,4.468274976252973,1264.6091463293974,4.0807643044992075,2.0395395053945675,16.051627372201835,3.443212228907565,26.720238857822807,2.244299799746887,120.9284918308794,125.26628393726456,380.6093244602649,0,1,0,Victoria Island,0.07525851039517648,3.7034198687438926,3.8134531965520893
FIRM_007,SME,27,37,3.408290346462663,Meat & Poultry Processing,Joint Venture,0,2.3713404015296997,4.864978948482346,2.9311791617088145,0.010996443209076202,5.311527239748333,Other Africa,Joint Venture,22.170168143666643,18.117550878184773,0.06689261270326916,6.1367134498082585,3.4301310376438336,26.966502087300434,15.98896261071189,0.7836132459566514,0,2.41386671580673,3.984886824810051,2.3365624881691502,1.984676488144365,0.6601196560705819,3.8010099674161193,6.892756668816234,2.515300956368164,3.199868047913702,4.042660615156051,4.894605301234119,2.2314541812719444,3.9750530665495614,938.9415140572103,3.810630610482334,3.09064234421901,20.3415245365079,2.5764768675488163,23.59445421223493,2.1860969287204504,137.17574247685366,149.7283437785322,498.3836887604102,0,0,0,Surulere,4.213858122069862,3.94425145484852,2.6134875449172847
FIRM_008,SME,21,19,2.1283463074208555,Dairy Products,Domestic Private,1,2.5604235785866267,3.456343785090044,3.327252831562591,0.19870100829584017,1.3199460919587747,Asia,Joint Venture,12.934141067682976,3.1383161421279056,0.342245694842185,3.661316566522556,3.791997197282308,16.14150983614206,16.223572884092043,0.3715048691980457,1,6.938526894486972,3.0179960420668577,2.883308482044256,1.1900207095570388,1.1153093122815585,4.160648238662471,4.8936388922253755,2.422481913362187,5.095267010407536,1.9713375807443285,2.2121853559129647,3.30211182696551,5.392781766647625,1092.2369443788355,3.0894045365415517,2.37469917959029,8.966002574761808,2.870572738306788,23.76715519994044,1.850746842992762,123.66694623728827,104.44532858615528,423.4511067977427,0,0,0,Other,0.4722282372930866,4.303494126800661,4.057123571494437
FIRM_009,SME,11,30,1.247672419473223,Beverage Production,Domestic Private,0,3.0777785086032488,4.158346863720492,5.0,0.17152518639453165,0.07242930686019672,Asia,Joint Venture,26.18993552682912,14.652474220806047,0.34893852266279324,9.470206165123814,4.8653137676162626,-0.6266849820354814,16.17646257425212,0.2426664249280621,0,4.597928504088021,2.0901754084771236,2.082719888585749,0.6480137109116721,3.938165704253623,4.061795048674381,2.3482833298934307,1.6188166612958372,5.494020265777219,4.290876033147053,4.158314483855171,3.273766177200932,4.3280856762238225,1409.5041628219526,2.6672392031155785,3.2172066104786325,18.64862665634966,3.0709276586396443,25.694896421362625,2.461509322695273,121.2962467869219,163.11866733512298,464.43798267760343,0,1,0,Apapa,6.098752743990703,3.6733497625623204,3.3125944946633235
FIRM_010,SME,19,22,32.984716291111425,Grain & Cereal Processing,State-Owned,1,4.117151193532659,3.682184236226551,3.840919249721985,0.21664506242957807,7.227109981674551,Other Africa,Strategic Alliance,32.110223568812756,19.32678647115896,0.4288174051414405,9.641673124999192,2.537922826760657,10.448824427299787,9.13032464189786,0.40739416132511563,0,4.771073859972581,2.9830916833655583,3.373424246372175,0.8691911860128667,0.5811705927709001,4.032019556548638,6.2083767090170054,4.695590013930925,5.643489223932871,4.0957620038841895,4.60224770799542,5.837721113264173,4.625118336515178,1401.816596520884,2.337858305184689,2.9188820305073024,19.581563855373854,2.900283911142967,25.60728849696528,2.4464940687593675,126.45891402241169,163.46210184678256,460.5078523529977,1,0,0,Apapa,3.092785055263734,4.0355498112225545,4.405689810106182
