firm_id,survey_date,location,firm_age_years,firm_size_category,num_employees,total_assets_million_ngn,subsector,ownership_type,has_fdi,years_fdi_involvement,knowledge_absorption,task_performance,innovation_capability,skilled_labor_ratio_pct,iot_automation_use,rd_expenditure_pct_revenue,liquidity_ratio,tax_incentives_effectiveness,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,roi_percent,roa_percent,export_intensity_pct,market_share_pct,operational_efficiency
FIRM_0001,2024-01-15 00:00:00.000000000,Agbara,8,Large,973,2241.25,Dairy Products,Fully Local,1,2,4.22,4.25,4.07,57.3,5.0,4.98,1.74,1.7,1.0,1.0,5.52,1.43,26.66,18.53,31.67,15.66,4.4
FIRM_0002,2024-01-15 07:13:44.096385542,Apapa,8,Small,22,37.38,Other Food Products,Fully Local,0,0,2.91,2.61,2.01,16.2,1.92,0.0,1.54,1.85,2.31,1.0,6.71,1.69,6.58,8.39,8.15,4.91,3.11
FIRM_0003,2024-01-15 14:27:28.192771084,Isolo,3,Small,37,46.63,Beverages,Fully Local,0,0,2.16,3.11,2.06,17.8,1.05,0.95,1.23,3.61,3.54,4.86,2.1,4.24,15.59,9.58,20.4,12.92,3.87
FIRM_0004,2024-01-15 21:41:12.289156626,Ikorodu,3,Medium,206,254.06,Dairy Products,Foreign-Owned,1,2,3.82,3.81,3.36,34.2,2.9,5.57,1.49,2.93,4.89,3.38,5.49,3.57,20.52,16.63,37.6,10.65,4.86
FIRM_0005,2024-01-16 04:54:56.385542168,Ilupeju,3,Large,807,1300.48,Bakery & Confectionery,Fully Local,0,0,2.37,3.15,2.54,11.8,3.12,1.66,1.42,5.43,1.52,1.0,2.96,3.09,18.86,8.33,19.43,11.65,3.66
FIRM_0006,2024-01-16 12:08:40.481927710,Alimosho,29,Medium,84,165.56,Beverages,Joint Venture,1,16,3.4,4.09,3.44,48.9,2.44,3.09,1.6,6.84,3.93,3.07,2.16,4.87,18.99,19.84,40.92,14.78,4.04
FIRM_0007,2024-01-16 19:22:24.578313253,Apapa,8,Medium,183,229.67,Dairy Products,Family Business,0,0,2.21,2.87,1.84,33.7,1.55,0.0,1.19,3.48,2.53,3.89,2.07,3.66,7.54,7.43,18.93,2.22,3.7
FIRM_0008,2024-01-17 02:36:08.674698795,Ikeja Industrial Estate,8,Small,27,43.95,Fruit & Vegetable Processing,Fully Local,0,0,2.87,2.42,2.46,12.0,1.0,0.5,0.46,6.61,3.52,3.37,1.0,4.93,16.31,8.28,14.11,2.32,3.4
FIRM_0009,2024-01-17 09:49:52.771084337,Ikorodu,3,Medium,164,252.31,Meat Processing,Joint Venture,1,3,3.79,3.92,2.82,48.8,2.87,6.38,1.96,3.45,2.13,2.94,4.27,2.97,20.53,11.84,28.74,12.18,3.66
FIRM_0010,2024-01-17 17:03:36.867469879,Ikorodu,29,Large,505,1209.44,Beverages,Fully Local,1,17,4.15,3.8,4.57,61.2,3.85,7.09,2.05,4.85,5.62,4.26,5.62,4.56,31.88,21.92,54.88,18.83,3.88
