sample_id,temperature,cooling_rate,porosity,material,tec_mismatch,stress,strain,stress_hotspot_density,crack_risk,delamination_probability,material_E,material_nu,material_alpha,material_density,stress_strain_ratio,thermal_gradient,porosity_stress_factor
0,1312.3620356542087,4.362767366200286,0.11219976353859584,alumina,2.3e-06,1676309.4610900332,4.530566111054144e-06,0.1,5.5472230037666447e-05,0.06285844215254634,370000000000.0,0.22,8.1e-06,3950,369991833430.4287,0.43627673662002864,1.2243995270771917
1,1485.2142919229748,3.9962088660826294,0.03583167938381961,silica,2.3e-06,16851.483170227955,2.4073547386039935e-07,0.09,2.5798738649175477e-06,0.0001987056788071516,70000000000.0,0.17,5e-07,2200,69970934514.38945,0.39962088660826295,1.0716633587676392
2,1419.5981825434214,2.5853852125257406,0.05852955721178406,zirconia,2.3e-06,786856.3690295734,3.934281845147867e-06,0.1,4.394825393833598e-05,0.010171281433724389,200000000000.0,0.31,1.05e-05,6100,199994916609.32077,0.2585385212525741,1.1170591144235682
3,1379.597545259111,6.465400030913392,0.10285928916009454,alumina,2.3e-06,2484205.6272624917,6.714069262871599e-06,0.08,8.095278046372825e-05,0.046132307621786175,370000000000.0,0.22,8.1e-06,3950,369994489266.12494,0.6465400030913392,1.2057185783201891
4,1246.805592132731,5.28961744457766,0.07749250823342718,zirconia,2.3e-06,1609883.5700888531,8.049417850444265e-06,0.07,9.296957008543963e-05,0.10335478667538948,200000000000.0,0.31,1.05e-05,6100,199997515379.13556,0.528961744457766,1.1549850164668545
5,1246.7983561008607,8.791308930916033,0.11339994540888512,alumina,2.3e-06,3377891.3930711984,9.129436197489726e-06,0.11,0.00011199991330308193,0.2449406626109053,370000000000.0,0.22,8.1e-06,3950,369995947220.1873,0.8791308930916033,1.2267998908177702
6,1217.4250836504598,1.2889862243385242,0.14456910617120036,alumina,2.3e-06,495268.16850545595,1.3385626175823133e-06,0.1,1.725592219938428e-05,0.05296628876755457,370000000000.0,0.22,8.1e-06,3950,369972360474.16724,0.12889862243385242,1.2891382123424007
7,1459.8528437324806,6.794811347996137,0.026316536280127645,alumina,2.3e-06,2610775.5910185156,7.056150245995988e-06,0.07,7.427537113889558e-05,0.029543084438200678,370000000000.0,0.22,8.1e-06,3950,369994756421.79486,0.6794811347996137,1.0526330725602553
8,1380.3345035229627,7.86653990660405,0.10933948029572851,titanium,2.3e-06,1127537.3866132477,1.0250339878302252e-05,0.1,0.0001249187354859855,0.02122963233718736,110000000000.0,0.34,8.6e-06,4500,109998926875.32138,0.7866539906604051,1.218678960591457
9,1412.4217733388136,7.835379122694763,0.042248181788496035,titanium,2.3e-06,1123071.0075862496,1.0209736432602269e-05,0.11,0.00011072422034236692,0.013603095480357161,110000000000.0,0.34,8.6e-06,4500,109998922607.6174,0.7835379122694763,1.084496363576992
10,1206.1753482887407,8.974665703859726,0.06802674183705969,alumina,2.3e-06,3448342.706983025,9.319845154008176e-06,0.09,0.00010587842554514348,0.3210172124090294,370000000000.0,0.22,8.1e-06,3950,369996030019.5561,0.8974665703859727,1.1360534836741194
11,1490.9729556485984,7.561303685465447,0.014600781611319575,alumina,2.3e-06,2905285.531453839,7.85212305798335e-06,0.1,8.081417325892992e-05,0.031173827292702593,370000000000.0,0.22,8.1e-06,3950,369995287958.6167,0.7561303685465447,1.0292015632226392
12,1449.7327922401264,9.350290554829266,0.029027033520977852,alumina,2.3e-06,3592669.332413245,9.709917114630392e-06,0.12,0.00010273617293774979,0.041140919981219874,370000000000.0,0.22,8.1e-06,3950,369996189502.0819,0.9350290554829267,1.0580540670419558
13,1263.701733203483,3.9939093983880234,0.054768820466845954,alumina,2.3e-06,1534582.880380629,4.147521298326024e-06,0.08,4.6018309970669004e-05,0.07639105032079156,370000000000.0,0.22,8.1e-06,3950,369991079224.129,0.39939093983880236,1.109537640933692
14,1254.54749016213,5.528884750763888,0.05787801274031789,silica,2.3e-06,23314.57425020917,3.330653464315596e-07,0.12,3.71619667159808e-06,0.0012873719205724447,70000000000.0,0.17,5e-07,2200,69978989411.489,0.5528884750763888,1.1157560254806358
15,1255.0213529560301,1.126716969546016,0.1359419303046934,silica,2.3e-06,4751.216136639827,6.787451623771181e-08,0.07,8.632850174941541e-07,0.0003401521880867307,70000000000.0,0.17,5e-07,2200,69897020230.70647,0.11267169695460161,1.2718838606093867
16,1291.2726728878613,1.062618285729621,0.11385380729731209,silica,2.3e-06,4480.920481992378,6.401314974274825e-08,0.1,7.858943137335793e-07,0.00020857460255389182,70000000000.0,0.17,5e-07,2200,69890818029.87239,0.1062618285729621,1.2277076145946242
17,1357.4269294896712,3.161139584063679,0.14610561554618576,titanium,2.3e-06,453096.6737157941,4.119060670143583e-06,0.07,5.3226964595104083e-05,0.012002232075296734,110000000000.0,0.34,8.6e-06,4500,109997329553.06168,0.3161139584063679,1.2922112310923715
18,1329.5835055926348,1.9072647742517672,0.09387001144693366,zirconia,2.3e-06,580471.8878157553,2.9023594390787765e-06,0.11,3.4472484666176575e-05,0.017247311833572632,200000000000.0,0.31,1.05e-05,6100,199993109292.1642,0.19072647742517673,1.1877400228938673
19,1287.3687420594126,3.3419023114217827,0.04383992249278451,alumina,2.3e-06,1284061.6958116773,3.4704370157072356e-06,0.08,3.7747243952766275e-05,0.0482849787971565,370000000000.0,0.22,8.1e-06,3950,369989338825.7113,0.3341902311421783,1.0876798449855691
20,1383.5558684167138,2.5933896507555767,0.055871704189029994,silica,2.3e-06,10935.980454993398,1.562282922141914e-07,0.11,1.7368577407128867e-06,0.00016491719803146118,70000000000.0,0.17,5e-07,2200,69955222436.70128,0.2593389650755577,1.11174340837806
21,1241.8481581956125,1.2566802235478343,0.05477702926087539,silica,2.3e-06,5299.253954719783,7.570362792456833e-08,0.14,8.399726760852532e-07,0.00032823865794171447,70000000000.0,0.17,5e-07,2200,69907656134.78334,0.12566802235478344,1.1095540585217507
22,1287.6433945605654,9.183737317654444,0.05570920587285522,silica,2.3e-06,38726.60314673561,5.532371878105086e-07,0.05,6.148779965950188e-06,0.00152294531905094,70000000000.0,0.17,5e-07,2200,69987349485.71288,0.9183737317654445,1.1114184117457104
23,1309.9085529881074,1.0740081825000236,0.10421498423565417,alumina,2.3e-06,412666.99012212444,1.1153161895192552e-06,0.09,1.3477815077362934e-05,0.015452989850157155,370000000000.0,0.22,8.1e-06,3950,369966828525.21985,0.10740081825000236,1.2084299684713082
