firm_id,firm_size,firm_age,employees,total_assets_million_naira,subsector,ownership_type,ka_acquire_external_knowledge,ka_assimilate_new_info,ka_transform_knowledge,ka_exploit_knowledge_commercially,tp_work_quality_standards,tp_efficient_task_completion,tp_productivity_levels,tp_goal_achievement,inn_product_innovation,inn_process_innovation,inn_marketing_innovation,inn_organizational_innovation,fr_skilled_labor_ratio,fr_rd_spend_ratio,fr_iot_adoption,fr_liquidity_ratio,roi_percent,roa_percent,export_intensity_percent,market_share_percent,operational_efficiency_score,gp_tax_incentives_effectiveness,gp_regulatory_stability,gp_infrastructure_support,gp_ease_of_doing_business,gp_corruption_experience,gp_policy_consistency,gp_government_support_programs,policy_effectiveness_index,fdi_presence,fdi_type,fdi_amount_million_usd,fdi_origin_country,survey_date,respondent_position,response_completeness,response_time_minutes
FIRM_001,SME,19,20,999.0,Oil & Fats,Foreign,2.5379278234810245,3.0683124570503586,2.7136800217312045,3.320310736433928,3.526327503515487,2.2342286951729626,4.189308899598355,4.465234442799409,4.823445794824953,4.458217912064096,2.1943775504997034,3.2047462881588484,10.070852346603136,1.8241297253805104,1,0.9910081304177729,20.14,15.06,1.6,4.79,8.1,4.2,3.8,2.3,3.5,4.7,2.6,4.5,3.46,1,M&A,8.08,India,2024-01-15 00:00:00.000000000,CEO,0.9072786437832748,14
FIRM_002,Large,11,588,11065.1,Beverages,Local Private,3.2689151064371,3.3898834103852047,3.6296979427936478,1.7642614750418746,3.9088559720683826,3.700511555553612,3.6112483189227342,3.608971339853663,2.125385029981418,3.645045609368182,1.5121733074403645,3.572370975640564,57.89143574782497,0.06292066105251143,0,0.5,24.94,15.26,7.5,0.83,8.3,4.0,4.4,3.0,3.7,3.9,3.0,3.3,3.64,1,Greenfield,5.15,Other,2024-01-15 06:01:12.240802675,CEO,0.9480757584724939,33
FIRM_003,SME,11,49,999.0,Bakery Products,Local Private,2.342288790411515,3.7823989736025894,1.6616880833046273,3.28892980312461,4.1570176795013385,2.3274145422289916,2.238402814247202,4.02001554682327,1.2108169620327383,3.557747535910098,2.025053634100926,2.2601315893548652,61.084184224691896,0.6428794296750093,0,1.8134302078556988,21.02,15.22,5.2,1.79,5.0,7.0,4.8,4.0,2.5,6.1,2.9,2.5,3.66,0,None,0.0,None,2024-01-15 12:02:24.481605351,CEO,0.8614134057024364,39
FIRM_004,SME,11,15,999.0,Beverages,Local Private,1.0,3.4044955888676562,3.5159553994737487,2.7482177807486607,3.465546168135007,4.131798606838918,2.857740444839326,4.203681102711043,2.42873625929748,2.7127216120408217,2.9158650347333928,1.9026439801300254,39.940921815722774,0.06669969938979185,0,1.0190749357039939,7.81,5.23,16.1,3.84,7.6,2.7,1.0,2.1,3.2,4.4,3.9,2.5,2.71,1,Joint Venture,8.07,South Africa,2024-01-15 18:03:36.722408026,Operations Manager,0.9405402880331857,40
FIRM_005,SME,37,35,999.0,Fish Processing,Local Private,3.5492478433261345,3.0945298766314018,4.921878660958168,2.9055017420801823,3.5522013067139393,3.533878899890598,3.4408217091244975,4.430916827052553,1.0,1.7643490015680985,3.300365384885591,2.4874952029571005,62.24206224397574,1.0906111998609715,0,1.1056559053616883,26.32,15.99,0.3,3.0,7.9,3.5,5.6,2.7,3.4,6.1,5.3,4.2,3.8,0,None,0.0,None,2024-01-16 00:04:48.963210702,General Manager,0.9896837138768347,11
FIRM_006,Large,22,587,50000.0,Bakery Products,Local Private,3.9231478728689564,3.323273137251918,1.8731433958664707,4.454905602775051,3.2439810146916135,3.893726980416883,3.439467516539336,4.334420983226935,3.65109945450731,2.912378610513633,1.0,2.8883807513490027,19.292901682666553,4.509496081330378,0,1.0696016240440356,30.77,19.19,8.3,8.95,9.0,2.9,4.6,4.0,1.3,5.9,4.9,2.8,3.23,0,None,0.0,None,2024-01-16 06:06:01.204013377,General Manager,0.9775544181486775,35
FIRM_007,SME,9,10,999.0,Meat Processing,Government,1.3096540515665294,3.338145928556265,3.270735550849356,2.2947944845765944,3.781136497775134,2.995281927587164,5.0,4.223318200043787,1.0,4.185947339377524,2.691075478227075,2.042201993864386,30.068656459693,8.108603546466451,0,3.643790966554901,15.89,10.79,11.5,0.87,7.1,3.6,3.8,4.1,4.3,2.4,1.0,4.0,3.77,1,Joint Venture,6.03,India,2024-01-16 12:07:13.444816053,CEO,0.8601510304986975,27
FIRM_008,SME,19,51,999.0,Oil & Fats,Foreign,2.3922154362320502,3.1409922790825107,2.504216039983052,3.9505641493983816,3.290942819485511,4.495625452160426,2.391209646080801,3.510947961283535,2.928457581183159,1.7255489290693171,2.873898147855503,2.9911396722146555,51.875586338271304,2.026966909372242,0,4.662272388604607,17.06,12.14,11.4,3.9,7.8,3.6,3.0,3.1,3.7,4.8,2.7,2.7,3.14,1,Greenfield,23.32,China,2024-01-16 18:08:25.685618729,CEO,0.9990084818108602,4
FIRM_009,SME,15,19,999.0,Beverages,Joint Venture,3.6953234088041587,3.218842756133028,3.4832984855737323,3.076829655734553,4.1438766879447195,4.329207264841196,3.9044713934687,3.3569523748263634,1.0,2.1504195686409746,2.3947013180528933,1.4803453307383498,65.89860610057984,0.35260985123138233,0,1.2902820085465119,19.2,13.99,17.4,1.22,8.2,2.8,1.5,5.6,3.8,6.6,1.5,2.2,2.69,1,Greenfield,5.67,South Africa,2024-01-17 00:09:37.926421404,CEO,0.9548090385555819,5
FIRM_010,Large,1,536,27166.21,Beverages,Local Private,4.845996375769359,4.519053019353302,3.1172329996741768,3.076191865203332,2.728480104839533,4.008481012108321,4.6912904866626315,3.8995645061945186,2.579702195463358,3.2136409626106612,4.120401222917467,1.991957319777115,14.303434983163074,4.72571908973951,0,0.5,20.19,6.74,10.4,1.08,7.9,4.4,2.8,5.1,3.0,2.8,4.2,3.7,4.06,1,Joint Venture,1.47,UK,2024-01-17 06:10:50.167224080,Business Development Manager,0.8743421236471035,17
