node_id,x,y,sigma_baseline,sigma_optimized,delta_sigma
0,0.149014,-0.298545,205.696317,148.346695,57.349622
1,0.672806,-0.054451,204.709411,153.457185,51.252226
2,1.622878,-0.653120,197.433651,146.426405,51.007246
3,2.599766,0.053543,195.139530,143.837927,51.301603
4,2.786897,0.428657,189.703404,145.078851,44.624553
5,3.501187,-0.442240,184.655071,144.443234,40.211837
6,4.759478,-0.175778,175.990032,134.096906,41.893126
7,5.230230,0.098732,165.932723,130.123766,35.808957
8,5.573443,0.375853,159.912854,127.610569,32.302286
9,6.591339,-0.134467,152.166619,120.062090,32.104529
10,7.003832,-0.207675,153.874724,118.298619,35.576104
11,7.717424,-0.590677,146.217565,117.003155,29.214410
12,8.644017,0.031031,140.741827,109.620420,31.121407
13,8.711730,0.612623,138.563692,113.758217,24.805475
14,9.482525,0.083208,138.706368,109.876783,28.829584
15,11.463967,-0.006684,130.745619,110.142953,20.602666
16,12.961457,0.096625,132.401316,109.874482,22.526834
17,14.992233,-0.003328,129.699461,103.490104,26.209357
18,16.258205,-0.243904,129.445195,106.494177,22.951018
19,17.739574,0.246984,130.483166,106.238751,24.244415
20,20.235613,0.067728,132.080426,104.768178,27.312248
21,21.360839,0.005284,133.260187,107.087026,26.173161
22,23.081483,-0.292610,134.317361,116.195056,18.122305
23,24.266453,0.391052,124.559767,111.746804,12.812963
24,26.163216,0.199411,132.540237,115.720760,16.819477
25,27.992460,-0.165876,134.109044,113.528619,20.580425
26,29.246539,0.300547,138.865328,109.694943,29.170385
27,31.337199,-0.149271,133.075419,111.222542,21.852877
28,32.676951,-0.234601,136.362754,113.866341,22.496413
29,34.402288,-0.227911,139.971960,113.784926,26.187034
30,35.941937,-0.531321,132.718245,111.199006,21.519240
31,38.310785,0.141463,137.668978,109.402248,28.266730
32,39.383706,-0.549343,134.355173,121.269593,13.085579
33,40.703095,-0.368533,135.547118,113.035512,22.511605
34,42.899825,-0.622676,134.462699,112.436212,22.026487
35,43.919461,-0.025821,135.389694,114.019882,21.369812
36,45.981026,-0.045096,144.115700,113.232310,30.883390
37,46.963119,-0.098009,139.453614,114.183822,25.269792
38,48.785218,-0.312773,140.004555,117.062200,22.942355
39,50.875385,-0.351670,138.437375,113.508957,24.928418
40,52.670520,0.139311,133.219318,110.887558,22.331760
41,54.133043,-0.165166,138.280923,113.429379,24.851544
42,55.679591,0.094907,139.855907,112.546692,27.309214
43,57.256608,-0.265575,134.942253,117.185382,17.756871
