log_pO2_Pa,pO2_Pa,temperature_K,length_mm,chemical_strain,chemical_expansion_coefficient,oxidation_fraction
-20.0,1e-20,1073,10.000000000238156,2.3815631317683997e-11,0.0,1.2736932283425203e-10
-19.79591836734694,1.5998587196060573e-20,1073,10.000000000332156,3.3215647033984564e-11,0.0,1.6110375244879523e-10
-19.591836734693878,2.559547922699533e-20,1073,10.00000000045537,4.553705278612086e-11,0.0,2.03772921731128e-10
-19.387755102040817,4.094915062380419e-20,1073,10.000000000494255,4.942546466211705e-11,0.0,2.5774324309155263e-10
-19.183673469387756,6.551285568595496e-20,1073,10.000000000667779,6.677792363352596e-11,0.0,3.2600788561129824e-10
-18.979591836734695,1.0481131341546832e-19,1073,10.000000000863261,8.632619405034105e-11,0.0,4.123527748158105e-10
-18.775510204081634,1.676832936811003e-19,1073,10.000000001160622,1.1606226944479985e-10,0.0,5.215665583535726e-10
-18.571428571428573,2.6826957952797164e-19,1073,10.000000001333417,1.3334165214778042e-10,0.0,6.597061821796469e-10
-18.367346938775512,4.291934260128761e-19,1073,10.000000001741505,1.7415053773898213e-10,0.0,8.34432805975819e-10
-18.163265306122447,6.866488450043027e-19,1073,10.000000002324958,2.3249576045500228e-10,0.0,1.0554366875204663e-09
-17.959183673469386,1.0985411419875618e-18,1073,10.00000000284153,2.8415301229883663e-10,0.0,1.3349745998975584e-09
-17.755102040816325,1.7575106248547965e-18,1073,10.000000003139036,3.139036092802636e-10,0.0,1.688549586452709e-09
-17.551020408163264,2.8117686979742367e-18,1073,10.000000004707431,4.707431279540867e-10,0.0,2.1357707523883994e-09
-17.346938775510203,4.498432668969453e-18,1073,10.00000000558,5.580000551299498e-10,0.0,2.701440776637303e-09
-17.142857142857142,7.196856730011528e-18,1073,10.000000006957112,6.957112279554261e-10,0.0,3.416931456910532e-09
-16.93877551020408,1.151395399326448e-17,1073,10.00000000902541,9.025410635253858e-10,0.0,4.321923574998946e-09
-16.73469387755102,1.8420699693267164e-17,1073,10.000000012476761,1.2476761278478064e-09,0.0,5.466607574429768e-09
-16.53061224489796,2.9470517025518094e-17,1073,10.000000014558072,1.455807261467816e-09,0.0,6.9144670990069894e-09
-16.3265306122449,4.7148663634573897e-17,1073,10.000000018470706,1.847070577660513e-09,0.0,8.745799765936825e-09
-16.122448979591837,7.543120063354607e-17,1073,10.000000024619117,2.4619117596179656e-09,0.0,1.1062170433892931e-08
-15.918367346938776,1.2067926406393265e-16,1073,10.000000031470606,3.1470606303068255e-09,0.0,1.3992043942056966e-08
-15.714285714285715,1.9306977288832456e-16,1073,10.000000038348945,3.8348945719530405e-09,0.0,1.769790970899321e-08
-15.510204081632653,3.0888435964774847e-16,1073,10.000000053762037,5.376203580694464e-09,0.0,2.238529331792564e-08
-15.306122448979592,4.941713361323839e-16,1073,10.000000055970379,5.597037924379341e-09,0.0,2.8314154866143533e-08
-15.10204081632653,7.906043210907702e-16,1073,10.00000007397145,7.397145015023691e-09,0.0,3.5813306224721e-08
-14.89795918367347,1.2648552168552958e-15,1073,10.00000009805771,9.805770951331543e-09,9.609655532304922e-08,4.529864678150148e-08
-14.693877551020408,2.0235896477251554e-15,1073,10.000000116459848,1.1645984752730659e-08,3.804355019225353e-08,5.7296229010651243e-08
-14.489795918367346,3.237457542817653e-15,1073,10.000000151256613,1.5125661328340894e-08,2.9646296203548087e-08,7.247143307048923e-08
-14.285714285714285,5.179474679231223e-15,1073,10.000000185336626,1.8533662573398686e-08,2.5947127602758123e-08,9.166586843271295e-08
-14.081632653061224,8.28642772854686e-15,1073,10.00000024840993,2.48409930866231e-08,2.704908136098958e-08,1.1594404907977727e-07
-13.877551020408163,1.3257113655901108e-14,1073,10.000000323683196,3.2368319630781784e-08,2.8837230216514667e-08,1.4665243083842326e-07
-13.673469387755102,2.1209508879201924e-14,1073,10.000000361714878,3.6171487864046894e-08,2.7267737005204576e-08,1.8549408500559169e-07
-13.46938775510204,3.3932217718953294e-14,1073,10.000000498786392,4.9878639217071906e-08,3.258737762182031e-08,2.3462314958830375e-07
-13.26530612244898,5.4286754393238596e-14,1073,10.000000566760345,5.667603445280577e-08,3.267206691985274e-08,2.9676429631050733e-07
-13.061224489795919,8.68511373751352e-14,1073,10.000000834504094,8.345040946884132e-08,4.304284277866553e-08,3.75363838861299e-07
-12.857142857142858,1.389495494373136e-13,1073,10.000000901859503,9.018595021686595e-08,4.208677676787079e-08,4.747808626012219e-07
-12.653061224489797,2.222996482526191e-13,1073,10.00000129861265,1.2986126498527794e-07,5.533219116764018e-08,6.005289754087821e-07
-12.448979591836736,3.556480306223121e-13,1073,10.000001758969985,1.7589699850596515e-07,6.895162341433836e-08,7.595820866045778e-07
-12.244897959183673,5.689866029018305e-13,1073,10.000002128055376,2.1280553767056824e-07,7.724052848783586e-08,9.607611715863944e-07
-12.040816326530612,9.102981779915227e-13,1073,10.000002405068788,2.405068787164947e-07,8.127473832488442e-08,1.2152234708041227e-06
-11.83673469387755,1.4563484775012444e-12,1073,10.000003412776739,3.412776738266955e-07,1.0788778075811663e-07,1.537081251969272e-06
-11.63265306122449,2.329951810515372e-12,1073,10.000003794312432,3.7943124321437923e-07,1.126795813182096e-07,1.94418444879856e-06
-11.428571428571429,3.727593720314938e-12,1073,10.000005439350645,5.439350644269442e-07,1.523018180395444e-07,2.4591105763283965e-06
-11.224489795918368,5.9636233165946364e-12,1073,10.00000658601647,6.586016469969242e-07,1.7444043623161778e-07,3.110416815452826e-06
-11.020408163265305,9.540954763499963e-12,1073,10.00000790173395,7.90173394904676e-07,1.985563915401493e-07,3.934223694566656e-06
-10.816326530612244,1.5264179671752364e-11,1073,10.00001063989024,1.0639890240843595e-06,2.543193277079688e-07,4.976218179130652e-06
-10.612244897959183,2.4420530945486546e-11,1073,10.000013329507077,1.3329507076602745e-06,3.0378876593187644e-07,6.294187228487393e-06
-10.408163265306122,3.906939937054621e-11,1073,10.000016015529146,1.6015529146163358e-06,3.4878263473866864e-07,7.961222280074001e-06
-10.204081632653061,6.250551925273977e-11,1073,10.000020927423234,2.0927423234570397e-06,4.3635903765699975e-07,1.0069772300663811e-05
-10.0,1e-10,1073,10.000025421794515,2.5421794514958583e-06,5.084358902991717e-07,1.2736770057669741e-05
