Temperature_C,Concrete_Type,Porosity_%,Permeability_m2,Water_Content_%,Damage_Index,Source
20,Control_Concrete,12.5,1.2e-16,4.2,0.0,Experimental
20,Rubberized_5%,13.8,1.5e-16,4.5,0.0,Experimental
20,Rubberized_10%,15.2,1.8e-16,4.8,0.0,Experimental
20,Rubberized_15%,16.7,2.1e-16,5.1,0.0,Experimental
20,Rubberized_20%,18.3,2.5e-16,5.4,0.0,Experimental
100,Control_Concrete,13.2,1.8e-16,3.8,0.1,Experimental
100,Rubberized_5%,14.6,2.2e-16,4.1,0.1,Experimental
100,Rubberized_10%,16.1,2.6e-16,4.4,0.1,Experimental
100,Rubberized_15%,17.7,3.1e-16,4.7,0.1,Experimental
100,Rubberized_20%,19.4,3.7e-16,5.0,0.1,Experimental
200,Control_Concrete,14.1,2.8e-16,3.2,0.2,Experimental
200,Rubberized_5%,15.6,3.4e-16,3.5,0.2,Experimental
200,Rubberized_10%,17.2,4.1e-16,3.8,0.2,Experimental
200,Rubberized_15%,18.9,4.9e-16,4.1,0.2,Experimental
200,Rubberized_20%,20.7,5.8e-16,4.4,0.2,Experimental
300,Control_Concrete,15.2,4.2e-16,2.5,0.3,Experimental
300,Rubberized_5%,16.8,5.1e-16,2.8,0.3,Experimental
300,Rubberized_10%,18.5,6.2e-16,3.1,0.3,Experimental
300,Rubberized_15%,20.3,7.4e-16,3.4,0.3,Experimental
300,Rubberized_20%,22.2,8.8e-16,3.7,0.3,Experimental
400,Control_Concrete,16.5,6.1e-16,1.8,0.4,Experimental
400,Rubberized_5%,18.2,7.4e-16,2.1,0.4,Experimental
400,Rubberized_10%,20.0,9.0e-16,2.4,0.4,Experimental
400,Rubberized_15%,22.0,10.7e-16,2.7,0.4,Experimental
400,Rubberized_20%,24.1,12.7e-16,3.0,0.4,Experimental
500,Control_Concrete,18.1,8.8e-16,1.2,0.5,Experimental
500,Rubberized_5%,20.0,10.7e-16,1.5,0.5,Experimental
500,Rubberized_10%,22.0,13.0e-16,1.8,0.5,Experimental
500,Rubberized_15%,24.2,15.5e-16,2.1,0.5,Experimental
500,Rubberized_20%,26.5,18.4e-16,2.4,0.5,Experimental
600,Control_Concrete,20.0,12.5e-16,0.8,0.6,Experimental
600,Rubberized_5%,22.1,15.2e-16,1.1,0.6,Experimental
600,Rubberized_10%,24.3,18.5e-16,1.4,0.6,Experimental
600,Rubberized_15%,26.7,22.0e-16,1.7,0.6,Experimental
600,Rubberized_20%,29.2,26.1e-16,2.0,0.6,Experimental
700,Control_Concrete,22.2,17.2e-16,0.5,0.7,Experimental
700,Rubberized_5%,24.5,20.9e-16,0.8,0.7,Experimental
700,Rubberized_10%,26.9,25.4e-16,1.1,0.7,Experimental
700,Rubberized_15%,29.5,30.2e-16,1.4,0.7,Experimental
700,Rubberized_20%,32.3,35.8e-16,1.7,0.7,Experimental
800,Control_Concrete,24.7,23.1e-16,0.3,0.8,Experimental
800,Rubberized_5%,27.2,28.1e-16,0.6,0.8,Experimental
800,Rubberized_10%,29.9,34.2e-16,0.9,0.8,Experimental
800,Rubberized_15%,32.8,40.7e-16,1.2,0.8,Experimental
800,Rubberized_20%,35.9,48.3e-16,1.5,0.8,Experimental
900,Control_Concrete,27.5,30.5e-16,0.2,0.9,Experimental
900,Rubberized_5%,30.3,37.1e-16,0.5,0.9,Experimental
900,Rubberized_10%,33.3,45.1e-16,0.8,0.9,Experimental
900,Rubberized_15%,36.5,53.7e-16,1.1,0.9,Experimental
900,Rubberized_20%,40.0,63.8e-16,1.4,0.9,Experimental
1000,Control_Concrete,30.6,39.8e-16,0.1,1.0,Experimental
1000,Rubberized_5%,33.7,48.4e-16,0.4,1.0,Experimental
1000,Rubberized_10%,37.0,58.9e-16,0.7,1.0,Experimental
1000,Rubberized_15%,40.5,70.1e-16,1.0,1.0,Experimental
1000,Rubberized_20%,44.3,83.2e-16,1.3,1.0,Experimental
