Stress_MPa,Temperature_C,Time_min,Creep_Strain,Damage,Notes
80,900,0.00,0.000000e+00,0.000000,
80,900,1.00,9.074413e-16,0.033481,
80,900,2.00,1.921996e-15,0.065311,
80,900,3.00,3.014540e-15,0.095596,
80,900,4.00,4.162987e-15,0.124433,
80,900,5.00,5.350697e-15,0.151908,
80,900,6.00,6.565224e-15,0.178108,
80,900,7.00,7.797345e-15,0.203109,
80,900,8.00,9.040299e-15,0.226986,
80,900,9.00,1.028920e-14,0.249806,
80,900,10.00,1.154057e-14,0.271632,
80,900,11.00,1.279201e-14,0.292521,
80,900,12.00,1.404190e-14,0.312530,
80,900,13.00,1.528920e-14,0.331711,
80,900,14.00,1.653332e-14,0.350104,
80,900,15.00,1.777393e-14,0.367748,
80,900,16.00,1.901097e-14,0.384679,
80,900,17.00,2.024449e-14,0.400934,
80,900,18.00,2.147463e-14,0.416546,
80,900,19.00,2.270163e-14,0.431549,
80,900,20.00,2.392572e-14,0.445974,
80,900,21.00,2.514717e-14,0.459850,
80,900,22.00,2.636623e-14,0.473207,
80,900,23.00,2.758317e-14,0.486072,
80,900,24.00,2.879822e-14,0.498470,
80,900,25.00,3.001160e-14,0.510425,
80,900,26.00,3.122352e-14,0.521962,
80,900,27.00,3.243417e-14,0.533100,
80,900,28.00,3.364371e-14,0.543860,
80,900,29.00,3.485229e-14,0.554262,
80,900,30.00,3.606003e-14,0.564319,
80,900,31.00,3.726706e-14,0.574045,
80,900,32.00,3.847347e-14,0.583452,
80,900,33.00,3.967935e-14,0.592551,
80,900,34.00,4.088478e-14,0.601355,
80,900,35.00,4.208983e-14,0.609874,
80,900,36.00,4.329454e-14,0.618119,
80,900,37.00,4.449897e-14,0.626101,
80,900,38.00,4.570317e-14,0.633830,
80,900,39.00,4.690716e-14,0.641317,
80,900,40.00,4.811098e-14,0.648571,
80,900,41.00,4.931465e-14,0.655602,
80,900,42.00,5.051820e-14,0.662419,
80,900,43.00,5.172165e-14,0.669032,
80,900,44.00,5.292501e-14,0.675448,
80,900,45.00,5.412829e-14,0.681677,
80,900,46.00,5.533152e-14,0.687726,
80,900,47.00,5.653469e-14,0.693604,
80,900,48.00,5.773781e-14,0.699317,
80,900,49.00,5.894090e-14,0.704874,
80,900,50.00,6.014396e-14,0.710282,
80,900,51.00,6.134699e-14,0.715546,
80,900,52.00,6.255000e-14,0.720674,
80,900,53.00,6.375299e-14,0.725671,
80,900,54.00,6.495596e-14,0.730543,
80,900,55.00,6.615892e-14,0.735291,
80,900,56.00,6.736187e-14,0.739918,
80,900,57.00,6.856481e-14,0.744428,
80,900,58.00,6.976775e-14,0.748823,
80,900,59.00,7.097068e-14,0.753107,
80,900,60.00,7.217360e-14,0.757282,
80,900,61.00,7.337652e-14,0.761351,
80,900,62.00,7.457943e-14,0.765318,
80,900,63.00,7.578234e-14,0.769185,
80,900,64.00,7.698525e-14,0.772955,
80,900,65.00,7.818816e-14,0.776630,
80,900,66.00,7.939106e-14,0.780215,
80,900,67.00,8.059396e-14,0.783710,
80,900,68.00,8.179687e-14,0.787119,
80,900,69.00,8.299977e-14,0.790444,
80,900,70.00,8.420267e-14,0.793689,
80,900,71.00,8.540556e-14,0.796855,
80,900,72.00,8.660846e-14,0.799946,
80,900,73.00,8.781136e-14,0.802963,
80,900,74.00,8.901426e-14,0.805909,
80,900,75.00,9.021716e-14,0.808786,
80,900,76.00,9.142005e-14,0.811598,
80,900,77.00,9.262295e-14,0.814346,
80,900,78.00,9.382585e-14,0.817032,
80,900,79.00,9.502874e-14,0.819659,
80,900,80.00,9.623164e-14,0.822229,
80,900,81.00,9.743453e-14,0.824744,
80,900,82.00,9.863743e-14,0.827207,
80,900,83.00,9.984033e-14,0.829619,
80,900,84.00,1.010432e-13,0.831983,
80,900,85.00,1.022461e-13,0.834300,
80,900,86.00,1.034490e-13,0.836573,
80,900,87.00,1.046519e-13,0.838803,
80,900,88.00,1.058548e-13,0.840993,
80,900,89.00,1.070577e-13,0.843144,
80,900,90.00,1.082606e-13,0.845256,
80,900,91.00,1.094635e-13,0.847326,
80,900,92.00,1.106664e-13,0.849355,
80,900,93.00,1.118693e-13,0.851344,
80,900,94.00,1.130722e-13,0.853294,
80,900,95.00,1.142751e-13,0.855206,
80,900,96.00,1.154780e-13,0.857081,
80,900,97.00,1.166809e-13,0.858919,
80,900,98.00,1.178838e-13,0.860723,
80,900,99.00,1.190867e-13,0.862491,
80,900,100.00,1.202896e-13,0.864226,
80,900,101.00,1.214924e-13,0.865928,
80,900,102.00,1.226953e-13,0.867598,
80,900,103.00,1.238982e-13,0.869237,
80,900,104.00,1.251011e-13,0.870846,
80,900,105.00,1.263040e-13,0.872425,
80,900,106.00,1.275069e-13,0.873974,
80,900,107.00,1.287098e-13,0.875496,
80,900,108.00,1.299127e-13,0.876990,
80,900,109.00,1.311156e-13,0.878458,
80,900,110.00,1.323185e-13,0.879899,
80,900,111.00,1.335214e-13,0.881315,
80,900,112.00,1.347243e-13,0.882706,
80,900,113.00,1.359272e-13,0.884072,
80,900,114.00,1.371301e-13,0.885415,
80,900,115.00,1.383330e-13,0.886735,
80,900,116.00,1.395359e-13,0.888033,
80,900,117.00,1.407388e-13,0.889308,
80,900,118.00,1.419417e-13,0.890562,
80,900,119.00,1.431446e-13,0.891794,
80,900,120.00,1.443475e-13,0.893006,
