company_id,company_name,country,fintech_type,company_age,country_market_size,country_regulatory_strength,country_economic_stability,founding_year,initial_funding_stage,base_health_score,will_fail,failure_quarter
FT001,InstantTech,Kenya,Mobile Money,2.4,0.4,0.8,0.7,2018,Seed,0.838811988195308,False,
FT002,Digi,Kenya,Payment Gateway,1.2,0.4,0.8,0.7,2019,Seed,0.95,False,
FT003,M-Tech,Ghana,Remittance,3.8,0.3,0.65,0.6,2017,Bootstrapped,0.7894121865976486,False,
FT004,TrustBank,Zambia,Digital Banking,2.1,0.2,0.6,0.5,2018,Bootstrapped,0.8074830192821852,False,
FT005,SwiftAfrica,Nigeria,Digital Lending,2.7,1.0,0.7,0.6,2018,Seed,0.95,False,
FT006,CashCash,Ghana,Investment Platform,2.0,0.3,0.65,0.6,2018,Series A,0.645112400238414,False,
FT007,LinkDigital,Tanzania,Insurance Tech,2.8,0.25,0.6,0.6,2018,Series B,0.7220525039075749,False,
FT008,SmartPro,Kenya,Digital Banking,3.7,0.4,0.8,0.7,2017,Bootstrapped,0.95,False,
FT009,Connect,Ethiopia,Investment Platform,3.8,0.5,0.55,0.5,2017,Seed,0.7724746149894088,False,
FT010,PlusTech,Ghana,Insurance Tech,4.5,0.3,0.65,0.6,2016,Bootstrapped,0.942243982104664,False,
FT011,SwiftPro,Kenya,Digital Banking,1.4,0.4,0.8,0.7,2019,Series A,0.8966351196157514,False,
FT012,TechAfrica,South Africa,Investment Platform,1.9,0.8,0.9,0.75,2019,Bootstrapped,0.9144472137679874,False,
FT013,InstantTech,Kenya,Digital Lending,2.1,0.4,0.8,0.7,2018,Series A,0.95,False,
FT014,FinanceTech,Rwanda,Insurance Tech,11.5,0.15,0.75,0.7,2009,Bootstrapped,0.95,False,
FT015,M-Plus,Tanzania,Mobile Money,9.4,0.25,0.6,0.6,2011,Series A,0.95,False,
FT016,ZapHub,Rwanda,Insurance Tech,1.3,0.15,0.75,0.7,2019,Bootstrapped,0.9056761038948611,False,
FT017,PrimeDigital,Tanzania,Remittance,1.1,0.25,0.6,0.6,2019,Seed,0.6840914657134892,False,
FT018,SafeLink,Uganda,Digital Lending,6.3,0.2,0.6,0.55,2014,Series A,0.7116705786463112,False,
FT019,PrimeAfrica,Ethiopia,Digital Banking,2.0,0.5,0.55,0.5,2019,Seed,0.7694447695318434,False,
FT020,M-Pro,South Africa,Crypto Exchange,1.2,0.8,0.9,0.75,2019,Seed,0.9284428882628022,False,
FT021,Wave,South Africa,Digital Lending,5.4,0.8,0.9,0.75,2015,Series A,0.95,False,
FT022,Wallet,Rwanda,Crypto Exchange,5.4,0.15,0.75,0.7,2015,Bootstrapped,0.95,False,
FT023,Swift,Kenya,Insurance Tech,2.3,0.4,0.8,0.7,2018,Series A,0.6991846710452518,True,14.0
FT024,FlashDirect,South Africa,Crypto Exchange,2.1,0.8,0.9,0.75,2018,Series A,0.95,False,
FT025,EasyAfrica,Zambia,Digital Lending,4.9,0.2,0.6,0.5,2016,Bootstrapped,0.8934795419230428,False,
FT026,PrimeWallet,Zambia,Remittance,1.4,0.2,0.6,0.5,2019,Series B,0.7896561384328971,False,
FT027,Pay,Zambia,Mobile Money,5.3,0.2,0.6,0.5,2015,Seed,0.95,False,
FT028,EasyHub,Tanzania,Insurance Tech,3.2,0.25,0.6,0.6,2017,Seed,0.8688181251993319,False,
