Test_ID,Failure_Time_min_Exp,Failure_Temp_C_Exp,Failure_Time_min_Model,Failure_Temp_C_Model,Load_Level_MPa,Failure_Mode
STT-01,45.2,680,43.8,665,15.0,Spalling
STT-02,52.8,720,51.2,705,12.5,Spalling
STT-03,38.5,650,37.1,635,17.5,Spalling
STT-04,61.2,780,59.8,765,10.0,Spalling
STT-05,35.8,620,34.5,605,20.0,Spalling
STT-06,48.5,700,47.2,685,14.0,Spalling
STT-07,55.8,750,54.1,735,11.0,Spalling
STT-08,42.3,670,40.8,655,16.0,Spalling
STT-09,58.5,760,57.2,745,9.5,Spalling
STT-10,41.2,660,39.8,645,16.5,Spalling
