Temperature_C,Youngs_Modulus_GPa,Poissons_Ratio,CTE_1e-6_K,Density_kg_m3,Thermal_Conductivity_W_mK,Fracture_Toughness_MPa_m0.5,Creep_Exponent_n,Creep_Activation_Energy_kJ_mol
25,205.0,0.31,10.2,6050.0,2.7,1.2,1.0,500.0
100,198.49999999999997,0.31,10.400000000000002,6045.0,2.65,1.1500000000000001,1.05,495.0
200,190.0,0.30999999999999994,10.599999999999998,6038.0,2.58,1.08,1.15,487.99999999999994
300,180.5,0.32000000000000006,10.8,6029.999999999999,2.5,1.02,1.3,480.0
400,170.0,0.32,11.0,6021.999999999999,2.42,0.96,1.4999999999999998,470.00000000000006
500,158.5,0.32000000000000006,11.2,6013.0,2.35,0.91,1.75,458.0
600,146.0,0.33000000000000007,11.400000000000002,6004.0,2.28,0.86,2.0999999999999996,445.0
700,132.5,0.33000000000000007,11.6,5994.0,2.2199999999999998,0.82,2.5,430.0
750,125.35944982532914,0.3350256004480628,11.70000144256432,5989.062504479983,2.1893730167543572,0.8004410368593003,2.7361853691266456,422.60668409918094
800,118.0,0.3400000000000001,11.8,5984.0,2.16,0.78,3.0,415.00000000000006
800,118.0,0.3400000000000001,11.8,5984.0,2.16,0.78,3.0,415.00000000000006
750,125.35944982532914,0.3350256004480628,11.70000144256432,5989.062504479983,2.1893730167543572,0.8004410368593003,2.7361853691266456,422.60668409918094
700,132.5,0.33000000000000007,11.6,5994.0,2.2199999999999998,0.82,2.5,430.0
600,146.0,0.33000000000000007,11.400000000000002,6004.0,2.28,0.86,2.0999999999999996,445.0
400,170.0,0.32,11.0,6021.999999999999,2.42,0.96,1.4999999999999998,470.00000000000006
200,190.0,0.30999999999999994,10.599999999999998,6038.0,2.58,1.08,1.15,487.99999999999994
25,205.0,0.31,10.2,6050.0,2.7,1.2,1.0,500.0
