Temperature_C,Youngs_Modulus_GPa,Poissons_Ratio,CTE_1e-6_K,Density_kg_m3,Thermal_Conductivity_W_mK,Fracture_Toughness_MPa_m0.5,Creep_Exponent_n,Creep_Activation_Energy_kJ_mol
25,205.0,0.31,10.2,6050,2.7,1.2,1.0,500
100,198.5,0.31,10.4,6045,2.65,1.15,1.05,495
200,190.0,0.31,10.6,6038,2.58,1.08,1.15,488
300,180.5,0.32,10.8,6030,2.50,1.02,1.3,480
400,170.0,0.32,11.0,6022,2.42,0.96,1.5,470
500,158.5,0.32,11.2,6013,2.35,0.91,1.75,458
600,146.0,0.33,11.4,6004,2.28,0.86,2.1,445
700,132.5,0.33,11.6,5994,2.22,0.82,2.5,430
800,118.0,0.34,11.8,5984,2.16,0.78,3.0,415
900,103.0,0.34,12.0,5973,2.11,0.74,3.6,398
1000,88.5,0.35,12.2,5962,2.06,0.71,4.3,380
1100,75.0,0.35,12.4,5950,2.02,0.68,5.2,360
1200,63.5,0.36,12.6,5938,1.98,0.65,6.5,338
1300,54.0,0.36,12.8,5925,1.95,0.62,8.2,315
1400,46.5,0.37,13.0,5912,1.92,0.59,10.5,290
1500,40.0,0.37,13.2,5898,1.90,0.56,13.5,265
