FirmID,Size,Employees,FirmAge,Subsector,OwnershipType,FDI_Presence,FDI_Percentage,FDI_Origin,FDI_Type,FDI_Years,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,IoT_Adoption,RD_Spend_Percentage,Liquidity_Ratio,ROI,ROA,Market_Share,Export_Intensity,Operational_Efficiency,Revenue_Million_NGN,Assets_Million_NGN,Export_Value_Million_NGN,Tax_Incentives_Perception,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ISO_Certification,Export_Destination_Count,Local_Content_Percentage,Capacity_Utilization,NAFDAC_Compliance_Score,Quality_Certification,Training_Hours_Per_Employee,Female_Employment_Ratio,Youth_Employment_Ratio,ERP_System,Ecommerce_Adoption,Automation_Level,Local_Suppliers_Percentage,Supplier_Reliability_Score,Inventory_Turnover_Ratio,Survey_Year,Survey_Quarter,FDI_Inflow_Lagos_Million_USD,National_Corruption_Index,Regulatory_Quality_Index,Power_Supply_Hours,Logistics_Quality_Index,GDP_Growth_Rate,Inflation_Rate,Exchange_Rate,Interest_Rate,Ease_Doing_Business_Rank,Food_Sector_GDP_Billion_NGN,Manufacturing_Capacity_Utilization,Infrastructure_Index,Institutional_Quality_Index,Policy_Support_Received,Tax_Incentive_Beneficiary,Export_Grant_Recipient
FIRM_001,SME,112,29,Fruit and Vegetable Processing,Private Foreign,1,24.03950683025824,UK,M&A,4,3.77,2.74,3.26,3.3,0.713,1,4.96,1.85,22.4,4.04,0.83,27.29,68.6,488.19,733.56,133.23,4.4,4.3,2.4,4.0,3.78,0,4,73.4,52.7,84.7,ISO 9001,76.4,0.536,0.523,0,1,31.0,36.7,4.98,7.96,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_002,SME,184,35,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.15,1.62,1.64,3.02,0.438,0,2.35,2.32,16.96,16.83,1.78,2.94,63.6,224.9,349.21,6.61,4.1,3.4,5.0,4.3,4.2,1,14,49.1,45.7,67.4,None,18.8,0.267,0.206,1,0,32.1,80.9,4.54,9.21,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_003,SME,37,7,Oils and Fats,Joint Venture,1,12.478775661154922,Germany,M&A,5,4.07,4.11,3.14,4.0,0.222,0,3.92,1.75,26.55,13.53,8.08,22.23,76.0,191.46,356.33,42.56,4.1,3.7,4.0,6.0,4.45,1,6,55.9,52.3,79.8,None,66.6,0.403,0.549,0,1,41.5,74.4,4.27,11.17,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_004,SME,240,33,Dairy Products,Private Nigerian,0,0.0,None,None,0,3.21,2.96,2.7,2.76,0.217,1,0.3,1.37,23.86,7.85,8.02,10.55,68.1,483.1,737.85,50.97,4.4,1.5,3.5,3.9,3.32,1,4,59.0,73.5,100.0,None,23.6,0.329,0.421,0,1,5.2,74.2,2.97,7.76,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_005,SME,107,6,Meat Processing,Private Foreign,1,85.17722460303142,South Africa,M&A,6,3.57,3.0,1.96,3.44,0.537,1,3.61,1.46,30.85,6.58,5.45,5.9,84.8,417.75,802.82,24.65,3.0,1.9,3.8,4.2,3.22,0,2,78.5,83.1,92.8,None,38.3,0.505,0.54,0,0,52.8,50.5,4.93,11.52,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_006,SME,162,29,Grain Mill Products,Private Nigerian,0,0.0,None,None,0,3.73,3.6,3.29,2.33,0.145,0,1.87,1.9,21.98,12.86,8.74,1.41,48.6,159.8,393.89,2.25,3.6,5.1,3.2,5.6,4.38,0,11,76.8,83.9,90.4,HACCP,22.5,0.379,0.507,1,0,0.0,78.6,3.31,9.98,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_007,SME,46,24,Dairy Products,Private Foreign,1,98.22984253444412,South Africa,Greenfield,1,2.85,2.99,3.77,3.46,0.568,1,0.94,1.85,32.24,6.63,8.02,45.62,85.5,366.12,610.45,167.02,5.8,5.2,2.7,4.3,4.5,0,9,40.3,73.3,87.6,HACCP,15.0,0.309,0.22,0,1,16.6,67.0,5.0,6.63,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_008,SME,195,22,Other Food Products,Government-owned,1,11.514554642747505,Germany,Greenfield,5,4.59,3.38,3.64,2.64,0.201,1,2.89,1.72,23.07,18.06,14.65,26.85,87.6,171.87,304.32,46.15,3.7,3.0,5.8,3.3,3.95,1,13,45.2,53.2,81.8,None,54.7,0.357,0.463,0,0,41.3,38.7,3.03,4.96,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_009,SME,38,14,Beverages,Private Nigerian,0,0.0,None,None,0,2.62,3.46,4.39,2.6,0.069,0,2.22,1.24,5.31,17.0,7.77,8.09,76.7,474.75,1152.47,38.41,6.4,4.4,4.8,4.7,5.08,0,0,65.2,69.6,95.3,None,18.5,0.534,0.562,1,1,29.2,33.9,3.0,6.55,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,1
FIRM_010,SME,163,10,Other Food Products,Private Nigerian,1,29.34546071744284,USA,M&A,10,3.81,3.25,1.43,4.23,0.491,1,3.79,1.02,13.0,15.22,13.07,29.22,84.2,382.96,578.16,111.9,3.2,4.8,1.0,1.0,2.5,1,2,61.4,45.5,84.2,None,16.4,0.278,0.58,0,0,27.7,46.1,5.0,6.63,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_011,SME,132,21,Sugar and Confectionery,Mixed Ownership,0,0.0,None,None,0,4.27,3.04,2.77,2.95,0.385,0,0.56,1.47,22.84,5.2,7.94,3.5,77.7,446.16,672.67,15.62,4.8,4.2,4.7,5.8,4.88,0,11,70.7,64.1,75.5,None,8.9,0.347,0.205,0,1,44.1,62.1,4.12,11.7,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_012,SME,200,25,Fruit and Vegetable Processing,Private Foreign,1,82.18983241240606,India,Joint Venture,15,3.55,3.89,3.58,3.43,0.464,0,3.63,1.57,22.82,15.29,13.57,2.36,73.7,329.06,513.53,7.77,5.7,3.8,1.6,5.3,4.1,1,8,54.3,65.4,66.9,ISO 9001,29.6,0.314,0.441,1,1,65.3,80.6,2.12,4.66,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_013,SME,39,5,Fish Processing,Private Foreign,1,53.23330736797192,Germany,Greenfield,5,3.42,4.04,1.92,3.04,0.184,0,4.16,2.5,32.41,14.73,11.65,49.13,69.6,252.74,345.72,124.17,5.2,4.2,4.2,4.9,4.62,0,11,54.8,46.0,73.8,None,43.3,0.483,0.323,0,0,31.6,53.1,5.0,10.28,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_014,SME,151,2,Bakery Products,Mixed Ownership,0,0.0,None,None,0,3.04,2.94,3.36,4.13,0.086,0,1.37,1.57,23.21,7.47,8.09,10.46,62.7,428.94,943.49,44.87,6.2,2.0,5.2,4.4,4.45,0,14,47.1,50.8,71.3,HACCP,9.9,0.406,0.273,0,0,55.8,39.5,3.24,5.54,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
