country,year,date,new_fintech_licenses,total_fintech_companies,hhi_index,market_concentration,top5_market_share,fintech_investment_millions_usd,partnerships_mergers,regulatory_changes,digital_adoption_rate,market_development_level
Nigeria,2020,2020-10-12,9,61,703.2595328360612,Low,0.41984452135481154,26.114647913923502,1,1,0.32544905036837923,0.4554517826484695
Nigeria,2021,2021-10-12,3,35,392.37857606982493,Low,0.37082507855451813,226.3106681294631,1,0,0.2126280499719109,0.4554517826484695
Nigeria,2022,2022-10-12,1,83,374.20813544924977,Low,0.3240467769689999,169.1307256426452,3,1,0.11879048147483559,0.4554517826484695
Nigeria,2023,2023-10-12,4,73,577.9028847743701,Low,0.35464009963006793,53.75694724775744,2,1,0.13232959744147088,0.4554517826484695
Nigeria,2024,2024-10-11,6,39,562.4008490198702,Low,0.4291138913798261,33.86664150466532,1,0,0.25067040333027135,0.4554517826484695
Kenya,2020,2020-10-12,2,35,627.908142538112,Low,0.5048554860387626,235.29908477283885,6,1,0.3565163233959175,0.6077486340098999
Kenya,2021,2021-10-12,1,112,637.9136374743654,Low,0.5423228865202542,35.404702684858435,1,1,0.33435696789947295,0.6077486340098999
Kenya,2022,2022-10-12,10,38,1019.7872097544545,Low,0.5613217078442967,229.3465083222131,11,0,0.2036467895582762,0.6077486340098999
Kenya,2023,2023-10-12,5,68,746.7368972951109,Low,0.531184454772401,290.0867810754564,1,0,0.292291205777745,0.6077486340098999
Kenya,2024,2024-10-11,5,45,714.2558140904332,Low,0.47614467250643344,100.28496239392565,7,0,0.41717517386858016,0.6077486340098999
South Africa,2020,2020-10-12,2,15,142.14349222546622,Low,0.18895629583143927,132.6423459758631,3,0,0.19459908999545067,0.3072884620868232
South Africa,2021,2021-10-12,4,42,334.9370633389368,Low,0.2610034992929252,119.01092364277079,0,0,0.10403598487057318,0.3072884620868232
South Africa,2022,2022-10-12,3,12,257.0988988809569,Low,0.2822220369862129,62.08233667173542,1,0,0.10499603608463653,0.3072884620868232
