firm_id,firm_size,survey_date,years_operation,employees_cat,revenue_cat,ownership_type,has_fdi,fdi_type,years_fdi,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yr,innovation_iot,innovation_automation,innovation_quality_mgmt,innovation_other,skilled_workforce_pct,training_hours_annual,modern_equipment,machinery_age_years,credit_access,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_permit_ease,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,knowledge_absorption,task_performance,innovation_score,government_policy,firm_resources,overall_performance
SME001,SME,2024-06-26,7,1-50,<50M,Local,1,Joint venture,4.0,4,4,4,5,4,4,4,4,3.4,2,0,0,1,0,75.4,43,1,2,Easy,19.7,5,4,4,5,16.1,8.0,16.2,92.2,4.1,4.25,4.0,0.03741127288366691,4.5,0.7860751790941377,0.21541096266285187
SME002,SME,2024-02-12,22,1-50,<50M,Local,0,,,2,2,2,2,3,3,3,4,1.8,5,0,0,1,0,40.4,29,0,8,Moderate,2.0,2,3,4,4,12.7,1.4,0.0,72.2,1.6,2.0,3.25,0.10860038700140437,3.25,-0.8545316162048056,-0.8599487000643407
SME003,SME,2024-01-21,13,1-50,<50M,Local,0,,,3,3,2,2,3,3,4,3,1.0,2,1,0,0,0,37.7,5,1,15,Easy,8.0,5,6,5,5,14.3,-1.5,15.6,79.3,3.1,2.5,3.25,-0.6697599029967389,5.25,-0.6960978235297018,-0.5365167688623811
SME004,SME,2024-03-25,10,51-250,<50M,Foreign-owned,1,Equity,2.0,4,3,3,3,3,3,3,2,1.4,4,1,1,1,1,78.8,51,1,11,Easy,26.6,3,3,3,1,10.7,3.3,16.6,80.8,2.5,3.25,2.75,0.42580698919935117,2.5,0.6459094078050998,-0.43729351290105617
SME005,SME,2024-03-17,4,51-250,<50M,Local,0,,,2,2,2,2,4,4,4,4,2.4,4,0,0,0,0,26.4,50,1,1,Difficult,5.5,6,6,6,7,7.0,5.7,0.0,82.9,0.1,2.0,4.0,-0.10080144717879896,6.25,-0.33914118404532456,-0.8171621759415263
SME006,SME,2024-03-12,4,51-250,50M-500M,Joint venture,0,,,2,2,1,2,3,3,4,3,0.0,5,0,0,0,0,28.1,21,0,18,Moderate,10.2,3,3,3,5,23.1,6.3,19.0,62.2,0.2,1.75,3.25,-0.6270937681576465,3.5,-1.4712071496066363,-0.18740890793942716
SME007,SME,2024-02-19,3,1-50,<50M,Joint venture,1,Joint venture,2.0,5,4,4,3,3,3,4,3,0.8,3,0,0,1,0,38.6,27,0,8,Moderate,8.6,3,5,5,4,11.7,12.5,29.2,86.8,0.1,4.0,3.25,-0.5478119794185479,4.25,-0.9074588866783546,0.14964979416490123
SME008,SME,2024-02-10,18,1-50,<50M,Local,0,,,2,2,2,2,4,4,4,4,0.7,1,0,1,0,0,44.0,54,1,7,Difficult,26.3,4,2,2,3,12.8,5.2,0.0,87.9,6.1,2.0,4.0,-0.9390351548833479,2.75,-0.2042792973670726,-0.20057578788084784
SME009,SME,2024-06-02,10,51-250,50M-500M,Local,0,,,2,2,3,3,4,4,3,4,2.7,2,1,0,0,0,51.5,5,0,12,Easy,25.5,2,4,4,5,8.8,3.0,0.4,90.6,3.5,2.5,3.75,-0.16884698674811802,3.75,-0.8671959555966234,-0.5718562936920807
SME010,SME,2024-02-06,13,1-50,50M-500M,Local,1,Joint venture,4.0,5,5,4,5,4,4,3,4,2.5,4,0,0,1,1,66.1,35,1,1,Moderate,9.9,4,2,2,3,2.5,3.7,5.7,98.0,1.6,4.75,3.75,0.33929556498037766,2.75,0.34266116111374345,-0.7127758680400467
