Temperature_K,CTE_Difference_per_K,Uncertainty_CTE_Difference_per_K
300.0,4.000000000000001e-06,4.800000000000001e-07
350.0,4.095000000000002e-06,4.914000000000003e-07
400.0,4.189999999999999e-06,5.027999999999999e-07
450.0,4.2850000000000005e-06,5.142000000000001e-07
500.0,4.38e-06,5.256e-07
550.0,4.475000000000002e-06,5.370000000000002e-07
600.0,4.57e-06,5.484e-07
650.0,4.665000000000002e-06,5.598000000000002e-07
700.0,4.76e-06,5.712e-07
750.0,4.855000000000002e-06,5.826000000000001e-07
800.0,4.950000000000002e-06,5.940000000000002e-07
850.0,5.045000000000002e-06,6.054000000000002e-07
900.0,5.140000000000002e-06,6.168000000000002e-07
950.0,5.235e-06,6.282e-07
1000.0,5.3300000000000015e-06,6.396000000000002e-07
1050.0,5.425e-06,6.51e-07
1100.0,5.52e-06,6.623999999999999e-07
1150.0,5.615e-06,6.737999999999999e-07
1200.0,5.7099999999999995e-06,6.851999999999999e-07
