mix_id,rubber_replacement,specimen_id,oven_dry_density,ssd_density,porosity,ultrasonic_pulse_velocity,water_absorption,void_content
Mix_0pct_Rubber,0,1,2300.109302673876,2349.047798475448,11.745238992377239,4404.464622141465,3.721909714073114,8.774634053429336
Mix_0pct_Rubber,0,2,2284.651401753745,2333.261006046378,11.66630503023189,4374.864386336959,3.4702373219691,4.758732659930928
Mix_0pct_Rubber,0,3,2277.7806712859324,2326.244089823931,11.631220449119656,4361.707668419871,3.37371592430342,6.7522168180351505
Mix_0pct_Rubber,0,4,2465.0849969271803,2517.5336138830776,12.58766806941539,4720.375526030771,2.7849293110196838,7.5599555133030165
Mix_0pct_Rubber,0,5,2359.217210698669,2409.4133215645984,12.047066607822991,4517.649977933622,4.220636644533058,6.564137848820561
Mix_0pct_Rubber,0,6,2432.0030445269244,2483.747790155157,12.418738950775785,4657.027106540919,3.5051165305097935,7.018491348952049
Mix_5pct_Rubber,5,1,2025.1915506952264,2068.280732624912,21.29112518878586,2737.4303814153245,3.599529847786735,7.399783122841205
Mix_5pct_Rubber,5,2,2001.6828899430268,2044.2718876013892,21.04397531354371,2705.6539688841917,3.30734320156912,8.113517345251248
Mix_5pct_Rubber,5,3,2037.1781806706738,2080.522397280688,21.41714232494826,2753.6325846362047,4.2930084080726765,6.7621845011731505
Mix_5pct_Rubber,5,4,2125.3220249762767,2170.5416425289636,22.34381102603345,2872.7757033471576,2.523956100238749,7.848214904964417
Mix_5pct_Rubber,5,5,2032.7549085985884,2076.0050130368563,21.370639840085285,2747.653693725251,3.6404959338675162,7.377300480179406
Mix_5pct_Rubber,5,6,1985.0282741473402,2027.2629182781347,20.86888298227492,2683.1420977210605,3.253499532670584,7.410635243055788
Mix_10pct_Rubber,10,1,1686.9278634879875,1722.8199456898594,30.76464188731892,922.9392566195673,3.6785077429825237,7.307090404739346
Mix_10pct_Rubber,10,2,1689.395253852631,1725.339833721836,30.809639887889926,924.2891966366975,3.6536497604383045,8.81286211883896
Mix_10pct_Rubber,10,3,1676.0721833489304,1711.73329363295,30.566665957731253,916.9999787319373,3.085502494538964,7.439818959803031
Mix_10pct_Rubber,10,4,1681.8789394128328,1717.6635976982122,30.672564244610932,920.1769273383278,3.8051851327167325,7.979098406035852
Mix_10pct_Rubber,10,5,1650.7901063662885,1685.9133001187627,30.105594644977906,903.167839349337,4.138832447894212,7.40842861116417
Mix_10pct_Rubber,10,6,1671.9992557607416,1707.57370801097,30.492387643053036,914.7716292915909,3.398903673783053,7.782318796772779
Mix_15pct_Rubber,15,1,1335.1050724358033,1363.5115633386927,40.285568916825014,-929.6669750036539,3.912708174494015,8.813509636000639
Mix_15pct_Rubber,15,2,1343.119940747409,1371.6969607633114,40.52741020437056,-935.2479277931666,3.5105019208163797,8.681952971294963
Mix_15pct_Rubber,15,3,1280.4694065130889,1307.7134364388992,38.63698789478566,-891.6227975719765,3.662083176244221,7.869856945632315
Mix_15pct_Rubber,15,4,1296.2610185425926,1323.8410402137115,39.11348527904148,-902.618891054803,3.7975785127184567,7.181779316766527
Mix_15pct_Rubber,15,5,1373.6323166147038,1402.8585361171442,41.44809311255199,-956.4944564435071,2.996991309250149,6.785811387212268
Mix_15pct_Rubber,15,6,1337.405749119965,1365.8611905906027,40.35498972199508,-931.2689935845017,3.895831346981468,8.624119817052154
