material,temp_range,CTE_1e-6_K-1,uncertainty,reference
8YSZ_electrolyte,25-100,10.0,0.2,Hayashi1999
8YSZ_electrolyte,100-200,10.2,0.2,Hayashi1999
8YSZ_electrolyte,200-300,10.3,0.2,Hayashi1999
8YSZ_electrolyte,300-400,10.4,0.2,Kisi2008
8YSZ_electrolyte,400-500,10.5,0.2,Kisi2008
8YSZ_electrolyte,500-600,10.6,0.2,Kisi2008
8YSZ_electrolyte,600-700,10.7,0.2,Mori2009
8YSZ_electrolyte,700-800,10.8,0.2,Mori2009
8YSZ_electrolyte,800-900,10.9,0.3,Mori2009
8YSZ_electrolyte,900-1000,11.0,0.3,Atkinson1997
8YSZ_electrolyte,1000-1100,11.2,0.3,Atkinson1997
8YSZ_electrolyte,1100-1200,11.3,0.4,Atkinson1997
Ni_metal,25-100,13.3,0.3,Touloukian1975
Ni_metal,100-200,13.5,0.3,Touloukian1975
Ni_metal,200-400,13.8,0.3,Touloukian1975
Ni_metal,400-600,14.2,0.3,Touloukian1975
Ni_metal,600-800,14.8,0.4,Touloukian1975
Ni_metal,800-1000,15.5,0.4,Touloukian1975
Ni_YSZ_cermet,25-200,12.3,0.4,Atkinson2007
Ni_YSZ_cermet,200-400,12.7,0.4,Atkinson2007
Ni_YSZ_cermet,400-600,13.0,0.4,Laurencin2008
Ni_YSZ_cermet,600-800,13.3,0.4,Laurencin2008
Ni_YSZ_cermet,800-1000,13.6,0.5,Nakajo2012
Ni_YSZ_cermet,1000-1200,13.9,0.5,Nakajo2012
LSM_YSZ_cathode,25-200,11.2,0.3,Yakabe2001
LSM_YSZ_cathode,200-400,11.4,0.3,Yakabe2001
LSM_YSZ_cathode,400-600,11.6,0.3,Malzbender2004
LSM_YSZ_cathode,600-800,11.9,0.3,Malzbender2004
LSM_YSZ_cathode,800-1000,12.2,0.4,Malzbender2004
NiO,25-400,14.5,0.5,Monceau2004
NiO,400-800,15.2,0.5,Monceau2004
NiO,800-1000,16.0,0.6,Monceau2004
