Sample_ID,Time_min,Temperature_C,Heating_Rate_C_min,Cooling_Rate_C_min,Pressure_MPa,Atmosphere
S001,0,25,0,0,0,Air
S001,5,100,15,0,0,Air
S001,10,200,20,0,0,Air
S001,15,400,20,0,0,Air
S001,20,600,20,0,0,Air
S001,25,800,20,0,0,Air
S001,30,1000,20,0,0,Air
S001,35,1200,20,0,0,Air
S001,40,1200,0,0,0,Air
S001,45,1200,0,0,0,Air
S001,50,1000,0,5,0,Air
S001,55,800,0,5,0,Air
S001,60,600,0,5,0,Air
S001,65,400,0,5,0,Air
S001,70,200,0,5,0,Air
S001,75,25,0,5,0,Air
S002,0,25,0,0,0,Air
S002,5,100,15,0,0,Air
S002,10,200,20,0,0,Air
S002,15,400,20,0,0,Air
S002,20,600,20,0,0,Air
S002,25,800,20,0,0,Air
S002,30,1000,20,0,0,Air
S002,35,1200,20,0,0,Air
S002,40,1250,10,0,0,Air
S002,45,1250,0,0,0,Air
S002,50,1250,0,0,0,Air
S002,55,1250,0,0,0,Air
S002,60,1000,0,3,0,Air
S002,65,800,0,3,0,Air
S002,70,600,0,3,0,Air
S002,75,400,0,3,0,Air
S002,80,200,0,3,0,Air
S002,85,25,0,3,0,Air
