Temperature_C,Concrete_Type,Thermal_Conductivity_W_mK,Specific_Heat_J_kgK,Density_kg_m3,Source
20,Control_Concrete,1.75,900,2400,Literature
20,Rubberized_5%,1.45,950,2350,Literature
20,Rubberized_10%,1.25,1000,2300,Literature
20,Rubberized_15%,1.10,1050,2250,Literature
20,Rubberized_20%,0.95,1100,2200,Literature
100,Control_Concrete,1.65,950,2380,Literature
100,Rubberized_5%,1.35,1000,2330,Literature
100,Rubberized_10%,1.15,1050,2280,Literature
100,Rubberized_15%,1.00,1100,2230,Literature
100,Rubberized_20%,0.85,1150,2180,Literature
200,Control_Concrete,1.55,1000,2360,Literature
200,Rubberized_5%,1.25,1050,2310,Literature
200,Rubberized_10%,1.05,1100,2260,Literature
200,Rubberized_15%,0.90,1150,2210,Literature
200,Rubberized_20%,0.75,1200,2160,Literature
300,Control_Concrete,1.45,1050,2340,Literature
300,Rubberized_5%,1.15,1100,2290,Literature
300,Rubberized_10%,0.95,1150,2240,Literature
300,Rubberized_15%,0.80,1200,2190,Literature
300,Rubberized_20%,0.65,1250,2140,Literature
400,Control_Concrete,1.35,1100,2320,Literature
400,Rubberized_5%,1.05,1150,2270,Literature
400,Rubberized_10%,0.85,1200,2220,Literature
400,Rubberized_15%,0.70,1250,2170,Literature
400,Rubberized_20%,0.55,1300,2120,Literature
500,Control_Concrete,1.25,1150,2300,Literature
500,Rubberized_5%,0.95,1200,2250,Literature
500,Rubberized_10%,0.75,1250,2200,Literature
500,Rubberized_15%,0.60,1300,2150,Literature
500,Rubberized_20%,0.45,1350,2100,Literature
600,Control_Concrete,1.15,1200,2280,Literature
600,Rubberized_5%,0.85,1250,2230,Literature
600,Rubberized_10%,0.65,1300,2180,Literature
600,Rubberized_15%,0.50,1350,2130,Literature
600,Rubberized_20%,0.35,1400,2080,Literature
700,Control_Concrete,1.05,1250,2260,Literature
700,Rubberized_5%,0.75,1300,2210,Literature
700,Rubberized_10%,0.55,1350,2160,Literature
700,Rubberized_15%,0.40,1400,2110,Literature
700,Rubberized_20%,0.25,1450,2060,Literature
800,Control_Concrete,0.95,1300,2240,Literature
800,Rubberized_5%,0.65,1350,2190,Literature
800,Rubberized_10%,0.45,1400,2140,Literature
800,Rubberized_15%,0.30,1450,2090,Literature
800,Rubberized_20%,0.15,1500,2040,Literature
900,Control_Concrete,0.85,1350,2220,Literature
900,Rubberized_5%,0.55,1400,2170,Literature
900,Rubberized_10%,0.35,1450,2120,Literature
900,Rubberized_15%,0.20,1500,2070,Literature
900,Rubberized_20%,0.10,1550,2020,Literature
1000,Control_Concrete,0.75,1400,2200,Literature
1000,Rubberized_5%,0.45,1450,2150,Literature
1000,Rubberized_10%,0.25,1500,2100,Literature
1000,Rubberized_15%,0.15,1550,2050,Literature
1000,Rubberized_20%,0.08,1600,2000,Literature
