pair_id,temperature_C,rho_assumed,Gc_YSZ_GDC_J_per_m2,Gc_GDC_LSCF_J_per_m2
COR_00001,25,0.5,2.274861,1.091549
COR_00002,25,0.5,3.044772,1.12348
COR_00003,25,0.5,2.711544,1.105395
COR_00004,25,0.5,2.358811,1.349567
COR_00005,25,0.5,1.985985,1.1009
COR_00006,25,0.5,2.172475,0.959053
COR_00007,25,0.5,2.803367,1.277565
COR_00008,25,0.5,2.492464,1.059952
COR_00009,25,0.5,2.418967,1.121983
COR_00010,25,0.5,2.09852,0.840045
COR_00011,25,0.5,1.920221,0.909871
COR_00012,25,0.5,1.961198,0.980576
COR_00013,25,0.5,2.413566,1.071514
COR_00014,25,0.5,1.751774,0.806231
COR_00015,25,0.5,2.396232,1.152467
COR_00016,25,0.5,2.480378,0.993057
COR_00017,25,0.5,2.121087,0.702975
COR_00018,25,0.5,1.817236,0.944573
COR_00019,25,0.5,2.118291,0.968131
COR_00020,25,0.5,2.399121,1.13354
COR_00021,25,0.5,2.893332,1.342864
COR_00022,25,0.5,2.612207,1.03314
COR_00023,25,0.5,2.045798,0.951459
COR_00024,25,0.5,2.639399,1.136638
COR_00025,25,0.5,1.96898,0.932437
COR_00026,25,0.5,1.574648,0.652094
COR_00027,25,0.5,1.784601,0.339505
COR_00028,25,0.5,1.708771,0.816114
COR_00029,25,0.5,1.772743,0.940363
COR_00030,25,0.5,1.506074,0.673568
COR_00031,25,0.5,2.354288,1.012578
COR_00032,25,0.5,2.438184,0.966317
COR_00033,25,0.5,2.22811,0.992215
COR_00034,25,0.5,2.570042,0.964821
COR_00035,25,0.5,2.047164,0.990643
COR_00036,25,0.5,1.778923,0.603413
COR_00037,25,0.5,1.679367,0.846884
COR_00038,25,0.5,2.612561,1.397652
COR_00039,25,0.5,2.193932,0.7864
COR_00040,25,0.5,1.721669,0.945607
COR_00041,25,0.5,2.799201,0.643493
COR_00042,25,0.5,1.880223,0.959981
COR_00043,25,0.5,1.979685,1.057241
COR_00044,25,0.5,2.125558,0.989462
COR_00045,25,0.5,2.643569,0.999373
COR_00046,25,0.5,2.461649,1.171201
COR_00047,25,0.5,2.549691,1.031787
COR_00048,25,0.5,2.35719,1.133596
COR_00049,25,0.5,3.202993,1.601458
COR_00050,25,0.5,2.453913,1.056443
COR_00051,25,0.5,1.999666,0.846655
COR_00052,25,0.5,1.710938,0.93287
COR_00053,25,0.5,1.466829,1.017523
COR_00054,25,0.5,3.283442,1.609888
COR_00055,25,0.5,2.195218,0.845079
COR_00056,25,0.5,2.28662,0.628326
COR_00057,25,0.5,2.087158,0.72787
COR_00058,25,0.5,1.938032,0.856028
COR_00059,25,0.5,2.058127,0.895893
COR_00060,25,0.5,1.852237,0.901528
COR_00061,25,0.5,2.097114,1.06609
COR_00062,25,0.5,2.136276,0.950266
COR_00063,25,0.5,2.384437,1.001448
COR_00064,25,0.5,2.202381,0.911826
COR_00065,25,0.5,2.337068,0.834743
COR_00066,25,0.5,1.343875,0.810223
COR_00067,25,0.5,1.902015,0.875053
COR_00068,25,0.5,2.201509,1.108226
COR_00069,25,0.5,2.179527,1.124331
COR_00070,25,0.5,1.748029,0.983307
COR_00071,25,0.5,1.863463,0.756743
COR_00072,25,0.5,1.807738,0.976192
COR_00073,25,0.5,2.662765,0.824636
COR_00074,25,0.5,2.014289,1.054535
COR_00075,25,0.5,2.125838,0.991531
COR_00076,25,0.5,1.665717,0.801623
COR_00077,25,0.5,2.645718,1.337216
COR_00078,25,0.5,2.388527,1.008853
COR_00079,25,0.5,2.357555,1.010077
COR_00080,25,0.5,2.800669,1.110958
COR_00081,25,0.5,2.086064,1.084084
COR_00082,25,0.5,1.535774,0.891757
COR_00083,25,0.5,1.924872,1.012801
COR_00084,25,0.5,2.005667,1.062468
COR_00085,25,0.5,2.569141,0.862281
COR_00086,25,0.5,1.669603,0.898563
COR_00087,25,0.5,2.437036,1.100641
COR_00088,25,0.5,1.957513,1.053177
COR_00089,25,0.5,2.532612,1.366551
COR_00090,25,0.5,1.967978,1.023435
COR_00091,25,0.5,2.333846,0.983795
COR_00092,25,0.5,2.728576,1.157798
COR_00093,25,0.5,2.33718,0.948296
COR_00094,25,0.5,1.543297,0.748148
COR_00095,25,0.5,2.925627,1.131998
COR_00096,25,0.5,2.148292,0.647946
COR_00097,25,0.5,1.329765,0.812926
COR_00098,25,0.5,2.431717,0.986416
COR_00099,25,0.5,2.201506,1.085217
COR_00100,25,0.5,1.654901,1.026986
COR_00101,25,0.5,1.748807,0.81952
COR_00102,25,0.5,2.395412,1.018753
COR_00103,25,0.5,2.165544,1.20564
COR_00104,25,0.5,2.032126,1.039227
COR_00105,25,0.5,1.700063,0.932295
COR_00106,25,0.5,1.973641,1.014695
COR_00107,25,0.5,2.198147,1.216456
COR_00108,25,0.5,1.712373,0.777057
COR_00109,25,0.5,1.875646,1.039616
COR_00110,25,0.5,2.336683,0.752734
COR_00111,25,0.5,1.955819,1.145839
COR_00112,25,0.5,2.25829,0.997013
COR_00113,25,0.5,2.202041,0.621398
COR_00114,25,0.5,2.27773,0.900328
COR_00115,25,0.5,1.978026,0.751324
COR_00116,25,0.5,2.017354,0.803681
COR_00117,25,0.5,1.899316,1.170957
COR_00118,25,0.5,2.688502,0.990284
