,years_operation,employees,fdi_partnership,years_fdi,ka1_technical_manuals,ka2_staff_training,ka3_technology_adaptation,ka4_knowledge_commercialization,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3years,iot_adoption,automation_adoption,quality_management,skilled_workforce_pct,training_hours_annual,modern_equipment,machinery_age,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_permits_ease,roi_pct,roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_pct,knowledge_absorption,task_performance,innovation,government_policy,firm_performance,fdi_gov_interaction,ka_gov_interaction,tp_gov_interaction,innovation_gov_interaction
years_operation,1.0,0.4656358909925782,0.08255219079830835,0.23522036748248482,0.13394218031915203,0.10698393967920526,0.1164153644600038,0.13503658908014513,0.028797800057737778,0.022252627120596585,0.041558301517896745,0.03476027991452578,0.2036796662491797,0.22284167777831138,0.10115398354808926,0.11244965995639576,-0.007964124369846988,0.27279562891016335,0.2661039957737973,0.2103424523657376,-0.14546097113246156,0.16529327174454994,-0.07011936659041111,-0.0640370451002917,-0.08331095401925483,-0.07039960363314123,0.22502870796486593,0.2846241411590613,0.24604012565337025,0.154145994666096,0.27253422939591204,0.13515598635034565,0.03544999596451071,0.2233847806183869,-0.08081889484679818,0.2995370209501582,0.05537363341330706,0.04621473799080532,-0.018906501781154716,0.21746668880698997
employees,0.4656358909925782,1.0,0.164928575290283,0.21763861984248298,0.13300897683633847,0.13469866800560823,0.15007297369689598,0.21502526213394352,0.13627662624490927,0.10879671230058277,0.15160342502769295,0.09188980748954931,0.3762544869195049,0.35764442715671774,0.2912148867946397,0.23208372715966089,0.09092003095504099,0.40142384116665364,0.5046087596621476,0.29466851563834273,-0.2092481126427458,0.345050349776044,-0.07775052051828667,-0.03924156002398385,-0.07200669284229466,-0.04524795286917422,0.39461275139737007,0.4022048627748289,0.44507171370064535,0.28519555208805003,0.4643136912136487,0.17374484557192274,0.13656596810658453,0.4763707309482926,-0.06535861361761929,0.5045303902919979,0.12758516179404625,0.0644244873066601,0.051025239358467395,0.45047885644450086
fdi_partnership,0.08255219079830835,0.164928575290283,1.0,0.7278298996379657,0.3374300154984361,0.31499414949316,0.3074454686470973,0.3530188212432421,0.4506433931823722,0.40087649120092766,0.4048970179582684,0.4087545083023209,0.6185730012203364,0.5674743027803107,0.26137344519263356,0.3260767110737193,0.15758061537790474,0.6856513019123027,0.7811821947965569,0.30008236917833303,-0.21122896683323797,0.441224388746388,0.1806983104094282,0.25484063793718403,0.19190320564783153,0.25100517207756623,0.6388525204525232,0.6555083537525109,0.7864748113936303,0.568926863698204,0.49417888834498147,0.36071292246384884,0.4656954973866431,0.6824739035935433,0.24852975021037016,0.7965085112667593,0.9366780515099244,0.41655668925559425,0.4824674904618595,0.6614091835825466
years_fdi,0.23522036748248482,0.21763861984248298,0.7278298996379657,1.0,0.27974480131979246,0.23155602872569242,0.2710832822735713,0.2578314135751436,0.3474595841244044,0.3124740149814303,0.32101516929109075,0.3180471828731573,0.4617553239021034,0.4876419400089387,0.2128454145208155,0.2603595942027145,0.13779138565161356,0.5521727527293213,0.5818463716325112,0.2946490612585854,-0.19855907844081166,0.3087583508154587,0.1181920188019018,0.11313127594501879,0.06120188628861431,0.10488556221801036,0.5067774907714294,0.5335531529785149,0.6327124301378156,0.4408429223553743,0.42012569416550954,0.2856248376325105,0.36337022539986585,0.5514641436215708,0.11274962442685901,0.6419631573560313,0.649233271580892,0.2753443560073339,0.3209098778016682,0.5287782829744935
ka1_technical_manuals,0.13394218031915203,0.13300897683633847,0.3374300154984361,0.27974480131979246,1.0,0.7604360347798769,0.8003578801271578,0.7572872313110853,0.39852117051156244,0.3904578009817584,0.4223008357555581,0.35031190955977903,0.21296835626921137,0.21534322208323536,0.09259354854418932,0.16551264807348087,-0.009809540167339368,0.30416098040238204,0.28858710516938046,0.21189859742303338,-0.12119658880985107,0.2298631180650469,0.03388668655000132,0.015453242320406697,0.04316710277060215,0.01461987775855836,0.5599162587579648,0.5748499837960934,0.2656634632296742,0.15027338935864734,0.23384847942366277,0.9116817976486744,0.4370339376049906,0.2392541345296476,0.029566651493830656,0.45217729837701154,0.2948450375592828,0.6835653165763091,0.3169468522563876,0.21571266843158737
ka2_staff_training,0.10698393967920526,0.13469866800560823,0.31499414949316,0.23155602872569242,0.7604360347798769,1.0,0.7589114917724412,0.7849415559856766,0.4242832143152529,0.4017660860355574,0.4119443519698013,0.37925992908363465,0.2077940990639466,0.1813577406481196,0.09579580155877428,0.21905313487476946,-0.00415854945178396,0.27815618503624234,0.27778463503331724,0.21422209969990252,-0.12860873752188828,0.24056782531682588,0.03873417822910457,0.02646643884511783,0.03500041947982269,0.013211221293943894,0.5046663400272745,0.5756880447714463,0.2601030097247837,0.16961310143585673,0.21309254692748159,0.9083596775051095,0.45237521796835173,0.24736031231722092,0.031572090829878226,0.4365936498473938,0.28258269191606844,0.688128755037393,0.33723989047972835,0.2295929725299866
ka3_technology_adaptation,0.1164153644600038,0.15007297369689598,0.3074454686470973,0.2710832822735713,0.8003578801271578,0.7589114917724412,1.0,0.7573992583371626,0.4127488762282469,0.384679630439067,0.3864169370346945,0.3376372263504138,0.1821591260236237,0.19577786995029306,0.09927968399359474,0.13126202710848484,0.012799450840326711,0.25061414305284563,0.265996600373053,0.21381915307955135,-0.13318985038794043,0.14775249506314514,0.020345722439192603,-0.0048766082159959106,0.07842713947742617,0.03193705551691507,0.4969318967536262,0.5565892629083281,0.2786606197582873,0.19315224715841683,0.24476922429770367,0.9118754956487968,0.4258971172683291,0.21962573448628495,0.03391459300851983,0.44851075530056356,0.2747708589659297,0.6799005408879588,0.31429179518244815,0.20049187737914254
ka4_knowledge_commercialization,0.13503658908014513,0.21502526213394352,0.3530188212432421,0.2578314135751436,0.7572872313110853,0.7849415559856766,0.7573992583371626,1.0,0.4097988622087284,0.3795834631186659,0.3858990687254453,0.363048221020695,0.228752001261123,0.19831218893521568,0.11811268636333878,0.21274560305659698,0.009364375702248807,0.29143726104549517,0.31784637866004717,0.17201496226590937,-0.134191869747638,0.2337135049979009,0.015072583826093227,0.024884653693237415,0.05781380256730248,0.013296302718740714,0.5329129731265229,0.5812882982816474,0.2988354929155726,0.1991395464093198,0.2555957257353012,0.9065529466432524,0.43013559917140776,0.2712107246533143,0.03059290605582054,0.47322796394283756,0.32024893621674244,0.6784048701494056,0.31166617052785367,0.25667237377153884
tp1_production_efficiency,0.028797800057737778,0.13627662624490927,0.4506433931823722,0.3474595841244044,0.39852117051156244,0.4242832143152529,0.4127488762282469,0.4097988622087284,1.0,0.7597335634007689,0.7312402094452857,0.7430609359453475,0.22961996111572697,0.30568455395539157,0.2103993964441575,0.26805037152857814,0.09137988365312429,0.3609221661167015,0.39932256647109654,0.24640477072087025,-0.1713204755043952,0.2073040905837922,0.029009820884142168,-0.001963018047367796,0.044273750463916135,0.033867006643742516,0.422941778084997,0.43802842367478184,0.342025267266665,0.272815025619776,0.23385897398272085,0.4519004505888178,0.9038198998335605,0.39055877128473315,0.028719869612590952,0.4331258997765532,0.3861218288696527,0.3327587724425837,0.6687939251008883,0.36645199718831123
tp2_quality_control,0.022252627120596585,0.10879671230058277,0.40087649120092766,0.3124740149814303,0.3904578009817584,0.4017660860355574,0.384679630439067,0.3795834631186659,0.7597335634007689,1.0,0.7246179862619055,0.7203148897752445,0.2213694762651001,0.23591047368079865,0.15631975202677567,0.22693244932003062,0.09568616462290726,0.3175289279810268,0.3669040126254949,0.1661831172908562,-0.10698199322581826,0.20785407004291573,0.02683681346673343,-0.03850878574576769,-0.005761745125455782,0.025908082109544255,0.35652935082639664,0.3896164508330667,0.2806118194782471,0.2232339662888444,0.25216488257439523,0.4278474568007025,0.8979855229398221,0.33091678263458846,0.001913163719346538,0.38060566242965543,0.32985198139461774,0.28872900201795076,0.6418601496762885,0.2961396594878348
