respondent_id,barrier_rigid_hierarchy,barrier_centralized_decision,barrier_departmental_silos,barrier_risk_aversion,barrier_nih_syndrome,barrier_resistance_external,barrier_financial_constraints,barrier_human_capital,barrier_tech_infrastructure,barrier_limited_awareness,barrier_knowledge_gaps,barrier_trust_deficit,barrier_weak_networks,barrier_poor_collaboration
SME_0001,6.707706066401896,5.417021492194327,5.0047012754757505,7.0,6.585851782681863,5.209699150391526,6.847179522690735,4.467476096472461,6.13771975494149,7.0,5.06014951506839,4.5523660713809155,4.417493333688327,3.583477051454895
SME_0002,3.9582857102467566,4.792441091550968,2.772762875067766,5.6156183339496035,6.382732608543977,4.001468201838388,7.0,6.0107920885275945,6.833638644186463,4.310598535377436,6.239977749773278,4.308066099604687,6.268297001003811,5.22339114173159
SME_0003,5.563901463981741,3.9068459338126633,3.4364092050404142,6.197228218253385,4.16198239493096,5.509526921309035,4.769575974185779,6.3481742126666685,4.34422435375464,5.762759925215429,5.988194027010602,4.7032281815704255,5.898431880501672,5.338574942333623
SME_0004,4.253389772568714,4.0905898475161715,2.0485866008256477,5.949650047299694,3.422236674365535,5.104878619385439,5.762896605525976,6.179142775438195,5.36774995056115,4.704662656383491,6.105057774717126,5.735058029084118,5.579387148619334,5.610047866751084
SME_0005,2.857313452151473,5.83246754798568,5.1962094322176835,4.383316871423503,4.807103431590959,4.756761983609605,5.77895289403844,5.633859966568535,7.0,6.198120073207395,3.6565588872254535,5.822069990306049,6.594719983442491,5.302851076895963
SME_0006,6.509176510223161,7.0,6.230822409939076,6.149308595641729,6.854106168901705,5.45937661640658,6.1715127389564595,5.448585764286268,7.0,4.417885600869599,7.0,6.1998641237403715,3.8208325902376705,5.777944080888848
SME_0007,2.1799681908180513,5.68805881851414,5.550800927885689,4.8076440443479465,5.248257235146699,6.949573177125314,5.444827966164256,4.2410924129434,7.0,7.0,5.104065239032632,6.211463035408356,6.609771098637057,3.8347704977001005
SME_0008,4.117632997558558,6.353961964470209,6.590518562321062,5.962880860174355,4.044222775797536,6.985767222869385,5.422126191969231,4.964862218828548,5.876571617938584,6.764992504857729,6.039373574207446,5.614865500361911,5.555946236141727,4.856569069236506
SME_0009,5.669767417422207,2.517483914536266,4.314410303209263,5.941321934916781,4.018783099656591,5.524955649592716,5.86597590111249,7.0,7.0,4.641033317058205,5.234078517276635,5.4260524343916074,4.758008628608453,5.353532479236565
SME_0010,4.090061517334892,4.056323131568721,5.509524591070349,6.329529584221811,4.434821088408009,6.084890973838859,5.481580043751202,5.853165238037981,6.702378413873702,5.159664922355544,5.900215003355248,4.983570356112429,5.064240099886283,4.832382739855557
SME_0011,4.104105984151714,5.10554842057264,2.6867962114771293,5.208846252857896,5.058149407956395,4.818202272255082,5.832652298716299,5.538235800139871,6.32738566989467,6.249420488959027,4.685258250466907,4.296799144610856,4.049546705308276,4.466636202446594
SME_0012,4.2776944186201895,4.1530043271827966,2.7150483364751374,4.943879172525812,5.317711944136766,5.4545324124191215,5.39831925220251,4.887002177856566,4.480631860267958,4.862272995550269,4.166728502390105,5.7731278132412,2.8569602096790665,4.332481425811799
SME_0013,5.2613288070300905,5.402217967954755,7.0,5.949800024567908,4.095134483789589,4.89498932820202,4.401378299880193,5.419400250703239,4.783638337299165,6.198468330672195,4.695505697944912,5.283234084204754,4.437330590314716,7.0
SME_0014,4.3145086806585065,7.0,5.458397290753747,5.882066727335387,5.5424797767810245,5.233177028037876,4.16509467858895,5.021116605849243,6.429673768302754,4.841323379831073,3.554291168516068,5.1475955494225305,7.0,6.420959230195136
SME_0015,4.625595188760762,6.046594204763895,3.923540873521533,3.6961284131732812,3.9906408142445353,6.519177645359018,5.653406226353626,5.056616020624982,5.170177984097632,7.0,6.88855480689827,7.0,4.809145747519938,5.184311835371224
SME_0016,3.180028940695051,6.924627868730102,3.1818865833516847,5.916775563762629,4.0832369668405875,4.452246490587434,5.296463812055269,4.992124739324182,5.206965026536123,4.542077446089908,6.316667302958338,4.39513720693748,5.56464971241664,6.683346897997225
