country,year,quarter,bank_npl_ratio,bank_z_score,bank_roa,domestic_credit_private_sector_gdp,regulatory_quality_wgi,financial_regulation_index,digital_lending_guidelines,open_banking_regulation,fintech_sandbox,cybersecurity_regulation,data_protection_law,digital_identity_framework,central_bank_digital_currency,regulatory_sandbox_participants,financial_inclusion_index,credit_bureau_coverage,deposit_insurance_coverage,capital_adequacy_ratio,loan_loss_provision_ratio,interest_rate_spread,liquidity_ratio,financial_stability_index
Nigeria,2020,Q1,6.2,8.4,1.8,12.3,-0.45,0.62,0,0,0,0,0,0,0,0,0.58,45.2,85.0,15.2,2.1,8.5,25.3,0.72
Nigeria,2020,Q2,6.8,7.9,1.6,12.1,-0.42,0.64,0,0,0,0,0,0,0,0,0.59,46.1,85.0,15.1,2.3,8.8,24.8,0.71
Nigeria,2020,Q3,7.1,7.5,1.4,11.8,-0.38,0.66,0,0,0,0,0,0,0,0,0.60,47.3,85.0,15.0,2.5,9.1,24.2,0.70
Nigeria,2020,Q4,7.5,7.2,1.2,11.5,-0.35,0.68,0,0,0,0,0,0,0,0,0.61,48.1,85.0,14.9,2.7,9.4,23.7,0.69
Nigeria,2021,Q1,8.2,6.8,1.0,11.2,-0.32,0.70,1,0,0,0,0,0,0,0,0.62,49.2,85.0,14.8,2.9,9.7,23.1,0.68
Nigeria,2021,Q2,8.8,6.5,0.8,10.9,-0.28,0.72,1,0,0,0,0,0,0,0,0.63,50.1,85.0,14.7,3.1,10.0,22.6,0.67
Nigeria,2021,Q3,9.1,6.2,0.6,10.6,-0.25,0.74,1,0,0,0,0,0,0,0,0.64,51.3,85.0,14.6,3.3,10.3,22.0,0.66
Nigeria,2021,Q4,9.5,5.9,0.4,10.3,-0.22,0.76,1,0,0,0,0,0,0,0,0.65,52.2,85.0,14.5,3.5,10.6,21.5,0.65
Nigeria,2022,Q1,10.1,5.6,0.2,10.0,-0.18,0.78,1,1,0,0,0,0,0,0,0.66,53.4,85.0,14.4,3.7,10.9,21.0,0.64
Nigeria,2022,Q2,10.6,5.3,0.0,9.7,-0.15,0.80,1,1,0,0,0,0,0,0,0.67,54.3,85.0,14.3,3.9,11.2,20.4,0.63
Nigeria,2022,Q3,11.0,5.0,-0.2,9.4,-0.12,0.82,1,1,0,0,0,0,0,0,0.68,55.5,85.0,14.2,4.1,11.5,19.9,0.62
Nigeria,2022,Q4,11.4,4.7,-0.4,9.1,-0.08,0.84,1,1,0,0,0,0,0,0,0.69,56.4,85.0,14.1,4.3,11.8,19.3,0.61
Nigeria,2023,Q1,12.0,4.4,-0.6,8.8,-0.05,0.86,1,1,1,0,0,0,0,0,0.70,57.6,85.0,14.0,4.5,12.1,18.8,0.60
Nigeria,2023,Q2,12.5,4.1,-0.8,8.5,-0.02,0.88,1,1,1,0,0,0,0,0,0.71,58.5,85.0,13.9,4.7,12.4,18.2,0.59
Nigeria,2023,Q3,13.0,3.8,-1.0,8.2,0.01,0.90,1,1,1,0,0,0,0,0,0.72,59.7,85.0,13.8,4.9,12.7,17.7,0.58
Nigeria,2023,Q4,13.5,3.5,-1.2,7.9,0.04,0.92,1,1,1,0,0,0,0,0,0.73,60.6,85.0,13.7,5.1,13.0,17.1,0.57
Nigeria,2024,Q1,14.1,3.2,-1.4,7.6,0.07,0.94,1,1,1,1,0,0,0,0,0.74,61.8,85.0,13.6,5.3,13.3,16.6,0.56
Nigeria,2024,Q2,14.6,2.9,-1.6,7.3,0.10,0.96,1,1,1,1,0,0,0,0,0.75,62.7,85.0,13.5,5.5,13.6,16.0,0.55
Kenya,2020,Q1,4.8,12.3,2.4,35.2,0.15,0.78,1,0,1,0,0,0,0,0,0.82,78.5,90.0,18.5,1.8,6.2,28.4,0.85
Kenya,2020,Q2,5.2,11.8,2.2,34.8,0.18,0.80,1,0,1,0,0,0,0,0,0.83,79.2,90.0,18.4,2.0,6.5,27.9,0.84
Kenya,2020,Q3,5.6,11.3,2.0,34.4,0.21,0.82,1,0,1,0,0,0,0,0,0.84,80.1,90.0,18.3,2.2,6.8,27.3,0.83
Kenya,2020,Q4,6.0,10.8,1.8,34.0,0.24,0.84,1,0,1,0,0,0,0,0,0.85,81.0,90.0,18.2,2.4,7.1,26.8,0.82
Kenya,2021,Q1,6.5,10.3,1.6,33.6,0.27,0.86,1,0,1,0,0,0,0,0,0.86,81.8,90.0,18.1,2.6,7.4,26.2,0.81
Kenya,2021,Q2,7.0,9.8,1.4,33.2,0.30,0.88,1,0,1,0,0,0,0,0,0.87,82.7,90.0,18.0,2.8,7.7,25.7,0.80
Kenya,2021,Q3,7.5,9.3,1.2,32.8,0.33,0.90,1,0,1,0,0,0,0,0,0.88,83.6,90.0,17.9,3.0,8.0,25.1,0.79
Kenya,2021,Q4,8.0,8.8,1.0,32.4,0.36,0.92,1,0,1,0,0,0,0,0,0.89,84.5,90.0,17.8,3.2,8.3,24.6,0.78
Kenya,2022,Q1,8.5,8.3,0.8,32.0,0.39,0.94,1,1,1,0,0,0,0,0,0.90,85.4,90.0,17.7,3.4,8.6,24.0,0.77
Kenya,2022,Q2,9.0,7.8,0.6,31.6,0.42,0.96,1,1,1,0,0,0,0,0,0.91,86.3,90.0,17.6,3.6,8.9,23.5,0.76
Kenya,2022,Q3,9.5,7.3,0.4,31.2,0.45,0.98,1,1,1,0,0,0,0,0,0.92,87.2,90.0,17.5,3.8,9.2,22.9,0.75
Kenya,2022,Q4,10.0,6.8,0.2,30.8,0.48,1.00,1,1,1,0,0,0,0,0,0.93,88.1,90.0,17.4,4.0,9.5,22.4,0.74
Kenya,2023,Q1,10.5,6.3,0.0,30.4,0.51,1.02,1,1,1,0,0,0,0,0,0.94,89.0,90.0,17.3,4.2,9.8,21.8,0.73
Kenya,2023,Q2,11.0,5.8,-0.2,30.0,0.54,1.04,1,1,1,0,0,0,0,0,0.95,89.9,90.0,17.2,4.4,10.1,21.3,0.72
Kenya,2023,Q3,11.5,5.3,-0.4,29.6,0.57,1.06,1,1,1,0,0,0,0,0,0.96,90.8,90.0,17.1,4.6,10.4,20.7,0.71
Kenya,2023,Q4,12.0,4.8,-0.6,29.2,0.60,1.08,1,1,1,0,0,0,0,0,0.97,91.7,90.0,17.0,4.8,10.7,20.2,0.70
Kenya,2024,Q1,12.5,4.3,-0.8,28.8,0.63,1.10,1,1,1,1,0,0,0,0,0.98,92.6,90.0,16.9,5.0,11.0,19.6,0.69
Kenya,2024,Q2,13.0,3.8,-1.0,28.4,0.66,1.12,1,1,1,1,0,0,0,0,0.99,93.5,90.0,16.8,5.2,11.3,19.1,0.68
South Africa,2020,Q1,3.2,15.6,3.2,145.8,0.72,0.88,1,1,1,1,1,1,1,0,0.89,95.2,100.0,20.5,1.2,4.8,32.1,0.92
South Africa,2020,Q2,3.5,15.1,3.0,144.2,0.75,0.90,1,1,1,1,1,1,1,0,0.90,95.8,100.0,20.4,1.4,5.1,31.6,0.91
South Africa,2020,Q3,3.8,14.6,2.8,142.6,0.78,0.92,1,1,1,1,1,1,1,0,0.91,96.4,100.0,20.3,1.6,5.4,31.0,0.90
South Africa,2020,Q4,4.1,14.1,2.6,141.0,0.81,0.94,1,1,1,1,1,1,1,0,0.92,97.0,100.0,20.2,1.8,5.7,30.5,0.89
South Africa,2021,Q1,4.5,13.6,2.4,139.4,0.84,0.96,1,1,1,1,1,1,1,0,0.93,97.6,100.0,20.1,2.0,6.0,29.9,0.88
South Africa,2021,Q2,4.9,13.1,2.2,137.8,0.87,0.98,1,1,1,1,1,1,1,0,0.94,98.2,100.0,20.0,2.2,6.3,29.4,0.87
South Africa,2021,Q3,5.3,12.6,2.0,136.2,0.90,1.00,1,1,1,1,1,1,1,0,0.95,98.8,100.0,19.9,2.4,6.6,28.8,0.86
South Africa,2021,Q4,5.7,12.1,1.8,134.6,0.93,1.02,1,1,1,1,1,1,1,0,0.96,99.4,100.0,19.8,2.6,6.9,28.3,0.85
South Africa,2022,Q1,6.1,11.6,1.6,133.0,0.96,1.04,1,1,1,1,1,1,1,0,0.97,100.0,100.0,19.7,2.8,7.2,27.7,0.84
South Africa,2022,Q2,6.5,11.1,1.4,131.4,0.99,1.06,1,1,1,1,1,1,1,0,0.98,100.0,100.0,19.6,3.0,7.5,27.2,0.83
South Africa,2022,Q3,6.9,10.6,1.2,129.8,1.02,1.08,1,1,1,1,1,1,1,0,0.99,100.0,100.0,19.5,3.2,7.8,26.6,0.82
South Africa,2022,Q4,7.3,10.1,1.0,128.2,1.05,1.10,1,1,1,1,1,1,1,0,1.00,100.0,100.0,19.4,3.4,8.1,26.1,0.81
South Africa,2023,Q1,7.7,9.6,0.8,126.6,1.08,1.12,1,1,1,1,1,1,1,0,1.01,100.0,100.0,19.3,3.6,8.4,25.5,0.80
South Africa,2023,Q2,8.1,9.1,0.6,125.0,1.11,1.14,1,1,1,1,1,1,1,0,1.02,100.0,100.0,19.2,3.8,8.7,25.0,0.79
South Africa,2023,Q3,8.5,8.6,0.4,123.4,1.14,1.16,1,1,1,1,1,1,1,0,1.03,100.0,100.0,19.1,4.0,9.0,24.4,0.78
South Africa,2023,Q4,8.9,8.1,0.2,121.8,1.17,1.18,1,1,1,1,1,1,1,0,1.04,100.0,100.0,19.0,4.2,9.3,23.9,0.77
South Africa,2024,Q1,9.3,7.6,0.0,120.2,1.20,1.20,1,1,1,1,1,1,1,1,1.05,100.0,100.0,18.9,4.4,9.6,23.3,0.76
South Africa,2024,Q2,9.7,7.1,-0.2,118.6,1.23,1.22,1,1,1,1,1,1,1,1,1.06,100.0,100.0,18.8,4.6,9.9,22.8,0.75
Ghana,2020,Q1,5.8,9.2,2.1,18.7,0.12,0.65,0,0,0,0,0,0,0,0,0.68,52.3,80.0,16.8,2.0,7.2,26.5,0.74
Ghana,2020,Q2,6.2,8.8,1.9,18.4,0.15,0.67,0,0,0,0,0,0,0,0,0.69,53.1,80.0,16.7,2.2,7.5,26.0,0.73
Ghana,2020,Q3,6.6,8.4,1.7,18.1,0.18,0.69,0,0,0,0,0,0,0,0,0.70,54.0,80.0,16.6,2.4,7.8,25.4,0.72
Ghana,2020,Q4,7.0,8.0,1.5,17.8,0.21,0.71,0,0,0,0,0,0,0,0,0.71,54.8,80.0,16.5,2.6,8.1,24.9,0.71
Ghana,2021,Q1,7.5,7.6,1.3,17.5,0.24,0.73,1,0,0,0,0,0,0,0,0.72,55.7,80.0,16.4,2.8,8.4,24.3,0.70
Ghana,2021,Q2,8.0,7.2,1.1,17.2,0.27,0.75,1,0,0,0,0,0,0,0,0.73,56.5,80.0,16.3,3.0,8.7,23.8,0.69
Ghana,2021,Q3,8.5,6.8,0.9,16.9,0.30,0.77,1,0,0,0,0,0,0,0,0.74,57.4,80.0,16.2,3.2,9.0,23.2,0.68
Ghana,2021,Q4,9.0,6.4,0.7,16.6,0.33,0.79,1,0,0,0,0,0,0,0,0.75,58.2,80.0,16.1,3.4,9.3,22.7,0.67
Ghana,2022,Q1,9.5,6.0,0.5,16.3,0.36,0.81,1,0,0,0,0,0,0,0,0.76,59.1,80.0,16.0,3.6,9.6,22.1,0.66
Ghana,2022,Q2,10.0,5.6,0.3,16.0,0.39,0.83,1,0,0,0,0,0,0,0,0.77,59.9,80.0,15.9,3.8,9.9,21.6,0.65
Ghana,2022,Q3,10.5,5.2,0.1,15.7,0.42,0.85,1,0,0,0,0,0,0,0,0.78,60.8,80.0,15.8,4.0,10.2,21.0,0.64
Ghana,2022,Q4,11.0,4.8,-0.1,15.4,0.45,0.87,1,0,0,0,0,0,0,0,0.79,61.6,80.0,15.7,4.2,10.5,20.5,0.63
Ghana,2023,Q1,11.5,4.4,-0.3,15.1,0.48,0.89,1,1,0,0,0,0,0,0,0.80,62.5,80.0,15.6,4.4,10.8,19.9,0.62
Ghana,2023,Q2,12.0,4.0,-0.5,14.8,0.51,0.91,1,1,0,0,0,0,0,0,0.81,63.3,80.0,15.5,4.6,11.1,19.4,0.61
Ghana,2023,Q3,12.5,3.6,-0.7,14.5,0.54,0.93,1,1,0,0,0,0,0,0,0.82,64.2,80.0,15.4,4.8,11.4,18.8,0.60
Ghana,2023,Q4,13.0,3.2,-0.9,14.2,0.57,0.95,1,1,0,0,0,0,0,0,0.83,65.0,80.0,15.3,5.0,11.7,18.3,0.59
Ghana,2024,Q1,13.5,2.8,-1.1,13.9,0.60,0.97,1,1,1,0,0,0,0,0,0.84,65.9,80.0,15.2,5.2,12.0,17.7,0.58
Ghana,2024,Q2,14.0,2.4,-1.3,13.6,0.63,0.99,1,1,1,0,0,0,0,0,0.85,66.7,80.0,15.1,5.4,12.3,17.2,0.57
Uganda,2020,Q1,4.5,10.8,2.6,12.4,0.08,0.58,0,0,0,0,0,0,0,0,0.62,48.7,75.0,14.5,1.8,6.8,24.2,0.71
Uganda,2020,Q2,4.9,10.3,2.4,12.1,0.11,0.60,0,0,0,0,0,0,0,0,0.63,49.5,75.0,14.4,2.0,7.1,23.7,0.70
Uganda,2020,Q3,5.3,9.8,2.2,11.8,0.14,0.62,0,0,0,0,0,0,0,0,0.64,50.4,75.0,14.3,2.2,7.4,23.1,0.69
