event_name,year,location,site_id,latitude,longitude,landslide_type,volume_m3,area_m2,max_depth_m,slope_angle_deg,clay_content_pct,liquid_limit_pct,plasticity_index,preconsolidation_stress_kPa,rainfall_intensity_mm_h,rainfall_duration_h,triggering_factor,fatalities,economic_loss_usd,data_source,reference
Vajont Dam Landslide,1963,Italy,1963_001,60.130040795810714,-10.863652837462723,Debris Flow,427398245.8772605,541875.8022259354,4.904128650077531,10.492713801443617,6.74721231376332,53.01261687279497,14.567122605794127,5.778295429284075,49.85306182190014,79.05832545982334,Snowmelt,9,426605.38308173884,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_002,64.86076847231465,56.85648341779165,Debris Flow,524277702.06342626,270352.3159611864,14.27455241118424,35.35819152725749,43.48504385458766,80.72609731887376,16.492407855433783,49.08187921811336,62.007915868815,35.596837638660816,Human Activity,4,447613.4228740721,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_003,61.367187424653835,-11.507031987611555,Translational,412370505.0851335,407704.2172439989,6.028523047119332,36.14500424118815,15.880435841849035,31.220471527057356,18.793602954607067,74.07252791532774,3.6279005664611317,33.72172826277097,Snowmelt,5,4354185.068453159,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_004,33.41726408942182,3.8567015662297024,Debris Flow,143502674.12428007,299278.7890437002,8.762540083941774,34.016526641847015,9.831229116330555,29.962832711142568,42.13710630457008,24.461465324340914,33.966170199518785,106.67069833821155,Snowmelt,4,1541466.3457328794,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_005,48.52690144636613,31.93640786990747,Debris Flow,327261210.6533726,167153.4979710699,16.20277210146394,30.22411625648376,55.73866211595014,49.108705681089226,47.10656151757583,37.87954169765779,17.68202722800354,31.28184305145643,Human Activity,2,740759.2075981662,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_006,20.674529779283173,116.94054086362434,Debris Flow,180740836.11759976,297424.90041751356,6.356356503125736,34.71796085877561,48.96841711856794,46.17670574406694,33.0322537165662,150.74074036949523,14.300317568548222,41.10390970604115,Snowmelt,6,175107.15209568426,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_007,49.066299818329156,-105.83316070730467,Translational,215677815.03993928,35374.39435257336,2.187849638262292,25.965136621570117,53.26523022538742,29.55235374941146,47.105059064532625,13.580130000726346,6.406038911134328,37.05570566411372,Human Activity,7,200587.13137686142,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_008,28.35605164565142,-120.91539343538504,Translational,610725236.7134249,108122.64817451924,2.1097341288841953,51.11608891943029,61.57217908095081,50.434961962963364,21.752787986881195,32.884348708234434,9.759485261942348,32.85568583378104,Human Activity,6,13216298.04584025,Published Case Studies,Landslide Database - Vajont Dam Landslide
Vajont Dam Landslide,1963,Italy,1963_009,37.53371162286216,29.166451966849564,Translational,265989435.55000073,221460.13663753602,4.294890231133781,46.8438615559332,47.85165767813743,47.74044142817489,-7.53743756350066,24.45487264158789,63.498673046028735,26.978524957303318,Snowmelt,7,469582.0786013048,Published Case Studies,Landslide Database - Vajont Dam Landslide
Oso Landslide,2014,"Washington, USA",2014_001,40.18150834508303,-136.8238142303417,Rotational,5446477.244274829,300810.8068800197,1.250575797441058,44.90676836621908,43.55908811481738,91.87816192610522,30.291089049364356,85.90814110840938,20.733508787555675,20.465249658145698,Snowmelt,9,1194577.3383457446,Published Case Studies,Landslide Database - Oso Landslide
Oso Landslide,2014,"Washington, USA",2014_002,67.99179627546653,124.35138468644726,Translational,19115887.423335083,409236.93123602675,2.6871876924808467,45.77281516588204,49.46140280896371,51.955483401924084,33.10330139966923,25.95276496540548,20.470857929950874,3.854090170493415,Human Activity,6,4070928.368908506,Published Case Studies,Landslide Database - Oso Landslide
Oso Landslide,2014,"Washington, USA",2014_003,69.35895427245998,4.151506624431335,Translational,10056590.35133159,264207.4583747126,3.5424253479247687,44.205569286007965,23.040444132458173,53.78459742157094,30.35850275380215,72.31371497917272,24.437342010785006,2.2555346683714834,Heavy Rain,4,4297526.450046549,Published Case Studies,Landslide Database - Oso Landslide
Oso Landslide,2014,"Washington, USA",2014_004,47.55346264032869,163.07695244268012,Translational,6191350.021342243,141310.45883772944,2.200579566046205,25.691779451822278,45.944050413307835,73.8609665603978,32.29612090587484,65.81615273310548,4.065604556125184,8.388276390391567,Heavy Rain,2,253917.94838712277,Published Case Studies,Landslide Database - Oso Landslide
Oso Landslide,2014,"Washington, USA",2014_005,39.57175008740752,-11.576081139838749,Debris Flow,10854301.165799674,32490.562026569776,2.5872444879698637,32.092247142174756,52.86562047369031,32.21701266093022,21.440511474549112,167.50310740828036,5.846068440282892,16.32156996916764,Earthquake,4,1122732.0012924918,Published Case Studies,Landslide Database - Oso Landslide
Oso Landslide,2014,"Washington, USA",2014_006,62.7695553949848,-139.90350654632823,Debris Flow,8502270.533732465,777759.776221917,6.051745294098518,43.83933913810617,24.990469410423984,38.1423297994874,36.86504140859322,11.403831041768338,11.891967193516146,24.653135688183944,Human Activity,6,5512741.672437214,Published Case Studies,Landslide Database - Oso Landslide
