event_name,magnitude,year,location,site_id,latitude,longitude,distance_to_fault_km,ground_acceleration_g,liquefaction_occurred,sand_content_pct,fines_content_pct,relative_density_pct,groundwater_depth_m,SPT_N60,max_settlement_mm,lateral_spread_m,sand_boil_density_per_m2,data_source,reference
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_001,32.54510648542488,2.6358926124146933,44.98559592765863,0.18070744622903254,True,81.85377047327863,18.666537679335203,75.3998211999084,3.0000165876850646,13,14.321394817853092,10.429687214208638,5,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_002,22.800675375534954,127.21047494286972,4.482871347224231,0.4739891665251938,False,76.24697966694636,17.450216561898422,41.25266858377326,3.1586817408969483,23,86.99485575955075,40.387300850902356,8,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_003,38.61376150254924,-47.9019293788063,3.0939206849589755,0.05630504561665238,True,93.67515809487962,14.139484381318297,64.42567600774252,2.82028813463421,14,45.8060218010578,34.691565236736196,5,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_004,35.93873544399715,-97.29960459835463,3.353421055083901,0.2759835800667794,True,93.46430602720905,13.344443511711852,43.71099289232744,2.5193217494365667,13,0.0,65.52517647521874,4,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_005,32.60373625712841,-26.580358663276854,2.3523226136585444,0.22634129876944487,True,69.14533305107145,13.639608753085804,96.84046203657215,2.947277632645939,9,106.97233215910768,0.5424221924922785,6,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_006,51.87068146422904,43.17916576491547,24.259738716179452,0.5985975886775249,True,85.98685675301066,5.750904539054046,44.37776145322322,1.7707190951399845,12,120.45224302758876,2.2240561201110824,8,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_007,26.701632537824004,-42.39287576685291,5.010468455323695,0.44054528018576533,False,85.05946366108004,18.931047200267695,49.84415518286563,1.882179823967499,16,101.5849511511407,28.777036933361856,3,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_008,23.08349146554378,-78.91404181979865,2.350332479160408,0.29148789070621095,True,92.58617473064834,9.036605947095152,64.16584221126949,1.382708238721463,15,32.5750945093094,1.4596261429504798,3,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_009,53.61587201732092,-86.51217266373568,3.415462533471541,0.45413350544902636,True,85.0770895129721,12.9440200894748,49.07961462982688,1.98324466914709,19,44.97607739416025,85.16216586601784,3,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_010,40.011933198561344,-131.22370375990806,2.293049614094769,0.18633905132174494,True,94.30002500268455,12.735876786412124,47.653989038482194,1.4347548283393172,19,12.538716363701743,0.0,5,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1964 Alaska Earthquake,9.2,1964,"Alaska, USA",1964_011,50.33328823800666,165.96335328732636,33.49617161417398,0.12335217616565507,False,85.20128770885991,8.144768041080171,68.84341491129025,0.9713845200046347,10,0.0,12.37523995480361,4,Published Case Studies,Liquefaction Database - 1964 Alaska Earthquake
1989 Loma Prieta Earthquake,6.9,1989,"California, USA",1989_001,67.69875172057374,-62.51393575134779,3.4838923367466323,0.09278095244954784,True,65.14833290653618,27.904204031585124,24.8653659705911,1.2218770837087485,24,0.0,0.0,4,Published Case Studies,Liquefaction Database - 1989 Loma Prieta Earthquake
1989 Loma Prieta Earthquake,6.9,1989,"California, USA",1989_002,49.23000386113823,-164.737078045659,2.177401004832665,0.07988453147598076,True,56.622490320884,21.49376862133439,44.0462586175032,3.0502139983918743,14,25.391547046646274,0.0,5,Published Case Studies,Liquefaction Database - 1989 Loma Prieta Earthquake
