event_id,magnitude,depth_km,latitude,longitude,time,place,tsunami,felt,cdi,mmi,alert,status,type,datetime
us6000m0n6,6.3,33.0,-2.9934,139.372,1703956583833,"146 km WSW of Abepura, Indonesia",1,3.0,3.1,5.841,green,reviewed,earthquake,2023-12-30 17:16:23.833
us6000m0mx,5.2,10.0,-14.753,-173.9714,1703952345628,"134 km N of Hihifo, Tonga",0,,,,,reviewed,earthquake,2023-12-30 16:05:45.628
us6000m0mh,5.3,73.469,-6.4131,154.9575,1703948581478,"59 km W of Panguna, Papua New Guinea",0,,,,,reviewed,earthquake,2023-12-30 15:03:01.478
us6000m0mg,5.0,155.602,-11.5203,166.415,1703948411442,"110 km SE of Lata, Solomon Islands",0,,,,,reviewed,earthquake,2023-12-30 15:00:11.442
us6000m0ju,5.3,10.0,-54.5762,-23.2713,1703916997350,South Sandwich Islands region,0,,,,,reviewed,earthquake,2023-12-30 06:16:37.350
us6000m0j8,5.7,19.0,2.4949,92.9942,1703913568158,off the west coast of northern Sumatra,0,1.0,3.4,0.0,green,reviewed,earthquake,2023-12-30 05:19:28.158
us6000m0ic,5.8,10.0,-49.3266,-116.1747,1703904145497,southern East Pacific Rise,0,,,0.0,green,reviewed,earthquake,2023-12-30 02:42:25.497
us6000m0fm,5.1,20.3,-18.0123,173.021,1703876634159,Fiji region,0,,,,,reviewed,earthquake,2023-12-29 19:03:54.159
us6000m0f0,5.0,10.0,25.0911,96.5235,1703867476478,"93 km WSW of Myitkyina, Myanmar",0,,,,,reviewed,earthquake,2023-12-29 16:31:16.478
us6000m0dr,5.0,10.0,-7.2313,68.0639,1703839325822,Chagos Archipelago region,0,,,,,reviewed,earthquake,2023-12-29 08:42:05.822
us6000m0c5,5.2,10.0,-7.0109,155.0124,1703821039230,"92 km SW of Panguna, Papua New Guinea",0,,,,,reviewed,earthquake,2023-12-29 03:37:19.230
us6000m0bv,5.2,10.0,-7.101,67.9432,1703817490299,Mid-Indian Ridge,0,,,,,reviewed,earthquake,2023-12-29 02:38:10.299
us6000m0b4,5.7,9.929,-7.1134,67.98,1703812730036,Mid-Indian Ridge,0,,,0.0,green,reviewed,earthquake,2023-12-29 01:18:50.036
us6000m0av,5.1,10.0,-7.1878,68.0211,1703810284868,Chagos Archipelago region,0,,,,,reviewed,earthquake,2023-12-29 00:38:04.868
us6000m0a6,5.3,10.0,-12.9186,66.4515,1703803057025,Mid-Indian Ridge,0,,,,,reviewed,earthquake,2023-12-28 22:37:37.025
us6000m087,5.0,51.88,8.5588,126.4999,1703778513019,"27 km NE of Hinatuan, Philippines",0,1.0,2.0,,,reviewed,earthquake,2023-12-28 15:48:33.019
us6000m05y,5.2,10.0,-61.0903,-53.9128,1703758115997,South Shetland Islands,0,,,,,reviewed,earthquake,2023-12-28 10:08:35.997
us6000m05n,5.0,42.223,44.4629,149.0713,1703756246968,"126 km SE of Kuril’sk, Russia",0,,,,,reviewed,earthquake,2023-12-28 09:37:26.968
us6000m05c,6.5,31.0,44.596,149.0388,1703754916131,"115 km SE of Kuril’sk, Russia",0,3.0,6.3,4.654,green,reviewed,earthquake,2023-12-28 09:15:16.131
us6000m05d,5.8,10.0,-65.4365,-179.6885,1703754779697,Pacific-Antarctic Ridge,0,,,6.939,green,reviewed,earthquake,2023-12-28 09:12:59.697
us6000m040,5.2,35.0,6.121,125.4786,1703727311401,"12 km ENE of Suyan, Philippines",0,15.0,4.8,,,reviewed,earthquake,2023-12-28 01:35:11.401
us6000m03g,5.1,10.0,56.3932,-34.1628,1703720018029,Reykjanes Ridge,0,,,,,reviewed,earthquake,2023-12-27 23:33:38.029
us6000m02j,5.1,72.197,-7.7769,107.9533,1703717036800,"50 km SSW of Singaparna, Indonesia",0,5.0,3.3,,,reviewed,earthquake,2023-12-27 22:43:56.800
us6000m02b,5.8,10.0,-53.0898,-118.1134,1703712798754,southern East Pacific Rise,0,,,0.0,green,reviewed,earthquake,2023-12-27 21:33:18.754
us6000m01a,5.0,39.974,-9.9486,123.7035,1703703164282,"26 km NNE of Kupang, Indonesia",0,5.0,5.4,,,reviewed,earthquake,2023-12-27 18:52:44.282
us6000m00j,5.0,10.0,56.4341,-34.0131,1703691637483,Reykjanes Ridge,0,,,,,reviewed,earthquake,2023-12-27 15:40:37.483
us6000m00n,5.4,10.0,-53.1275,-117.7908,1703691367393,southern East Pacific Rise,0,,,0.0,green,reviewed,earthquake,2023-12-27 15:36:07.393
us6000lzyw,5.3,10.0,57.0045,108.7206,1703653759806,"94 km SSE of Kirensk, Russia",0,,,,,reviewed,earthquake,2023-12-27 05:09:19.806
us7000lli4,5.0,125.59,-56.3856,-27.2106,1703599975231,South Sandwich Islands region,0,,,,,reviewed,earthquake,2023-12-26 14:12:55.231
us7000llhv,5.1,87.171,-5.2714,145.3057,1703596303180,"53 km W of Madang, Papua New Guinea",0,1.0,3.1,,,reviewed,earthquake,2023-12-26 13:11:43.180
pr2023360000,5.3,9.0,19.6258,-68.8005,1703575465190,"72 km NE of Samaná, Dominican Republic",0,35.0,3.8,,,reviewed,earthquake,2023-12-26 07:24:25.190
us7000llbp,5.0,336.23,33.149,137.7852,1703479741655,"158 km SSE of Shima, Japan",0,,,,,reviewed,earthquake,2023-12-25 04:49:01.655
us7000llax,5.0,10.0,-55.8178,-25.267,1703457240775,South Sandwich Islands region,0,,,,,reviewed,earthquake,2023-12-24 22:34:00.775
us7000lla8,5.0,25.692,52.85,160.8894,1703443363920,"153 km E of Petropavlovsk-Kamchatsky, Russia",0,,,,,reviewed,earthquake,2023-12-24 18:42:43.920
us6000m1qy,5.0,10.0,-20.4247,168.757,1703439167475,"112 km SSW of Isangel, Vanuatu",0,,,,,reviewed,earthquake,2023-12-24 17:32:47.475
us7000ll9h,5.4,10.0,-20.8222,-173.815,1703429576063,"124 km SSE of Pangai, Tonga",0,1.0,2.7,3.171,green,reviewed,earthquake,2023-12-24 14:52:56.063
us7000ll6j,5.1,10.0,-38.1075,-73.9764,1703388768403,"61 km WSW of Cañete, Chile",0,2.0,4.1,,,reviewed,earthquake,2023-12-24 03:32:48.403
us7000ll6h,5.8,16.0,-38.0746,-73.8923,1703388223259,"53 km SW of Cañete, Chile",0,13.0,4.3,5.336,green,reviewed,earthquake,2023-12-24 03:23:43.259
us7000ll6e,5.1,51.097,8.5352,126.5233,1703386926352,"27 km NE of Hinatuan, Philippines",0,,,,,reviewed,earthquake,2023-12-24 03:02:06.352
us7000ll64,5.5,46.342,-22.7019,-175.7829,1703384537209,"173 km SSW of ‘Ohonua, Tonga",0,2.0,2.7,2.949,green,reviewed,earthquake,2023-12-24 02:22:17.209
us7000ll63,5.3,57.029,8.2927,127.0403,1703384444377,"68 km ENE of Barcelona, Philippines",0,1.0,2.0,,,reviewed,earthquake,2023-12-24 02:20:44.377
us6000m1q8,5.8,10.0,-20.4518,169.06,1703383232128,"103 km SSW of Isangel, Vanuatu",0,,,3.69,green,reviewed,earthquake,2023-12-24 02:00:32.128
us7000ll61,5.9,10.0,-20.5072,168.9641,1703383179371,"111 km SSW of Isangel, Vanuatu",0,,,3.691,green,reviewed,earthquake,2023-12-24 01:59:39.371
us7000ll5l,5.6,10.0,-20.4101,-173.8524,1703375089539,"84 km SE of Pangai, Tonga",0,0.0,1.0,3.622,green,reviewed,earthquake,2023-12-23 23:44:49.539
us7000ll4n,5.2,10.0,-20.3914,168.9535,1703364225970,"100 km SSW of Isangel, Vanuatu",0,,,,,reviewed,earthquake,2023-12-23 20:43:45.970
us7000ll46,5.8,41.862,51.9532,158.955,1703353685248,"115 km SSE of Vilyuchinsk, Russia",0,1.0,3.4,3.921,green,reviewed,earthquake,2023-12-23 17:48:05.248
us7000ll3y,5.2,35.0,8.8625,126.8234,1703349514934,"56 km E of Aras-asan, Philippines",0,,,,,reviewed,earthquake,2023-12-23 16:38:34.934
us7000ll3j,5.0,23.517,53.9199,168.8317,1703345462853,"Komandorskiye Ostrova, Russia region",0,,,1.239,,reviewed,earthquake,2023-12-23 15:31:02.853
us7000ll30,5.1,41.829,8.1936,126.7418,1703341346625,"34 km E of Barcelona, Philippines",0,2.0,2.2,,,reviewed,earthquake,2023-12-23 14:22:26.625
us7000lkzp,5.4,39.126,-15.0577,-173.5664,1703285846350,"102 km NNE of Hihifo, Tonga",0,1.0,2.0,3.638,green,reviewed,earthquake,2023-12-22 22:57:26.350
pr2023356000,5.25,10.0,19.5388,-68.8215,1703269813480,"65 km NE of Samaná, Dominican Republic",0,114.0,7.0,3.802,green,reviewed,earthquake,2023-12-22 18:30:13.480
us7000lkxb,6.1,10.0,-52.0879,27.9516,1703266592014,south of Africa,0,1.0,0.0,0.0,green,reviewed,earthquake,2023-12-22 17:36:32.014
us7000lkvf,5.1,62.909,2.6388,128.1978,1703244839813,"102 km NNE of Tobelo, Indonesia",0,1.0,2.0,,,reviewed,earthquake,2023-12-22 11:33:59.813
us7000lkqm,5.0,13.191,35.2045,140.9422,1703191523021,"50 km E of Ōhara, Japan",0,,,,,reviewed,earthquake,2023-12-21 20:45:23.021
us7000lkpg,5.6,61.708,-21.8997,-70.1585,1703175712033,"21 km N of Tocopilla, Chile",0,21.0,5.7,5.935,green,reviewed,earthquake,2023-12-21 16:21:52.033
usd0010b4f,6.1,20.0,51.2097,-175.3313,1703170556291,"116 km SE of Adak, Alaska",1,3.0,4.3,3.999,green,reviewed,earthquake,2023-12-21 14:55:56.291
usd0010b47,5.2,10.0,35.2431,141.0136,1703167451571,"56 km E of Ōhara, Japan",0,10.0,3.4,,,reviewed,earthquake,2023-12-21 14:04:11.571
us7000lkke,5.0,13.881,-8.5023,-74.5606,1703158568821,"11 km SSW of San Fernando, Peru",0,2.0,5.0,,,reviewed,earthquake,2023-12-21 11:36:08.821
us7000lkb1,6.2,93.0,-15.8585,-72.5207,1703074281484,"11 km E of Iray, Peru",0,31.0,5.6,5.226,green,reviewed,earthquake,2023-12-20 12:11:21.484
us7000lkb0,5.6,109.596,-56.153,-27.7345,1703074153884,South Sandwich Islands region,0,,,3.995,green,reviewed,earthquake,2023-12-20 12:09:13.884
us7000lk71,5.2,173.775,2.7011,128.2749,1703025363417,"111 km NNE of Tobelo, Indonesia",0,,,,,reviewed,earthquake,2023-12-19 22:36:03.417
us6000m171,5.0,45.557,-6.9474,155.3759,1703015260657,"70 km S of Panguna, Papua New Guinea",0,,,,,reviewed,earthquake,2023-12-19 19:47:40.657
us7000lk18,5.1,10.0,-22.7264,169.8416,1702986831493,"240 km ESE of Tadine, New Caledonia",0,,,,,reviewed,earthquake,2023-12-19 11:53:51.493
us7000ljzq,5.1,40.222,-6.9607,155.3316,1702969021804,"73 km SSW of Panguna, Papua New Guinea",0,,,,,reviewed,earthquake,2023-12-19 06:57:01.804
us7000ljz1,5.3,10.0,-22.7837,172.3996,1702953749271,southeast of the Loyalty Islands,0,,,,,reviewed,earthquake,2023-12-19 02:42:29.271
us7000ljyw,5.2,10.0,39.9543,77.8492,1702950381061,"104 km W of Tumxuk, China",0,,,,,reviewed,earthquake,2023-12-19 01:46:21.061
us7000ljvg,5.9,12.0,35.7386,102.8149,1702915170352,"38 km WNW of Linxia Chengguanzhen, China",0,34.0,7.8,8.613,red,reviewed,earthquake,2023-12-18 15:59:30.352
us7000ljv0,5.0,10.0,-16.2521,-172.9994,1702908374673,"91 km ESE of Hihifo, Tonga",0,,,,,reviewed,earthquake,2023-12-18 14:06:14.673
us7000ljty,5.1,10.0,33.1836,76.8401,1702894732984,"31 km S of Padam, India",0,8.0,4.8,5.954,green,reviewed,earthquake,2023-12-18 10:18:52.984
us7000ljp5,5.1,10.0,-2.4708,140.1438,1702823255486,"56 km WNW of Abepura, Indonesia",0,,,,,reviewed,earthquake,2023-12-17 14:27:35.486
us7000ljna,5.6,8.0,-21.4764,169.1599,1702798677469,"132 km E of Tadine, New Caledonia",0,,,3.461,green,reviewed,earthquake,2023-12-17 07:37:57.469
us7000ljj5,5.0,10.0,20.0602,145.45,1702740258954,"Maug Islands region, Northern Mariana Islands",0,,,,,reviewed,earthquake,2023-12-16 15:24:18.954
us7000ljhs,5.0,10.0,20.0946,145.5889,1702721875037,"Maug Islands region, Northern Mariana Islands",0,,,,,reviewed,earthquake,2023-12-16 10:17:55.037
us7000ljhg,5.7,10.0,20.2452,145.6855,1702720252897,"Maug Islands region, Northern Mariana Islands",0,,,3.919,green,reviewed,earthquake,2023-12-16 09:50:52.897
us7000ljgg,5.0,51.179,-0.3273,98.8494,1702709155913,"145 km WNW of Pariaman, Indonesia",0,1.0,4.3,,,reviewed,earthquake,2023-12-16 06:45:55.913
us7000ljg9,5.3,539.164,-24.2694,179.2181,1702707054643,south of the Fiji Islands,0,,,1.22,green,reviewed,earthquake,2023-12-16 06:10:54.643
us7000ljf2,5.9,10.0,-35.9655,-17.0092,1702679022578,southern Mid-Atlantic Ridge,0,0.0,1.0,0.0,green,reviewed,earthquake,2023-12-15 22:23:42.578
us7000lj40,5.0,21.83,19.947,145.4364,1702583109454,"Maug Islands region, Northern Mariana Islands",0,,,,,reviewed,earthquake,2023-12-14 19:45:09.454
us7000lj39,5.4,78.238,13.988,-91.3759,1702576501836,"24 km SSW of Nueva Concepción, Guatemala",0,40.0,3.8,4.136,green,reviewed,earthquake,2023-12-14 17:55:01.836
us7000lj2m,5.2,35.288,-58.7809,-25.2473,1702573059910,South Sandwich Islands region,0,,,3.267,green,reviewed,earthquake,2023-12-14 16:57:39.910
us7000lj2f,5.0,42.012,14.2679,-92.8796,1702570886606,"70 km SW of Puerto Madero, Mexico",0,0.0,1.0,,,reviewed,earthquake,2023-12-14 16:21:26.606
us7000liz5,5.2,189.669,-24.0695,-66.8093,1702565850865,"52 km WNW of San Antonio de los Cobres, Argentina",0,,,,,reviewed,earthquake,2023-12-14 14:57:30.865
us7000livw,5.6,10.0,-55.9588,-122.8187,1702546184078,southern East Pacific Rise,0,,,0.0,green,reviewed,earthquake,2023-12-14 09:29:44.078
us7000liv6,5.0,10.0,17.1934,-46.3756,1702536724347,northern Mid-Atlantic Ridge,0,,,,,reviewed,earthquake,2023-12-14 06:52:04.347
us7000litr,5.0,104.287,0.1199,124.0114,1702515949590,"59 km SW of Modisi, Indonesia",0,,,,,reviewed,earthquake,2023-12-14 01:05:49.590
us7000lire,5.5,10.0,72.5853,3.5864,1702498810896,Norwegian Sea,0,,,0.0,green,reviewed,earthquake,2023-12-13 20:20:10.896
us7000lir5,5.3,10.0,72.5563,3.5933,1702495846968,Norwegian Sea,0,,,,,reviewed,earthquake,2023-12-13 19:30:46.968
us7000lik3,5.4,10.0,-25.6281,-116.154,1702439749407,southern East Pacific Rise,0,,,0.0,green,reviewed,earthquake,2023-12-13 03:55:49.407
us7000lijx,5.1,35.0,-20.6272,169.4485,1702436658911,"121 km S of Isangel, Vanuatu",0,,,,,reviewed,earthquake,2023-12-13 03:04:18.911
us7000lid1,5.1,42.549,8.5843,126.6104,1702389504440,"38 km NE of Hinatuan, Philippines",0,6.0,4.7,,,reviewed,earthquake,2023-12-12 13:58:24.440
us7000licu,5.1,10.0,-6.2699,150.8216,1702386680073,"109 km SE of Kimbe, Papua New Guinea",0,,,,,reviewed,earthquake,2023-12-12 13:11:20.073
us7000lict,5.7,11.0,-20.0152,-173.3704,1702385644740,"103 km ESE of Fangale’ounga, Tonga",0,,,3.697,green,reviewed,earthquake,2023-12-12 12:54:04.740
us7000lic0,5.3,10.0,-31.5513,57.744,1702367099482,Southwest Indian Ridge,0,,,,,reviewed,earthquake,2023-12-12 07:44:59.482
us7000libd,5.5,10.0,-15.17,-173.2535,1702359190805,"104 km NE of Hihifo, Tonga",0,2.0,3.4,3.602,green,reviewed,earthquake,2023-12-12 05:33:10.805
us7000lib1,5.8,265.0,-18.0396,-175.304,1702353616014,"155 km WNW of Neiafu, Tonga",0,2.0,3.4,3.228,green,reviewed,earthquake,2023-12-12 04:00:16.014
us7000lias,5.0,35.0,8.8298,126.803,1702350399608,"54 km E of Aras-asan, Philippines",0,,,,,reviewed,earthquake,2023-12-12 03:06:39.608
us7000lia5,5.0,10.0,-15.1354,-173.2535,1702341560385,"107 km NNE of Hihifo, Tonga",0,1.0,3.8,,,reviewed,earthquake,2023-12-12 00:39:20.385
us7000lia1,5.1,35.0,-10.3354,116.8988,1702341449045,"175 km S of Taliwang, Indonesia",0,,,,,reviewed,earthquake,2023-12-12 00:37:29.045
us7000li9l,5.1,10.0,-60.3964,-28.7797,1702338987088,South Sandwich Islands region,0,,,,,reviewed,earthquake,2023-12-11 23:56:27.088
us7000li9h,5.0,10.0,8.5062,127.106,1702338196165,"83 km ENE of Barcelona, Philippines",0,1.0,2.0,,,reviewed,earthquake,2023-12-11 23:43:16.165
usd001097k,5.5,191.769,-24.0849,-66.7812,1702319759877,"49 km WNW of San Antonio de los Cobres, Argentina",0,1.0,1.0,3.248,green,reviewed,earthquake,2023-12-11 18:35:59.877
usd001097g,5.0,10.0,-6.9241,150.0725,1702316162874,"98 km SE of Kandrian, Papua New Guinea",0,,,,,reviewed,earthquake,2023-12-11 17:36:02.874
us7000li3g,5.7,10.0,-60.2769,-33.039,1702301982594,Scotia Sea,0,,,0.0,green,reviewed,earthquake,2023-12-11 13:39:42.594
us7000li28,5.0,255.387,-0.4441,101.3587,1702289799909,"51 km ENE of Sijunjung, Indonesia",0,,,,,reviewed,earthquake,2023-12-11 10:16:39.909
us7000li15,6.2,248.0,-18.8139,-175.6541,1702276412480,"174 km NW of Fangale’ounga, Tonga",0,5.0,3.4,3.683,green,reviewed,earthquake,2023-12-11 06:33:32.480
us7000li0l,5.0,57.124,-7.9464,127.5926,1702266620090,"91 km NE of Lospalos, Timor Leste",0,,,,,reviewed,earthquake,2023-12-11 03:50:20.090
us7000li0f,5.3,10.0,56.6979,-34.502,1702261682049,Reykjanes Ridge,0,,,,,reviewed,earthquake,2023-12-11 02:28:02.049
us7000lhzt,5.1,10.0,8.7373,127.2677,1702248776501,"106 km E of Aras-asan, Philippines",0,,,,,reviewed,earthquake,2023-12-10 22:52:56.501
us7000lhz6,5.0,10.356,-4.4103,139.4579,1702237930672,"193 km NE of Agats, Indonesia",0,1.0,2.0,,,reviewed,earthquake,2023-12-10 19:52:10.672
us7000li1s,5.3,10.0,-63.5703,-166.7843,1702232567842,Pacific-Antarctic Ridge,0,,,,,reviewed,earthquake,2023-12-10 18:22:47.842
us7000lhxd,5.6,95.0,18.8214,146.0987,1702217497244,"Pagan region, Northern Mariana Islands",0,,,4.08,green,reviewed,earthquake,2023-12-10 14:11:37.244
us7000lhxa,5.5,10.0,-24.0125,-115.398,1702214967968,southern East Pacific Rise,0,,,0.0,green,reviewed,earthquake,2023-12-10 13:29:27.968
us7000lhwv,5.7,14.0,-14.3228,-76.4362,1702209170012,"53 km SSW of Paracas, Peru",0,4.0,5.0,5.269,green,reviewed,earthquake,2023-12-10 11:52:50.012
us7000lhws,5.1,18.531,-14.2686,-76.3452,1702208434311,"45 km S of Paracas, Peru",0,1.0,2.7,,,reviewed,earthquake,2023-12-10 11:40:34.311
us7000lhw7,5.2,10.0,56.774,-34.3939,1702198915502,Reykjanes Ridge,0,,,,,reviewed,earthquake,2023-12-10 09:01:55.502
