location_name,latitude,longitude,region,depth_m,clay_content_pct,sand_content_pct,silt_content_pct,liquid_limit_pct,plasticity_index,unit_weight_kN_m3,void_ratio,data_source,collection_date
California Central Valley,36.85105876240155,-119.43504115586944,Western US,0.0,33.7774681769782,45.789413026562165,20.43311879645963,62.90870274336654,17.132809777691627,13.250310477904257,0.5789300964379316,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.87414162629215,-119.38479145258115,Western US,0.5263157894736842,65.31323628932421,36.189866235945125,0.0,35.07824688581735,23.515664809313854,18.319984375072092,0.6105550429343745,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.85737435777797,-119.46013626591999,Western US,1.0526315789473684,23.518156783549014,44.12517814730744,32.356665069143546,53.01808113065529,35.59086627322895,16.050240968673396,0.7108933272582624,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.885486578089925,-119.54542308727984,Western US,1.5789473684210527,71.14578411427784,22.295839991178596,6.558375894543559,73.11112191291662,17.539683375539468,20.081256589870907,0.19205786063495567,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.85112051414747,-119.50990877658009,Western US,2.1052631578947367,19.262059616639966,47.78829277330951,32.94964761005053,47.97798430321032,19.063365223328,14.116525992521096,0.8069695945796773,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.87544549824829,-119.41017648526204,Western US,2.631578947368421,63.76196899344082,42.173201091529315,0.0,52.497683276322384,15.463013904432428,16.176737273312646,0.9446496947207631,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.696461207871295,-119.44381335996582,Western US,3.1578947368421053,45.68970495318044,48.00535624336248,6.304938803457084,54.80224923299025,15.256426249792243,16.79986458250251,0.5698497827514122,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.75200055708617,-119.52540248482909,Western US,3.6842105263157894,45.84430187589927,20.2650157135702,33.89068241053053,39.895623019094245,15.672704443195105,16.07520192711628,0.6291989096956545,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.818288768183564,-119.54243437570966,Western US,4.2105263157894735,31.14109077910328,25.6036997638466,43.25520945705012,45.34936444401872,35.49114716609297,20.291131261512938,0.980080580031944,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.813258566464704,-119.3686839347963,Western US,4.7368421052631575,49.90999456868383,35.166071520479534,14.923933910836638,57.65537328472447,22.063540932140622,20.838060242904614,0.583164894759618,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.793955387078874,-119.40405574169681,Western US,5.263157894736842,33.45826759036744,30.038277678197208,36.503454731435355,34.51565936807907,12.843739206885928,16.35701735342621,0.6715443209265947,Synthesized from Regional Studies,2023-01-01
California Central Valley,36.92040512514203,-119.37058067415535,Western US,5.789473684210526,44.888582914331614,44.64451429541593,10.466902790252455,55.97025841640399,26.396445892671544,21.637818696362594,0.33113376550058055,Synthesized from Regional Studies,2023-01-01
