Phase,Temperature_C,Lattice_Strain,D_Spacing_A,Peak_Position_deg,Peak_FWHM_deg,Intensity_counts,Measurement_Error
YSZ,25,-0.00038987867890567313,2.954847518625155,2.987551329095841,0.10930118876285165,2316.5825601297606,4.708137373530399e-05
YSZ,50,0.0005209540090279104,2.9575399400506863,2.9848309710087255,0.14156597802326631,796.9357507828161,2.934987346394552e-05
YSZ,75,-0.00019112747123809068,2.95543502719502,2.986957301596618,0.09562292876896503,1372.518217375091,4.6900963682308e-05
YSZ,100,-0.00014489146630192228,2.9555717008256113,2.9868191453219466,0.12195263046315682,1027.1680431264383,4.68780745967704e-05
YSZ,125,0.000778705994672349,2.9583018549202516,2.984062049688616,0.13521133889702414,504.55348092654214,1.178939047062293e-05
YSZ,150,0.0019975774814057247,2.9619048390350358,2.9804312933787758,0.14965509136956578,1304.7116061572851,4.7953258548269105e-05
YSZ,175,0.001754661551675415,2.9611867795467526,2.9811541825503105,0.09726948215030293,526.3239177349922,3.721213285187783e-05
YSZ,200,0.001608481509637569,2.9607546713424884,2.9815893661712822,0.08373103703494132,2798.8358959851935,2.954690557827011e-05
YSZ,225,0.0009122271680711614,2.9586965435088186,2.983663887367171,0.09111304217609859,1871.4257687489871,1.0757391711487642e-05
YSZ,250,0.002244003923134999,2.962633275596787,2.979698315507424,0.09948585338466187,2604.069974399814,1.8292732967069425e-05
YSZ,275,0.0025732142176921324,2.963606421227498,2.9787196653855452,0.09462107319268039,2018.6179285907094,2.939151158232368e-05
YSZ,300,0.0028508717717884986,2.964427176957407,2.977894766793648,0.08016038097534663,2224.334080817588,2.3749365365530883e-05
YSZ,325,0.002857969002647412,2.9644481563718257,2.977873687472199,0.12002569253015512,872.2085296289904,3.601622305606816e-05
YSZ,350,0.0035154702259101826,2.9663917299877904,2.975922152012541,0.11023600215441326,2016.5536849520106,4.77909436127609e-05
YSZ,375,0.003384714227825125,2.966005215257451,2.976310046291378,0.14143139500985819,719.1003496983938,1.2774894700449504e-05
YSZ,400,0.004572120215826489,2.969515187357983,2.972791252754875,0.13619041095769385,1891.9559068164638,2.711963425423243e-05
YSZ,425,0.004719211828809504,2.969949990165961,2.9723559363431895,0.1303188689310387,737.533050804825,4.460640262001394e-05
YSZ,450,0.003668844157427447,2.966845103329356,2.975467289338296,0.08078458814371248,1395.0517900679806,4.445064193690051e-05
YSZ,475,0.005240153102033106,2.9714898925696103,2.970815239851386,0.10130417439732252,2548.355693342259,2.089330075567257e-05
