Temperature_C,Current_Density_A_cm2,Voltage_V,Power_Density_W_cm2,Fuel_Utilization_%,Air_Utilization_%,Time_h
750,0.000,1.135,0.000,0.0,0.0,0.0
750,0.025,1.108,0.028,2.5,1.8,0.5
750,0.050,1.085,0.054,5.0,3.6,1.0
750,0.075,1.064,0.080,7.5,5.4,1.5
750,0.100,1.044,0.104,10.0,7.2,2.0
750,0.125,1.025,0.128,12.5,9.0,2.5
750,0.150,1.007,0.151,15.0,10.8,3.0
750,0.175,0.989,0.173,17.5,12.6,3.5
750,0.200,0.972,0.194,20.0,14.4,4.0
750,0.225,0.955,0.215,22.5,16.2,4.5
750,0.250,0.939,0.235,25.0,18.0,5.0
750,0.275,0.923,0.254,27.5,19.8,5.5
750,0.300,0.907,0.272,30.0,21.6,6.0
750,0.325,0.892,0.290,32.5,23.4,6.5
750,0.350,0.877,0.307,35.0,25.2,7.0
750,0.375,0.862,0.323,37.5,27.0,7.5
750,0.400,0.848,0.339,40.0,28.8,8.0
750,0.425,0.834,0.354,42.5,30.6,8.5
750,0.450,0.820,0.369,45.0,32.4,9.0
750,0.475,0.806,0.383,47.5,34.2,9.5
750,0.500,0.793,0.397,50.0,36.0,10.0
750,0.525,0.780,0.410,52.5,37.8,10.5
750,0.550,0.767,0.422,55.0,39.6,11.0
750,0.575,0.754,0.433,57.5,41.4,11.5
750,0.600,0.741,0.445,60.0,43.2,12.0
750,0.625,0.729,0.456,62.5,45.0,12.5
750,0.650,0.717,0.466,65.0,46.8,13.0
750,0.675,0.705,0.476,67.5,48.6,13.5
750,0.700,0.693,0.485,70.0,50.4,14.0
750,0.725,0.681,0.494,72.5,52.2,14.5
750,0.750,0.670,0.503,75.0,54.0,15.0
750,0.775,0.658,0.510,77.5,55.8,15.5
750,0.800,0.647,0.518,80.0,57.6,16.0
